GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AJR001,AJU001,AJU002,AJU003,AJV001,AJV002
"G0100010","1870","Alabama","010","Autauga","0010","Autauga","41","10",11623,92012,139033,7653,1122059,58164
"G0100015","1870","Alabama","010","Baker","0015","Baker","41","210",6194,31852,108578,8558,284378,18885
"G0100030","1870","Alabama","010","Baldwin","0030","Baldwin","41","30",6004,4919,77487,745,140550,2158
"G0100050","1870","Alabama","010","Barbour","0050","Barbour","41","50",29309,185727,76361,138262,2374493,93722
"G0100070","1870","Alabama","010","Bibb","0070","Bibb","41","70",7469,24575,63931,17793,295110,22637
"G0100090","1870","Alabama","010","Blount","0090","Blount","41","90",9945,56349,93652,93275,649291,14861
"G0100110","1870","Alabama","010","Bullock","0110","Bullock","41","110",24474,115310,117423,49703,2468172,171925
"G0100130","1870","Alabama","010","Butler","0130","Butler","41","130",14981,75685,112385,13060,927827,13433
"G0100150","1870","Alabama","010","Calhoun","0150","Calhoun","41","150",13980,68234,125071,18292,1324105,34848
"G0100170","1870","Alabama","010","Chambers","0170","Chambers","41","170",17562,198945,128314,1084,1286665,36320
"G0100190","1870","Alabama","010","Cherokee","0190","Cherokee","41","190",11132,61408,117983,5895,1267036,65318
"G0100230","1870","Alabama","010","Choctaw","0230","Choctaw","41","230",12676,79502,220329,6190,946850,48523
"G0100250","1870","Alabama","010","Clarke","0250","Clarke","41","250",14663,61549,310898,0,156165,21175
"G0100270","1870","Alabama","010","Clay","0270","Clay","41","270",9560,37348,121856,115,453791,40752
"G0100290","1870","Alabama","010","Cleburne","0290","Cleburne","41","290",8017,42267,117855,3595,497820,26372
"G0100310","1870","Alabama","010","Coffee","0310","Coffee","41","310",6171,30546,80199,55840,308110,51876
"G0100330","1870","Alabama","010","Colbert","0330","Colbert","41","330",12537,57190,108875,17731,910627,42168
"G0100350","1870","Alabama","010","Conecuh","0350","Conecuh","41","350",9574,20583,56977,34056,240795,8823
"G0100370","1870","Alabama","010","Coosa","0370","Coosa","41","370",11945,64905,199799,5446,610653,28454
"G0100390","1870","Alabama","010","Covington","0390","Covington","41","390",4868,14048,65203,280,123443,5188
"G0100410","1870","Alabama","010","Crenshaw","0410","Crenshaw","41","410",11156,74115,131262,60,684870,34571
"G0100450","1870","Alabama","010","Dale","0450","Dale","41","450",11325,76083,163156,10901,437060,22293
"G0100470","1870","Alabama","010","Dallas","0470","Dallas","41","470",40705,168156,193366,58240,3112373,89523
"G0100490","1870","Alabama","010","DeKalb","0490","Dekalb","41","490",7126,44188,67457,1718,534924,46477
"G0100510","1870","Alabama","010","Elmore","0510","Elmore","41","510",14477,73524,233684,5976,924020,44111
"G0100530","1870","Alabama","010","Escambia","0530","Escambia","41","530",4041,7783,49222,180,36999,3108
"G0100550","1870","Alabama","010","Etowah","0550","Etowah","41","550",10109,37277,124545,3930,750420,37836
"G0100570","1870","Alabama","010","Fayette","0570","Fayette","41","570",7136,40897,221489,80,325385,17043
"G0100590","1870","Alabama","010","Franklin","0590","Franklin","41","590",8006,41036,169902,2221,488593,29851
"G0100610","1870","Alabama","010","Geneva","0610","Geneva","41","610",2959,12758,81899,0,125304,13532
"G0100630","1870","Alabama","010","Greene","0630","Greene","41","630",18399,127856,109650,7447,1560652,61455
"G0100650","1870","Alabama","010","Hale","0650","Hale","41","650",21792,165266,142083,2783,2639207,107712
"G0100670","1870","Alabama","010","Henry","0670","Henry","41","670",14191,106863,211183,6570,895419,91348
"G0100710","1870","Alabama","010","Jackson","0710","Jackson","41","710",19410,77086,179640,3757,1510268,80042
"G0100730","1870","Alabama","010","Jefferson","0730","Jefferson","41","730",12345,56964,186813,10495,1140247,54428
"G0100770","1870","Alabama","010","Lauderdale","0770","Lauderdale","41","770",15091,93625,157142,3215,1405630,28805
"G0100790","1870","Alabama","010","Lawrence","0790","Lawrence","41","790",16658,144224,24528,140846,1413284,97905
"G0100810","1870","Alabama","010","Lee","0810","Lee","41","810",21750,120765,105122,74401,1405738,92146
"G0100830","1870","Alabama","010","Limestone","0830","Limestone","41","830",15017,115730,116165,6502,1816510,105064
"G0100850","1870","Alabama","010","Lowndes","0850","Lowndes","41","850",25719,126185,105699,48138,2271911,95833
"G0100870","1870","Alabama","010","Macon","0870","Macon","41","870",17727,125944,116379,4576,1486811,44920
"G0100890","1870","Alabama","010","Madison","0890","Madison","41","890",31267,139305,100390,9125,2194834,105344
"G0100910","1870","Alabama","010","Marengo","0910","Marengo","41","910",26151,141368,176197,51226,2819711,119873
"G0100930","1870","Alabama","010","Marion","0930","Marion","41","930",6059,18315,34734,62072,80438,9648
"G0100950","1870","Alabama","010","Marshall","0950","Marshall","41","950",9871,48353,75593,11390,692799,38289
"G0100970","1870","Alabama","010","Mobile","0970","Mobile","41","970",49311,13824,94287,1531,548730,43226
"G0100990","1870","Alabama","010","Monroe","0990","Monroe","41","990",14214,53175,224282,7667,768867,22935
"G0101010","1870","Alabama","010","Montgomery","1010","Montgomery","41","1010",43704,222200,90692,76850,3793895,140066
"G0101030","1870","Alabama","010","Morgan","1030","Morgan","41","1030",12187,80749,79896,85591,1183488,64833
"G0101050","1870","Alabama","010","Perry","1050","Perry","41","1050",24975,97977,82186,32304,1455175,75653
"G0101070","1870","Alabama","010","Pickens","1070","Pickens","41","1070",17690,76816,199525,0,799785,61321
"G0101090","1870","Alabama","010","Pike","1090","Pike","41","1090",17423,97885,202379,11220,1314779,34184
"G0101110","1870","Alabama","010","Randolph","1110","Randolph","41","1110",12006,62023,184289,4754,620331,100663
"G0101130","1870","Alabama","010","Russell","1130","Russell","41","1130",21636,114781,93934,67846,1721442,98232
"G0101150","1870","Alabama","010","St Clair","1150","St Clair","41","1150",9360,34055,72010,30428,401174,18162
"G0101155","1870","Alabama","010","Sanford","1155","Sanford","41","750",8893,42465,224381,7156,304250,31918
"G0101170","1870","Alabama","010","Shelby","1170","Shelby","41","1170",12218,48376,138544,9413,516136,36450
"G0101190","1870","Alabama","010","Sumter","1190","Sumter","41","1190",24109,141784,138424,3890,1684953,68844
"G0101210","1870","Alabama","010","Talladega","1210","Talladega","41","1210",18064,81579,118821,4103,940662,44857
"G0101230","1870","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",16963,88902,155551,29866,488967,17970
"G0101250","1870","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",20081,77007,238371,6730,1105677,48061
"G0101270","1870","Alabama","010","Walker","1270","Walker","41","1270",6543,23454,75,85001,296480,15469
"G0101290","1870","Alabama","010","Washington","1290","Washington","41","1290",3912,14778,40915,24513,155620,6465
"G0101310","1870","Alabama","010","Wilcox","1310","Wilcox","41","1310",28377,165907,178325,26357,2347868,73684
"G0101330","1870","Alabama","010","Winston","1330","Winston","41","1330",4155,17847,103936,0,149410,7172
"G0450155","1870","Arizona Territory","045","Mohave","0155","Mohave","61","150",179,2240,0,60,4100,1550
"G0450177","1870","Arizona Territory","045","Pah-Ute","0177","Pah-Ute","65","255",,3150,0,1255,43300,30050
"G0450195","1870","Arizona Territory","045","Pima","0195","Pima","61","190",5716,10451,0,7006,151840,18055
"G0450255","1870","Arizona Territory","045","Yavapai","0255","Yavapai","61","250",2142,0,0,0,0,0
"G0450275","1870","Arizona Territory","045","Yuma","0275","Yuma","61","270",1621,1894,0,156,5400,500
