GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AOB001,AOS001,AOS002,AOD001,AOD002,AOD003
"G0100010","1880","Alabama","010","Autauga","0010","Autauga","41","10",13108,84602,171667,779253,32541,244193
"G0100030","1880","Alabama","010","Baldwin","0030","Baldwin","41","30",8603,8529,150277,289453,9417,222685
"G0100050","1880","Alabama","010","Barbour","0050","Barbour","41","50",33979,205396,307041,1826309,89169,568209
"G0100070","1880","Alabama","010","Bibb","0070","Bibb","41","70",9487,45777,157641,482653,25956,200615
"G0100090","1880","Alabama","010","Blount","0090","Blount","41","90",15369,71887,188149,1032648,48666,326032
"G0100110","1880","Alabama","010","Bullock","0110","Bullock","41","110",29066,182919,142667,1625344,99186,514990
"G0100130","1880","Alabama","010","Butler","0130","Butler","41","130",19649,88619,155264,801105,41051,368761
"G0100150","1880","Alabama","010","Calhoun","0150","Calhoun","41","150",19591,95331,138591,1606887,72853,326008
"G0100170","1880","Alabama","010","Chambers","0170","Chambers","41","170",23440,156026,198742,2155871,86847,471896
"G0100190","1880","Alabama","010","Cherokee","0190","Cherokee","41","190",19108,89861,160523,1712506,96815,420470
"G0100210","1880","Alabama","010","Chilton","0210","Chilton","41","210",10793,42886,166476,373111,23998,214506
"G0100230","1880","Alabama","010","Choctaw","0230","Choctaw","41","230",15731,80244,231165,831666,38540,336711
"G0100250","1880","Alabama","010","Clarke","0250","Clarke","41","250",17806,83212,346782,938523,51663,430874
"G0100270","1880","Alabama","010","Clay","0270","Clay","41","270",12938,58412,185229,803474,45730,277029
"G0100290","1880","Alabama","010","Cleburne","0290","Cleburne","41","290",10976,53377,158269,796566,22856,232640
"G0100310","1880","Alabama","010","Coffee","0310","Coffee","41","310",8119,46602,159780,331605,8537,214856
"G0100330","1880","Alabama","010","Colbert","0330","Colbert","41","330",16153,82828,154740,1212495,56857,319888
"G0100350","1880","Alabama","010","Conecuh","0350","Conecuh","41","350",12605,47770,162608,481768,27474,235109
"G0100370","1880","Alabama","010","Coosa","0370","Coosa","41","370",15113,81829,218063,969269,63261,374619
