GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ASW001,AUJ001,AUJ002,AUK001,AUK002,AUK003
"G0100010","1890","Alabama","010","Autauga","0010","Autauga","41","10",13330,85889,137047,1139190,52470,288330
"G0100030","1890","Alabama","010","Baldwin","0030","Baldwin","41","30",8941,7031,65558,285210,11230,176820
"G0100050","1890","Alabama","010","Barbour","0050","Barbour","41","50",34898,251312,257992,2692940,134740,616410
"G0100070","1890","Alabama","010","Bibb","0070","Bibb","41","70",13824,47264,149334,834900,41870,277620
"G0100090","1890","Alabama","010","Blount","0090","Blount","41","90",21927,110232,222353,1896480,82360,554630
"G0100110","1890","Alabama","010","Bullock","0110","Bullock","41","110",27063,177446,118567,1504370,81670,561270
"G0100130","1890","Alabama","010","Butler","0130","Butler","41","130",21641,128390,189188,1539620,47410,468810
"G0100150","1890","Alabama","010","Calhoun","0150","Calhoun","41","150",33835,93241,119360,2067370,54230,435190
"G0100170","1890","Alabama","010","Chambers","0170","Chambers","41","170",26319,202130,156764,2680900,132540,585800
"G0100190","1890","Alabama","010","Cherokee","0190","Cherokee","41","190",20459,100529,150607,2061070,51900,493050
"G0100210","1890","Alabama","010","Chilton","0210","Chilton","41","210",14549,65210,176544,920860,29390,318510
"G0100230","1890","Alabama","010","Choctaw","0230","Choctaw","41","230",17526,88811,249896,1000160,51020,431260
"G0100250","1890","Alabama","010","Clarke","0250","Clarke","41","250",22624,127371,388655,1600650,71710,573570
"G0100270","1890","Alabama","010","Clay","0270","Clay","41","270",15765,76005,167544,1066270,36700,350770
"G0100290","1890","Alabama","010","Cleburne","0290","Cleburne","41","290",13218,60776,146743,1064670,36060,283880
"G0100310","1890","Alabama","010","Coffee","0310","Coffee","41","310",12170,87249,215557,1172920,34110,347390
"G0100330","1890","Alabama","010","Colbert","0330","Colbert","41","330",20189,78555,141360,1675070,38920,370820
"G0100350","1890","Alabama","010","Conecuh","0350","Conecuh","41","350",14594,76233,179046,851750,29270,311350
"G0100370","1890","Alabama","010","Coosa","0370","Coosa","41","370",15906,97020,181032,1120870,53900,376620
"G0100390","1890","Alabama","010","Covington","0390","Covington","41","390",7536,40595,237618,562640,15880,214810
"G0100410","1890","Alabama","010","Crenshaw","0410","Crenshaw","41","410",15425,101681,167060,1032780,30010,354670
"G0100430","1890","Alabama","010","Cullman","0430","Cullman","41","430",13439,59426,181984,1174230,48420,296100
"G0100450","1890","Alabama","010","Dale","0450","Dale","41","450",17225,116566,242860,1625320,62000,403560
"G0100470","1890","Alabama","010","Dallas","0470","Dallas","41","470",49350,252097,165399,2930460,164310,905320
"G0100490","1890","Alabama","010","DeKalb","0490","Dekalb","41","490",21106,87042,200226,1695270,57770,444390
"G0100510","1890","Alabama","010","Elmore","0510","Elmore","41","510",21732,110692,211514,2020930,69180,476170
"G0100530","1890","Alabama","010","Escambia","0530","Escambia","41","530",8666,10269,76754,386770,14960,163360
"G0100550","1890","Alabama","010","Etowah","0550","Etowah","41","550",21926,79414,142010,1689570,63450,372900
"G0100570","1890","Alabama","010","Fayette","0570","Fayette","41","570",12823,67087,242398,989720,53060,372610
"G0100590","1890","Alabama","010","Franklin","0590","Franklin","41","590",10681,47412,132553,829020,24890,243580
"G0100610","1890","Alabama","010","Geneva","0610","Geneva","41","610",10690,52638,194643,840950,24160,290150
"G0100630","1890","Alabama","010","Greene","0630","Greene","41","630",22007,156666,122256,1548450,83240,474410
"G0100650","1890","Alabama","010","Hale","0650","Hale","41","650",27501,183457,140940,3131120,136160,640810
"G0100670","1890","Alabama","010","Henry","0670","Henry","41","670",24847,182433,292581,2509850,93420,560190
"G0100710","1890","Alabama","010","Jackson","0710","Jackson","41","710",28026,148791,295944,3250670,93970,769880
"G0100730","1890","Alabama","010","Jefferson","0730","Jefferson","41","730",88501,75706,204021,3024830,93320,578190
"G0100750","1890","Alabama","010","Lamar","0750","Lamar","41","750",14187,77739,241951,1125570,45640,389120
"G0100770","1890","Alabama","010","Lauderdale","0770","Lauderdale","41","770",23739,119352,212059,2091260,79520,534440
"G0100790","1890","Alabama","010","Lawrence","0790","Lawrence","41","790",20725,140798,176303,2210090,74010,547910
"G0100810","1890","Alabama","010","Lee","0810","Lee","41","810",28694,168608,148549,1926170,77960,443330
"G0100830","1890","Alabama","010","Limestone","0830","Limestone","41","830",21201,135843,138044,2586310,68695,574280
"G0100850","1890","Alabama","010","Lowndes","0850","Lowndes","41","850",31550,231706,109086,2649310,137990,802250
"G0100870","1890","Alabama","010","Macon","0870","Macon","41","870",18439,116479,102171,1157250,46610,369570
"G0100890","1890","Alabama","010","Madison","0890","Madison","41","890",38119,218911,172826,4330350,181300,916390
"G0100910","1890","Alabama","010","Marengo","0910","Marengo","41","910",33095,225075,252950,3136570,124880,777320
"G0100930","1890","Alabama","010","Marion","0930","Marion","41","930",11347,59139,225905,639630,34910,291170
"G0100950","1890","Alabama","010","Marshall","0950","Marshall","41","950",18935,102081,201813,1697140,85970,487650
"G0100970","1890","Alabama","010","Mobile","0970","Mobile","41","970",51587,12023,81021,639710,30380,192760
"G0100990","1890","Alabama","010","Monroe","0990","Monroe","41","990",18990,120729,286087,1319500,84550,509830
"G0101010","1890","Alabama","010","Montgomery","1010","Montgomery","41","1010",56172,269061,107297,3204870,156120,837970
"G0101030","1890","Alabama","010","Morgan","1030","Morgan","41","1030",24089,103344,193776,2075240,72860,488850
"G0101050","1890","Alabama","010","Perry","1050","Perry","41","1050",29332,178603,159558,1739930,103540,684790
"G0101070","1890","Alabama","010","Pickens","1070","Pickens","41","1070",22470,158895,270104,2084790,98760,745270
"G0101090","1890","Alabama","010","Pike","1090","Pike","41","1090",24423,161405,169918,1892500,68790,477090
"G0101110","1890","Alabama","010","Randolph","1110","Randolph","41","1110",17219,93427,206678,1266450,41860,339380
"G0101130","1890","Alabama","010","Russell","1130","Russell","41","1130",24093,151957,102249,1577270,65960,365580
"G0101150","1890","Alabama","010","St Clair","1150","St Clair","41","1150",17353,94068,149730,1448110,70770,387030
"G0101170","1890","Alabama","010","Shelby","1170","Shelby","41","1170",20886,71288,143772,1059500,47770,350930
"G0101190","1890","Alabama","010","Sumter","1190","Sumter","41","1190",29574,243577,196455,2109520,104730,756640
"G0101210","1890","Alabama","010","Talladega","1210","Talladega","41","1210",29346,120778,129022,2061980,68720,511680
"G0101230","1890","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",25460,162222,207521,2133410,82650,566910
"G0101250","1890","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",30352,112955,342578,1741010,80760,550930
"G0101270","1890","Alabama","010","Walker","1270","Walker","41","1270",16078,53257,263793,1304050,36500,340020
"G0101290","1890","Alabama","010","Washington","1290","Washington","41","1290",7935,16810,115406,265550,9850,200000
"G0101310","1890","Alabama","010","Wilcox","1310","Wilcox","41","1310",30816,218456,236579,2821240,108470,812770
"G0101330","1890","Alabama","010","Winston","1330","Winston","41","1330",6552,27091,147548,339260,21420,141670
"G0250055","1890","Alaska Territory","025","Northern District","0055","Northern District","81","2900",7134,,,,,
"G0250095","1890","Alaska Territory","025","Southern District","0095","Southern District","81","2950",24918,,,,,
"G0450015","1890","Arizona Territory","045","Apache","0015","Apache","61","10",4281,7897,1077638,3604290,23420,1200540
"G0450035","1890","Arizona Territory","045","Cochise","0035","Cochise","61","30",6938,6193,25320,229400,8240,744790
"G0450075","1890","Arizona Territory","045","Gila","0075","Gila","61","70",2021,694,2386,50700,1450,23120
"G0450095","1890","Arizona Territory","045","Graham","0095","Graham","61","90",5670,9072,14461,367690,25330,91960
"G0450135","1890","Arizona Territory","045","Maricopa","0135","Maricopa","61","130",10986,48762,13126,1720450,68650,199220
"G0450155","1890","Arizona Territory","045","Mohave","0155","Mohave","61","150",1444,382,1399,18100,1400,0
"G0450195","1890","Arizona Territory","045","Pima","0195","Pima","61","190",12673,5174,26678,286100,11960,109580
"G0450215","1890","Arizona Territory","045","Pinal","0215","Pinal","61","210",4251,8402,12402,363620,16780,173190
"G0450255","1890","Arizona Territory","045","Yavapai","0255","Yavapai","61","250",8685,16967,15450,488230,34040,691080
"G0450275","1890","Arizona Territory","045","Yuma","0275","Yuma","61","270",2671,585,4045,93650,5310,24180
"G0500010","1890","Arkansas","050","Arkansas","0010","Arkansas","42","10",11432,76980,147447,1857700,93450,531450
"G0500030","1890","Arkansas","050","Ashley","0030","Ashley","42","30",13295,64925,174480,1567130,93880,455020
"G0500050","1890","Arkansas","050","Baxter","0050","Baxter","42","50",8527,46317,100291,755340,58540,293010
"G0500070","1890","Arkansas","050","Benton","0070","Benton","42","70",27716,175973,214754,4877600,178710,995540
"G0500090","1890","Arkansas","050","Boone","0090","Boone","42","90",15816,94011,144956,1840850,82690,537890
"G0500110","1890","Arkansas","050","Bradley","0110","Bradley","42","110",7972,39908,126646,596890,38890,236270
"G0500130","1890","Arkansas","050","Calhoun","0130","Calhoun","42","130",7267,41678,118694,557110,31430,187090
"G0500150","1890","Arkansas","050","Carroll","0150","Carroll","42","150",17288,81428,170329,1696590,67980,459800
"G0500170","1890","Arkansas","050","Chicot","0170","Chicot","42","170",11419,53570,96098,1823550,65780,327790
"G0500190","1890","Arkansas","050","Clark","0190","Clark","42","190",20997,84883,171181,1530390,77650,455940
"G0500210","1890","Arkansas","050","Clay","0210","Clay","42","210",12200,51937,72489,1015930,53130,342220
"G0500230","1890","Arkansas","050","Cleburne","0230","Cleburne","42","230",7884,36719,110428,708200,36800,226980
"G0500250","1890","Arkansas","050","Cleveland","0250","Cleveland","42","250",11362,55406,158756,916840,49750,331430
"G0500270","1890","Arkansas","050","Columbia","0270","Columbia","42","270",19893,105914,223211,1325560,85110,555020
"G0500290","1890","Arkansas","050","Conway","0290","Conway","42","290",19459,92417,105445,2042030,92260,451980
"G0500310","1890","Arkansas","050","Craighead","0310","Craighead","42","310",12025,52996,77576,1058680,67760,374100
"G0500330","1890","Arkansas","050","Crawford","0330","Crawford","42","330",21714,97307,112311,2764680,91680,471370
"G0500350","1890","Arkansas","050","Crittenden","0350","Crittenden","42","350",13940,63216,89287,2232072,49350,368680
"G0500370","1890","Arkansas","050","Cross","0370","Cross","42","370",7693,32435,55968,557360,25060,202090
"G0500390","1890","Arkansas","050","Dallas","0390","Dallas","42","390",9296,43634,146250,623390,48580,222200
"G0500410","1890","Arkansas","050","Desha","0410","Desha","42","410",10324,45742,77137,1695450,71880,332570
"G0500430","1890","Arkansas","050","Drew","0430","Drew","42","430",17352,90575,193324,1526080,77650,504810
"G0500450","1890","Arkansas","050","Faulkner","0450","Faulkner","42","450",18342,95872,155464,1530990,80610,502940
"G0500470","1890","Arkansas","050","Franklin","0470","Franklin","42","470",19934,120348,115865,2271550,111930,541010
"G0500490","1890","Arkansas","050","Fulton","0490","Fulton","42","490",10984,52330,147839,990700,54260,346290
"G0500510","1890","Arkansas","050","Garland","0510","Garland","42","510",15328,27148,86969,908300,36490,197280
"G0500530","1890","Arkansas","050","Grant","0530","Grant","42","530",7786,46918,121000,619570,41560,260820
"G0500550","1890","Arkansas","050","Greene","0550","Greene","42","550",12908,57560,95332,1164050,63310,393250
"G0500570","1890","Arkansas","050","Hempstead","0570","Hempstead","42","570",22796,119401,135151,1922590,108420,538490
"G0500590","1890","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",11603,42200,106996,767770,53850,254060
"G0500610","1890","Arkansas","050","Howard","0610","Howard","42","610",13789,84138,137140,1288160,68260,423750
"G0500630","1890","Arkansas","050","Independence","0630","Independence","42","630",21961,111804,187917,2371460,121930,584700
"G0500650","1890","Arkansas","050","Izard","0650","Izard","42","650",13038,80763,151684,1117060,63350,416830
"G0500670","1890","Arkansas","050","Jackson","0670","Jackson","42","670",15179,75440,120929,2125510,96640,518240
"G0500690","1890","Arkansas","050","Jefferson","0690","Jefferson","42","690",40881,136651,174888,4575040,215290,770580
"G0500710","1890","Arkansas","050","Johnson","0710","Johnson","42","710",16758,87846,111220,1848870,105450,449160
"G0500730","1890","Arkansas","050","Lafayette","0730","Lafayette","42","730",7700,33510,66524,574060,21470,158410
"G0500750","1890","Arkansas","050","Lawrence","0750","Lawrence","42","750",12984,63748,104716,1687370,59770,372620
"G0500770","1890","Arkansas","050","Lee","0770","Lee","42","770",18886,76547,112919,2489460,92920,536260
"G0500790","1890","Arkansas","050","Lincoln","0790","Lincoln","42","790",10255,47102,86911,1007670,39840,250070
"G0500810","1890","Arkansas","050","Little River","0810","Little River","42","810",8903,47609,101573,854430,55850,245250
"G0500830","1890","Arkansas","050","Logan","0830","Logan","42","830",20774,126021,148710,2611160,128790,614030
"G0500850","1890","Arkansas","050","Lonoke","0850","Lonoke","42","850",19263,118071,129200,2570810,140185,655140
"G0500870","1890","Arkansas","050","Madison","0870","Madison","42","870",17402,94792,217266,1739660,71170,544160
"G0500890","1890","Arkansas","050","Marion","0890","Marion","42","890",10390,51124,102235,800070,41020,303010
"G0500910","1890","Arkansas","050","Miller","0910","Miller","42","910",14714,59791,102917,1291600,57600,308080
"G0500930","1890","Arkansas","050","Mississippi","0930","Mississippi","42","930",11635,58989,83049,2233040,75365,386280
"G0500950","1890","Arkansas","050","Monroe","0950","Monroe","42","950",15336,72780,65468,2373520,63870,375110
"G0500970","1890","Arkansas","050","Montgomery","0970","Montgomery","42","970",7923,35130,111926,614660,32820,226590
"G0500990","1890","Arkansas","050","Nevada","0990","Nevada","42","990",14832,88393,148893,1170000,81440,422880
