GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AWS001,AWT001,AWU001,AWW001,AWW002,AWW003,AWW004
"G0100010","1900","Alabama","010","Autauga","0010","Autauga","41","10",17915,244511,98612,1097667,380825,92870,354161
"G0100030","1900","Alabama","010","Baldwin","0030","Baldwin","41","30",13194,151632,13552,360500,212730,42220,294988
"G0100050","1900","Alabama","010","Barbour","0050","Barbour","41","50",35152,452912,224766,1667689,576049,170610,635219
"G0100070","1900","Alabama","010","Bibb","0070","Bibb","41","70",18498,184363,52128,975775,310255,85780,345649
"G0100090","1900","Alabama","010","Blount","0090","Blount","41","90",23119,321441,128769,1229990,480750,134620,512960
"G0100110","1900","Alabama","010","Bullock","0110","Bullock","41","110",31944,344763,210491,1992279,512340,196420,656860
"G0100130","1900","Alabama","010","Butler","0130","Butler","41","130",25761,334719,134763,1322950,507975,107970,485628
"G0100150","1900","Alabama","010","Calhoun","0150","Calhoun","41","150",34874,222775,100622,1845790,640510,136170,501277
"G0100170","1900","Alabama","010","Chambers","0170","Chambers","41","170",32554,345728,190070,2194844,775576,179090,653086
"G0100190","1900","Alabama","010","Cherokee","0190","Cherokee","41","190",21096,255064,111907,1546130,531820,140410,536998
"G0100210","1900","Alabama","010","Chilton","0210","Chilton","41","210",16522,221471,80663,950433,442930,90100,376417
"G0100230","1900","Alabama","010","Choctaw","0230","Choctaw","41","230",18136,364605,107684,810980,383520,93410,451583
"G0100250","1900","Alabama","010","Clarke","0250","Clarke","41","250",27790,478967,135633,1283726,620939,138200,634346
"G0100270","1900","Alabama","010","Clay","0270","Clay","41","270",17099,258731,67313,648330,214940,59790,420075
"G0100290","1900","Alabama","010","Cleburne","0290","Cleburne","41","290",13206,201531,67849,920360,282120,75560,289847
"G0100310","1900","Alabama","010","Coffee","0310","Coffee","41","310",20972,331975,131093,1219263,398830,106210,463482
"G0100330","1900","Alabama","010","Colbert","0330","Colbert","41","330",22341,222562,102614,1338670,403000,98460,437901
"G0100350","1900","Alabama","010","Conecuh","0350","Conecuh","41","350",17514,270515,89098,894290,436670,106750,360870
"G0100370","1900","Alabama","010","Coosa","0370","Coosa","41","370",16144,299445,96176,857300,362750,96850,391225
