GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AG3001,AH3001,AH3002,AH3003,AH3004,AH3005,AH3006,AG6001,AG6002
"G0100010","1860","Alabama","010","Autauga","0010","Autauga","41","10",16739,7105,14,9607,13,,,125234,778906
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin","41","30",7530,3585,140,3714,91,,,20495,294470
"G0100050","1860","Alabama","010","Barbour","0050","Barbour","41","50",30812,14629,33,16150,0,,,181321,1225193
"G0100070","1860","Alabama","010","Bibb","0070","Bibb","41","70",11894,8027,25,3842,0,,,112325,608458
"G0100090","1860","Alabama","010","Blount","0090","Blount","41","90",10865,10193,6,666,0,,,54835,305025
"G0100130","1860","Alabama","010","Butler","0130","Butler","41","130",18122,11260,44,6818,0,,,101432,746735
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun","41","150",21539,17169,28,4342,0,,,150088,812766
"G0100170","1860","Alabama","010","Chambers","0170","Chambers","41","170",23214,11315,50,11849,0,,,216501,1132376
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee","41","190",18360,15321,37,3002,0,,,166508,739631
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw","41","230",13877,6767,16,7094,0,,,112246,678377
"G0100250","1860","Alabama","010","Clarke","0250","Clarke","41","250",15049,7599,14,7436,0,,,143281,808820
"G0100310","1860","Alabama","010","Coffee","0310","Coffee","41","310",9623,8200,6,1417,0,,,41228,392032
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh","41","350",11311,6419,10,4882,0,,,73492,458986
"G0100370","1860","Alabama","010","Coosa","0370","Coosa","41","370",19273,14044,11,5212,6,,,146061,909070
"G0100390","1860","Alabama","010","Covington","0390","Covington","41","390",6469,5631,17,821,0,,,39266,324362
"G0100450","1860","Alabama","010","Dale","0450","Dale","41","450",12197,10379,7,1809,2,,,83868,550691
"G0100470","1860","Alabama","010","Dallas","0470","Dallas","41","470",33625,7785,80,25760,0,,,245541,1716129
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb","41","490",10705,9853,4,848,0,,,74053,496116
"G0100570","1860","Alabama","010","Fayette","0570","Fayette","41","570",12850,11145,2,1703,0,,,96246,501713
"G0100590","1860","Alabama","010","Franklin","0590","Franklin","41","590",18627,10119,13,8495,0,,,140228,838487
"G0100630","1860","Alabama","010","Greene","0630","Greene","41","630",30859,7251,10,23598,0,,,259471,1746454
"G0100670","1860","Alabama","010","Henry","0670","Henry","41","670",14918,10464,21,4433,0,,,99118,621480
"G0100710","1860","Alabama","010","Jackson","0710","Jackson","41","710",18283,14811,67,3405,0,,,98255,837307
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson","41","730",11746,9078,19,2649,0,,,95261,552095
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale","41","770",17420,10639,44,6737,0,,,154512,845171
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence","41","790",13975,7173,14,6788,0,,,91730,768543
"G0100830","1860","Alabama","010","Limestone","0830","Limestone","41","830",15306,7215,6,8085,0,,,114529,718902
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes","41","850",27716,8362,14,19340,0,,,405489,1661362
"G0100870","1860","Alabama","010","Macon","0870","Macon","41","870",26802,8624,1,18176,1,,,152394,1291568
"G0100890","1860","Alabama","010","Madison","0890","Madison","41","890",26451,11685,192,14573,1,,,184277,1107685
"G0100910","1860","Alabama","010","Marengo","0910","Marengo","41","910",31171,6761,1,24409,0,,,301473,1699142
"G0100930","1860","Alabama","010","Marion","0930","Marion","41","930",11182,9893,5,1283,1,,,85834,493607
"G0100950","1860","Alabama","010","Marshall","0950","Marshall","41","950",11472,9596,51,1821,4,,,71393,518027
