GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AJR001,AJU001,AJU002,AJU003,AJV001,AJV002,AJ1001,AJ1002,AJ1003,AJ1004,AJ1005,AJ1006,AJ1007,AJ1008,AJ1009,AJ1010,AJ1011,AJ1012,AJ1013,AJ1014,AJ1015,AJ1016,AJ1017,AJ1018,AJ1019,AJ1020,AJ1021,AJ1022,AJ1023,AJ1024,AJ1025,AJ1026,AJ1027,AJ1028,AJ1029,AJ1030,AJ1031,AJ1032,AJ1033,AJ1034
"G0100010","1870","Alabama","010","Autauga","0010","Autauga","41","10",11623,92012,139033,7653,1122059,58164,237,672,57,191158,5568,14,0,1060,285,7965,2060,4917,2154,36660,88,25542,30,20,209,0,0,0,0,0,0,0,0,0,0,0,75,0,1140,5046
"G0100015","1870","Alabama","010","Baker","0015","Baker","41","210",6194,31852,108578,8558,284378,18885,446,11282,99,131311,6238,137,0,709,3256,1360,7634,3986,425,29571,22,46293,25,46,0,1,0,0,0,0,0,0,0,0,0,0,437,0,365,7462
"G0100030","1870","Alabama","010","Baldwin","0030","Baldwin","41","30",6004,4919,77487,745,140550,2158,0,0,0,31025,0,0,0,2500,50,87,9864,343,17,19411,0,4870,0,510,79,0,0,0,0,0,0,0,2,0,0,2906,0,0,200,5950
"G0100050","1870","Alabama","010","Barbour","0050","Barbour","41","50",29309,185727,76361,138262,2374493,93722,0,0,0,364304,3648,0,0,740,0,17011,1266,5827,15,42734,20,300,0,0,0,0,0,0,0,0,0,0,2,0,0,25738,0,0,43,1125
"G0100070","1870","Alabama","010","Bibb","0070","Bibb","41","70",7469,24575,63931,17793,295110,22637,2669,4157,136,82620,13645,91,0,80,490,3973,3934,382,352,14554,0,7395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,50,737
"G0100090","1870","Alabama","010","Blount","0090","Blount","41","90",9945,56349,93652,93275,649291,14861,20319,26956,1049,266553,12779,107,5,0,5682,950,14088,672,4769,31578,20,83055,15,0,63,0,0,0,0,0,0,0,0,0,0,0,14376,0,608,9452
"G0100110","1870","Alabama","010","Bullock","0110","Bullock","41","110",24474,115310,117423,49703,2468172,171925,267,97,3,389791,13632,0,3,0,0,17972,656,3053,259,33021,748,50,0,0,1758,0,0,0,0,0,0,0,0,0,0,0,12364,0,0,710
"G0100130","1870","Alabama","010","Butler","0130","Butler","41","130",14981,75685,112385,13060,927827,13433,0,0,0,251512,4126,0,0,0,0,5854,2737,736,1233,60116,25,12365,0,0,110,0,0,0,0,0,0,0,0,0,0,0,6475,0,89,0
"G0100150","1870","Alabama","010","Calhoun","0150","Calhoun","41","150",13980,68234,125071,18292,1324105,34848,3014,76804,375,238451,29030,5,0,0,1500,3038,4840,969,3867,16776,110,88463,75,52500,55,1,0,0,0,0,0,0,0,0,0,0,10795,0,178,5297
"G0100170","1870","Alabama","010","Chambers","0170","Chambers","41","170",17562,198945,128314,1084,1286665,36320,1237,38295,160,205099,35921,141,0,0,0,7868,1395,506,580,24734,19,51358,0,100,4,0,0,0,0,0,0,0,0,0,0,0,115,0,150,1045
