GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AOT001,APP001,APP002,APP003,APP004
"G0100010","1880","Alabama","010","Autauga","0010","Autauga","41","10",13108,4397,8710,0,1
"G0100030","1880","Alabama","010","Baldwin","0030","Baldwin","41","30",8603,4890,3675,0,38
"G0100050","1880","Alabama","010","Barbour","0050","Barbour","41","50",33979,13091,20884,0,4
"G0100070","1880","Alabama","010","Bibb","0070","Bibb","41","70",9487,5887,3600,0,0
"G0100090","1880","Alabama","010","Blount","0090","Blount","41","90",15369,14210,1159,0,0
"G0100110","1880","Alabama","010","Bullock","0110","Bullock","41","110",29066,6944,22119,0,3
"G0100130","1880","Alabama","010","Butler","0130","Butler","41","130",19649,10684,8965,0,0
"G0100150","1880","Alabama","010","Calhoun","0150","Calhoun","41","150",19591,14134,5457,0,0
"G0100170","1880","Alabama","010","Chambers","0170","Chambers","41","170",23440,11364,12075,0,1
"G0100190","1880","Alabama","010","Cherokee","0190","Cherokee","41","190",19108,16418,2690,0,0
"G0100210","1880","Alabama","010","Chilton","0210","Chilton","41","210",10793,8651,2142,0,0
"G0100230","1880","Alabama","010","Choctaw","0230","Choctaw","41","230",15731,7390,8341,0,0
"G0100250","1880","Alabama","010","Clarke","0250","Clarke","41","250",17806,7718,10086,0,2
"G0100270","1880","Alabama","010","Clay","0270","Clay","41","270",12938,11870,1068,0,0
"G0100290","1880","Alabama","010","Cleburne","0290","Cleburne","41","290",10976,10308,668,0,0
"G0100310","1880","Alabama","010","Coffee","0310","Coffee","41","310",8119,6831,1288,0,0
"G0100330","1880","Alabama","010","Colbert","0330","Colbert","41","330",16153,9203,6950,0,0
"G0100350","1880","Alabama","010","Conecuh","0350","Conecuh","41","350",12605,6224,6380,0,1
"G0100370","1880","Alabama","010","Coosa","0370","Coosa","41","370",15113,10050,5059,0,4
"G0100390","1880","Alabama","010","Covington","0390","Covington","41","390",5639,4968,671,0,0
"G0100410","1880","Alabama","010","Crenshaw","0410","Crenshaw","41","410",11726,9118,2608,0,0
"G0100430","1880","Alabama","010","Cullman","0430","Cullman","41","430",6355,6312,43,0,0
"G0100450","1880","Alabama","010","Dale","0450","Dale","41","450",12677,10553,2122,0,2
"G0100470","1880","Alabama","010","Dallas","0470","Dallas","41","470",48433,8425,40007,0,1
"G0100490","1880","Alabama","010","DeKalb","0490","Dekalb","41","490",12675,11993,682,0,0
"G0100510","1880","Alabama","010","Elmore","0510","Elmore","41","510",17502,8747,8755,0,0
"G0100530","1880","Alabama","010","Escambia","0530","Escambia","41","530",5719,4106,1590,0,23
"G0100550","1880","Alabama","010","Etowah","0550","Etowah","41","550",15398,12896,2502,0,0
"G0100570","1880","Alabama","010","Fayette","0570","Fayette","41","570",10135,8873,1262,0,0
"G0100590","1880","Alabama","010","Franklin","0590","Franklin","41","590",9155,8079,1076,0,0
"G0100610","1880","Alabama","010","Geneva","0610","Geneva","41","610",4342,3829,513,0,0
"G0100630","1880","Alabama","010","Greene","0630","Greene","41","630",21931,3765,18165,0,1
"G0100650","1880","Alabama","010","Hale","0650","Hale","41","650",26553,4903,21650,0,0
"G0100670","1880","Alabama","010","Henry","0670","Henry","41","670",18761,11994,6767,0,0
"G0100710","1880","Alabama","010","Jackson","0710","Jackson","41","710",25114,21074,4033,0,7
"G0100730","1880","Alabama","010","Jefferson","0730","Jefferson","41","730",23272,18219,5053,0,0
