GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ASW001,AUJ001,AUJ002,AUK001,AUK002,AUK003,ATB001,ATB002,ATB003,ATB004,ATB005,ATB006,ATB007,ATB008,ATB009,ATB010,ATB011,ATB012,ATB013,ATB014,ATB015,ATB016,ATB017,ATB018,ATB019,ATB020,ATB021,ATB022,ATB023,ATB024,ATB025,ATB026,ATB027,ATB028,ATB029,ATB030,ATB031
"G0100010","1890","Alabama","010","Autauga","0010","Autauga","41","10",13330,85889,137047,1139190,52470,288330,0,70,216082,20933,73,95,10431,1231,0,0,0,0,600,21797,0,6841,0,0,690,0,0,18860,125,0,101,23176,90,1000,5152,2496,68942
"G0100030","1890","Alabama","010","Baldwin","0030","Baldwin","41","30",8941,7031,65558,285210,11230,176820,0,0,49147,1460,0,0,663,83,0,0,0,0,2100,16851,0,231,0,0,468,0,0,14100,200,0,0,47,91,0,217,2649,34501
"G0100050","1890","Alabama","010","Barbour","0050","Barbour","41","50",34898,251312,257992,2692940,134740,616410,0,0,593348,59976,946,20,33440,9697,0,0,0,0,66900,123120,0,2572,0,0,58,0,0,10964,749,0,395,19841,417,0,11069,1165,106939
"G0100070","1890","Alabama","010","Bibb","0070","Bibb","41","70",13824,47264,149334,834900,41870,277620,0,0,254277,33891,63,153,5216,652,0,0,0,0,0,30622,0,10141,0,0,509,0,0,20000,1595,0,10,7546,162,0,1588,4651,38504
"G0100090","1890","Alabama","010","Blount","0090","Blount","41","90",21927,110232,222353,1896480,82360,554630,0,20,593219,95313,227,6517,9748,1443,0,0,0,0,0,1485,0,32747,0,0,505,8,0,0,9158,0,27,1365,65,695,511,19293,80255
"G0100110","1890","Alabama","010","Bullock","0110","Bullock","41","110",27063,177446,118567,1504370,81670,561270,0,0,562045,50497,68,0,30547,11629,0,0,0,0,60600,89483,0,10166,0,0,89,0,0,9555,110,0,19,10270,38,0,7583,567,73227
"G0100130","1890","Alabama","010","Butler","0130","Butler","41","130",21641,128390,189188,1539620,47410,468810,0,0,415141,73618,1,0,18200,2275,0,0,0,0,22850,94256,0,2033,0,0,59,0,0,11075,499,0,1,2316,4,0,1909,321,112389
"G0100150","1890","Alabama","010","Calhoun","0150","Calhoun","41","150",33835,93241,119360,2067370,54230,435190,50,100,429205,101338,118,17817,11504,2588,0,0,0,0,0,837,0,53886,0,0,1169,0,0,0,2804,0,65,1333,138,0,133,9104,48484
"G0100170","1890","Alabama","010","Chambers","0170","Chambers","41","170",26319,202130,156764,2680900,132540,585800,30,150,504273,63229,231,6417,27276,4909,0,0,0,0,400,64576,0,47456,0,0,161,0,0,0,248,0,0,3990,34,20,1385,1517,77095
"G0100190","1890","Alabama","010","Cherokee","0190","Cherokee","41","190",20459,100529,150607,2061070,51900,493050,0,79,538212,68754,196,23573,11870,1979,0,0,0,0,,,0,48910,0,0,842,0,0,0,4593,0,25,1482,52,0,213,8011,44966
