GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ADQ001,AE6001,AE6002,AE6003,AEE001,AEF001,AEF002
"G0100010","1850","Alabama","010","Autauga","0010","Autauga","41","10",15023,6274,19,8730,1368113,109692,413735
"G0100030","1850","Alabama","010","Baldwin","0030","Baldwin","41","30",4414,2100,96,2218,120476,11563,152136
"G0100050","1850","Alabama","010","Barbour","0050","Barbour","41","50",23632,12842,10,10780,1962320,148027,666565
"G0100055","1850","Alabama","010","Benton","0055","Benton","41","150",17163,13397,3,3763,1301300,115600,388410
"G0100070","1850","Alabama","010","Bibb","0070","Bibb","41","70",9969,7097,11,2861,621944,56797,310377
"G0100090","1850","Alabama","010","Blount","0090","Blount","41","90",7367,6941,0,426,240656,32112,161005
"G0100130","1850","Alabama","010","Butler","0130","Butler","41","130",10836,7162,35,3639,400170,46344,259362
"G0100170","1850","Alabama","010","Chambers","0170","Chambers","41","170",23960,12784,18,11158,2274615,169805,673370
"G0100190","1850","Alabama","010","Cherokee","0190","Cherokee","41","190",13884,12170,23,1691,1182398,81110,344085
"G0100230","1850","Alabama","010","Choctaw","0230","Choctaw","41","230",8389,4620,0,3769,649393,53754,285677
"G0100250","1850","Alabama","010","Clarke","0250","Clarke","41","250",9786,4901,9,4876,675460,69859,306160
"G0100310","1850","Alabama","010","Coffee","0310","Coffee","41","310",5940,5380,3,557,232001,30042,183220
"G0100350","1850","Alabama","010","Conecuh","0350","Conecuh","41","350",9322,4925,3,4394,426965,55781,297258
"G0100370","1850","Alabama","010","Coosa","0370","Coosa","41","370",14543,10414,9,4120,819211,81499,378884
"G0100390","1850","Alabama","010","Covington","0390","Covington","41","390",3645,3077,88,480,90751,18846,132860
"G0100450","1850","Alabama","010","Dale","0450","Dale","41","450",6382,5622,3,757,291522,47540,211529
"G0100470","1850","Alabama","010","Dallas","0470","Dallas","41","470",29727,7461,8,22258,3902668,369856,884354
"G0100490","1850","Alabama","010","DeKalb","0490","Dekalb","41","490",8245,7730,9,506,464967,30945,205370
"G0100570","1850","Alabama","010","Fayette","0570","Fayette","41","570",9681,8451,9,1221,409649,60705,286343
"G0100590","1850","Alabama","010","Franklin","0590","Franklin","41","590",19610,11398,15,8197,2196209,158408,593776
"G0100630","1850","Alabama","010","Greene","0630","Greene","41","630",31441,9265,49,22127,3705218,270481,935144
"G0100655","1850","Alabama","010","Hancock","0655","Hancock","41","1330",1542,1480,0,62,40139,4745,44044
"G0100670","1850","Alabama","010","Henry","0670","Henry","41","670",9019,6776,1,2242,603240,74549,328554
"G0100710","1850","Alabama","010","Jackson","0710","Jackson","41","710",14088,11754,42,2292,952486,68795,383758
"G0100730","1850","Alabama","010","Jefferson","0730","Jefferson","41","730",8989,6714,8,2267,580808,55521,273525
