GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AGP001,AGP002,AGV001,AGV002,AGY001,AGY002,AGY003,AGY004,AGY005,AGY006,AGY007,AGY008,AGY009,AGY010,AGY011,AGY012,AGY013,AGY014,AGY015,AGY016,AGY017,AGY018,AGY019,AGY020,AGY021,AGY022,AGY023,AGY024,AGY025,AGY026,AGY027,AGY028,AGY029,AGY030,AGY031,AGY032,AGY033
"G0100010","1860","Alabama","010","Autauga","0010","Autauga","41","10",131733,307385,2901285,125234,10105,2795,559521,7034,23282,1052,17329,12289,60608,6872,126930,246,246,1114,109239,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,23799
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin","41","30",10141,73045,468090,20495,28,110,131167,0,6802,390,2172,7244,2261,1656,33979,0,0,104,20394,615,619,0,0,0,0,0,0,0,0,0,0,0,0,81,0,320,6730
"G0100050","1860","Alabama","010","Barbour","0050","Barbour","41","50",209150,324653,4960812,181321,6001,1585,909973,15727,41875,205,44518,11426,84741,4705,273851,410,58,705,121935,110,19,0,0,0,0,0,0,0,0,0,0,0,0,13865,35,3016,38266
"G0100070","1860","Alabama","010","Bibb","0070","Bibb","41","70",74705,230542,1442455,112325,15393,745,411130,7143,335,2475,8303,12262,40368,4854,86879,102,309,11,79328,5,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611,30502
"G0100090","1860","Alabama","010","Blount","0090","Blount","41","90",40943,152087,832500,54835,35286,305,294702,7184,90,21990,1071,7454,13565,6978,39951,103,66,0,102490,30,11,3,7,6,0,0,0,5,5,0,1,0,0,4060,0,746,8000
"G0100130","1860","Alabama","010","Butler","0130","Butler","41","130",99959,306628,2950744,101432,1104,394,476301,5634,4210,345,13489,11449,26291,579,124391,0,0,15,92543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,1201,14836
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun","41","150",125306,246619,2709394,150088,103434,652,655193,28049,400,4785,11573,15031,16508,6311,90850,150,0,8,187012,82,65,0,6,25,0,0,0,0,0,0,0,0,0,3846,3347,843,18628
"G0100170","1860","Alabama","010","Chambers","0170","Chambers","41","170",226163,206279,3035933,216501,78861,2143,793466,44855,1065,70,24589,10849,25538,12022,176771,123,0,281,223590,1055,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,2066,59449
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee","41","190",106919,218234,2979265,166508,91037,921,604217,32378,320,23399,10562,17127,20146,9665,79823,57,0,237,153196,1536,51,0,3,5,0,0,0,0,30,0,0,0,0,936,0,731,12302
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw","41","230",92272,258903,2746506,112246,442,975,445285,2759,7181,70,17252,6950,24878,6167,102807,40,30,544,59989,0,1011,0,23,5,0,0,0,0,0,0,0,0,0,96,0,783,17406
"G0100250","1860","Alabama","010","Clarke","0250","Clarke","41","250",99429,446169,3255548,143281,70,714,516355,2045,10195,15760,16225,13390,18891,5390,151223,0,0,42,67529,0,842,0,7,0,0,0,0,0,0,0,0,0,0,860,0,5964,65881
"G0100310","1860","Alabama","010","Coffee","0310","Coffee","41","310",56612,213181,1004062,41228,533,70,257822,2508,1721,229,5294,3292,33141,892,78357,60,0,10,38995,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,3483,0,555,8022
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh","41","350",73845,173682,1045700,73492,823,685,302610,3508,15597,3280,6850,10118,14125,2222,72370,13,0,281,46181,500,21,0,0,18,0,0,0,0,0,0,0,1,0,940,222,2353,25313
"G0100370","1860","Alabama","010","Coosa","0370","Coosa","41","370",123231,316376,1672376,146061,32079,1105,552928,19189,9985,1852,13990,11794,60066,16221,158293,532,0,232,122494,2623,90,0,1,11,0,0,0,0,0,0,0,0,0,126,0,3434,43619
"G0100390","1860","Alabama","010","Covington","0390","Covington","41","390",29275,142651,538155,39266,350,229,148475,1173,19849,1431,2021,9282,7761,261,55459,12,0,0,34111,490,0,0,0,0,0,0,0,0,0,0,0,150,0,2630,170,1475,14830
"G0100450","1860","Alabama","010","Dale","0450","Dale","41","450",76726,273651,1431122,83868,1278,650,341239,9614,36201,2206,7836,12613,8938,1839,109129,0,0,0,59068,100,0,0,0,0,0,0,0,0,0,0,0,0,0,17273,0,1634,16670
"G0100470","1860","Alabama","010","Dallas","0470","Dallas","41","470",261130,286343,9311714,245541,8880,2617,1352961,10496,21673,2027,63410,19110,38753,8564,185919,106,0,2398,136636,0,4839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,20022
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb","41","490",56218,99314,1100609,74053,49436,869,451081,20821,50,26664,1498,15747,7990,11267,49034,14,0,0,91637,1391,237,5,30,0,0,0,0,0,0,0,0,0,0,0,16941,767,9969
"G0100570","1860","Alabama","010","Fayette","0570","Fayette","41","570",56768,328739,739641,96246,29483,292,338552,1090,222,4151,5462,18604,28689,2829,64103,29,16,10,128779,0,1970,0,0,0,0,0,0,0,0,0,0,0,0,1893,233,2280,29229
