GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AOS001,AOS002,AOD001,AOD002,AOD003,AOH001,AOH002,AOH003,AOH004,AOH005,AOH006,AOH007,AOH008,AOH009,AOH010,AOH011,AOH012,AOH013,AOH014,AOH015,AOH016,AOH017,AOH018,AOH019,AOH020,AOH021,AOH022,AOH023,AOH024,AOH025,AOH026,AOH027,AOH028,AOH029,AOH030,AOH031,AOH032,AOH033,AOH034,AOH035,AOH036,AOH037,AOH038
"G0100010","1880","Alabama","010","Autauga","0010","Autauga","41","10",84602,171667,779253,32541,244193,3922,638,57554,10,0,0,184393,22044,282,3459,7944,0,0,0,0,0,2348,0,3569,0,0,41,0,0,60589,6839,594,16199,1844,908,34820,18166,1355,3922,0,0,10296,100
"G0100030","1880","Alabama","010","Baldwin","0030","Baldwin","41","30",8529,150277,289453,9417,222685,44496,0,23299,0,0,0,28428,5108,0,0,638,0,0,0,0,6,10870,0,80,0,0,194,0,0,32528,2210,162,80831,350,1901,50025,102088,13488,44496,0,0,226,22
"G0100050","1880","Alabama","010","Barbour","0050","Barbour","41","50",205396,307041,1826309,89169,568209,6779,2167,172026,435,0,0,437415,99295,473,530,26063,0,0,0,0,7,73191,0,1750,0,0,4,0,0,166909,13543,1973,24989,3512,2415,112374,19644,2737,6779,0,0,15829,143
"G0100070","1880","Alabama","010","Bibb","0070","Bibb","41","70",45777,157641,482653,25956,200615,6368,25,79070,0,0,0,236086,21926,501,16700,4843,0,0,0,0,1,4397,0,7218,0,0,41,0,0,44148,8406,860,1700,5248,1261,36892,16765,3816,6368,0,0,4602,42
"G0100090","1880","Alabama","010","Blount","0090","Blount","41","90",71887,188149,1032648,48666,326032,15450,1016,201550,95,0,0,422048,44194,444,60856,4442,0,0,0,0,0,0,0,36193,0,0,34,0,0,141109,10951,1485,0,9912,4502,22265,31095,10370,15450,0,0,4465,78
"G0100110","1880","Alabama","010","Bullock","0110","Bullock","41","110",182919,142667,1625344,99186,514990,3624,265,87273,144,0,0,379876,43028,596,455,22578,0,0,0,0,0,49810,0,2021,0,0,36,0,0,122815,5343,463,13658,833,979,67008,3231,1293,3624,0,0,7401,53
"G0100130","1880","Alabama","010","Butler","0130","Butler","41","130",88619,155264,801105,41051,368761,7607,375,40864,0,0,0,274668,71100,0,150,11895,0,0,0,0,4,43106,0,3032,0,0,0,0,0,113684,10714,1357,12597,2559,3483,67606,4502,3437,7607,0,0,1222,0
"G0100150","1880","Alabama","010","Calhoun","0150","Calhoun","41","150",95331,138591,1606887,72853,326008,8440,2498,142129,0,0,0,469598,93368,1700,67660,10848,0,0,0,0,0,0,0,34278,0,0,370,0,0,85890,11657,548,0,6592,3330,27876,48275,4308,8440,0,0,2694,84
"G0100170","1880","Alabama","010","Chambers","0170","Chambers","41","170",156026,198742,2155871,86847,471896,7318,1505,185176,0,327,0,458286,80592,637,75945,19476,0,0,0,0,1,16621,50,30198,0,0,6,0,0,174178,14768,1243,1325,8055,4213,83116,32531,3699,7318,0,0,6626,52
"G0100190","1880","Alabama","010","Cherokee","0190","Cherokee","41","190",89861,160523,1712506,96815,420470,10432,1347,244100,50,0,0,509381,66215,1020,66956,10777,0,0,0,0,0,0,0,34895,0,0,201,0,0,148185,11657,848,0,14318,3823,20765,46481,5809,10432,0,0,3821,247
