GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AUM001,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012,AUY001,AUY002
"G0100010","1890","Alabama","010","Autauga","0010","Autauga","41","10",13330,8418,8710,7292,0,0,0,0,0,0,116,1,2,1139190,52470
"G0100030","1890","Alabama","010","Baldwin","0030","Baldwin","41","30",8941,3263,3675,2845,0,0,0,0,0,0,0,38,0,285210,11230
"G0100050","1890","Alabama","010","Barbour","0050","Barbour","41","50",34898,21442,20884,17165,0,0,0,0,0,0,2,4,1,2692940,134740
"G0100070","1890","Alabama","010","Bibb","0070","Bibb","41","70",13824,4744,3600,2408,0,0,0,0,0,0,0,0,0,834900,41870
"G0100090","1890","Alabama","010","Blount","0090","Blount","41","90",21927,1770,1159,682,0,0,0,0,0,0,2,0,0,1896480,82360
"G0100110","1890","Alabama","010","Bullock","0110","Bullock","41","110",27063,21005,22119,17251,0,0,0,0,0,0,3,3,0,1504370,81670
"G0100130","1890","Alabama","010","Butler","0130","Butler","41","130",21641,10315,8965,6391,0,0,0,0,0,0,0,0,0,1539620,47410
"G0100150","1890","Alabama","010","Calhoun","0150","Calhoun","41","150",33835,9879,5457,3892,3,0,0,0,0,0,6,0,0,2067370,54230
"G0100170","1890","Alabama","010","Chambers","0170","Chambers","41","170",26319,13858,12075,8588,0,0,0,0,0,0,1,1,0,2680900,132540
"G0100190","1890","Alabama","010","Cherokee","0190","Cherokee","41","190",20459,2803,2690,1480,0,0,0,0,0,0,0,0,0,2061070,51900
"G0100210","1890","Alabama","010","Chilton","0210","Chilton","41","210",14549,3066,2142,1137,0,0,0,0,0,0,0,0,0,920860,29390
"G0100230","1890","Alabama","010","Choctaw","0230","Choctaw","41","230",17526,9313,8341,6872,0,0,0,0,0,0,4,0,2,1000160,51020
"G0100250","1890","Alabama","010","Clarke","0250","Clarke","41","250",22624,12939,10086,7565,0,0,0,0,0,0,0,2,0,1600650,71710
"G0100270","1890","Alabama","010","Clay","0270","Clay","41","270",15765,1704,1068,737,0,0,0,0,0,0,0,0,0,1066270,36700
"G0100290","1890","Alabama","010","Cleburne","0290","Cleburne","41","290",13218,791,668,576,0,0,0,0,0,0,0,0,0,1064670,36060
"G0100310","1890","Alabama","010","Coffee","0310","Coffee","41","310",12170,1933,1288,1020,0,0,0,0,0,0,0,0,0,1172920,34110
"G0100330","1890","Alabama","010","Colbert","0330","Colbert","41","330",20189,7828,6950,4639,0,0,0,0,0,0,0,0,0,1675070,38920
"G0100350","1890","Alabama","010","Conecuh","0350","Conecuh","41","350",14594,6606,6380,4901,0,0,0,1,0,0,0,1,6,851750,29270
"G0100370","1890","Alabama","010","Coosa","0370","Coosa","41","370",15906,5354,5059,3394,0,0,0,0,0,0,0,4,7,1120870,53900
"G0100390","1890","Alabama","010","Covington","0390","Covington","41","390",7536,841,671,599,0,0,0,0,0,0,0,0,0,562640,15880
"G0100410","1890","Alabama","010","Crenshaw","0410","Crenshaw","41","410",15425,3679,2608,2206,0,0,0,0,0,0,1,0,0,1032780,30010
"G0100430","1890","Alabama","010","Cullman","0430","Cullman","41","430",13439,38,43,0,0,0,0,0,0,0,0,0,0,1174230,48420
"G0100450","1890","Alabama","010","Dale","0450","Dale","41","450",17225,3358,2122,1797,0,0,0,0,0,0,0,2,0,1625320,62000
"G0100470","1890","Alabama","010","Dallas","0470","Dallas","41","470",49350,41329,40007,32152,2,0,0,0,0,0,3,1,1,2930460,164310
"G0100490","1890","Alabama","010","DeKalb","0490","Dekalb","41","490",21106,1204,682,470,2,0,0,0,0,0,3,0,0,1695270,57770
"G0100510","1890","Alabama","010","Elmore","0510","Elmore","41","510",21732,10288,8755,6730,1,0,0,0,0,0,0,0,0,2020930,69180
"G0100530","1890","Alabama","010","Escambia","0530","Escambia","41","530",8666,2650,1590,951,0,0,0,0,0,0,173,23,43,386770,14960
"G0100550","1890","Alabama","010","Etowah","0550","Etowah","41","550",21926,3755,2502,1708,0,0,0,0,0,0,0,0,0,1689570,63450
"G0100570","1890","Alabama","010","Fayette","0570","Fayette","41","570",12823,1682,1262,1077,0,0,0,0,0,0,0,0,0,989720,53060
"G0100590","1890","Alabama","010","Franklin","0590","Franklin","41","590",10681,1160,1076,1313,0,0,0,1,0,0,0,0,0,829020,24890
"G0100610","1890","Alabama","010","Geneva","0610","Geneva","41","610",10690,1026,513,227,0,0,0,0,0,0,0,0,0,840950,24160
"G0100630","1890","Alabama","010","Greene","0630","Greene","41","630",22007,18771,18165,14541,0,0,0,0,0,0,1,1,0,1548450,83240
"G0100650","1890","Alabama","010","Hale","0650","Hale","41","650",27501,22321,21650,16990,0,0,0,0,0,0,0,0,0,3131120,136160
"G0100670","1890","Alabama","010","Henry","0670","Henry","41","670",24847,8809,6767,4657,0,0,0,0,0,0,0,0,0,2509850,93420
"G0100710","1890","Alabama","010","Jackson","0710","Jackson","41","710",28026,3840,4033,3060,0,0,0,0,0,0,7,7,0,3250670,93970
"G0100730","1890","Alabama","010","Jefferson","0730","Jefferson","41","730",88501,32142,5053,2506,16,0,0,1,0,0,8,0,0,3024830,93320
"G0100750","1890","Alabama","010","Lamar","0750","Lamar","41","750",14187,2748,2173,1563,0,0,0,0,0,0,0,2,0,1125570,45640
"G0100770","1890","Alabama","010","Lauderdale","0770","Lauderdale","41","770",23739,7091,6860,5170,1,0,0,0,0,0,0,2,0,2091260,79520
"G0100790","1890","Alabama","010","Lawrence","0790","Lawrence","41","790",20725,8171,8750,6562,0,0,0,0,0,0,1,0,0,2210090,74010
"G0100810","1890","Alabama","010","Lee","0810","Lee","41","810",28694,16497,15041,11597,0,0,0,0,0,0,0,4,2,1926170,77960
"G0100830","1890","Alabama","010","Limestone","0830","Limestone","41","830",21201,9002,9963,7253,0,0,0,0,0,0,1,0,0,2586310,68695
"G0100850","1890","Alabama","010","Lowndes","0850","Lowndes","41","850",31550,26985,25528,20633,0,0,0,0,0,0,2,3,0,2649310,137990
"G0100870","1890","Alabama","010","Macon","0870","Macon","41","870",18439,14188,12784,12620,0,0,0,0,0,0,0,0,4,1157250,46610
"G0100890","1890","Alabama","010","Madison","0890","Madison","41","890",38119,18769,19034,15740,0,0,0,0,0,0,5,0,0,4330350,181300
"G0100910","1890","Alabama","010","Marengo","0910","Marengo","41","910",33095,25149,23612,20058,0,0,0,0,0,0,0,1,3,3136570,124880
"G0100930","1890","Alabama","010","Marion","0930","Marion","41","930",11347,578,520,224,0,0,0,0,0,0,0,3,0,639630,34910
"G0100950","1890","Alabama","010","Marshall","0950","Marshall","41","950",18935,1279,1496,1367,0,0,0,0,0,0,4,5,0,1697140,85970
"G0100970","1890","Alabama","010","Mobile","0970","Mobile","41","970",51587,22804,21443,21107,12,4,0,0,0,0,402,19,9,639710,30380
"G0100990","1890","Alabama","010","Monroe","0990","Monroe","41","990",18990,10608,9234,7572,0,0,0,0,0,0,3,77,17,1319500,84550
"G0101010","1890","Alabama","010","Montgomery","1010","Montgomery","41","1010",56172,41485,38899,31285,4,0,0,0,0,0,1,0,0,3204870,156120
"G0101030","1890","Alabama","010","Morgan","1030","Morgan","41","1030",24089,6073,4670,3358,3,0,0,0,0,0,0,0,0,2075240,72860
"G0101050","1890","Alabama","010","Perry","1050","Perry","41","1050",29332,22516,23591,17833,0,0,0,0,0,0,4,0,0,1739930,103540
"G0101070","1890","Alabama","010","Pickens","1070","Pickens","41","1070",22470,13185,12347,9638,1,0,0,0,0,0,0,0,0,2084790,98760
"G0101090","1890","Alabama","010","Pike","1090","Pike","41","1090",24423,9070,6272,4625,0,0,0,0,0,0,4,0,0,1892500,68790
"G0101110","1890","Alabama","010","Randolph","1110","Randolph","41","1110",17219,3305,3420,1641,0,0,0,0,0,0,0,0,0,1266450,41860
"G0101130","1890","Alabama","010","Russell","1130","Russell","41","1130",24093,18279,18655,15690,0,0,0,0,0,0,0,0,0,1577270,65960
"G0101150","1890","Alabama","010","St Clair","1150","St Clair","41","1150",17353,3050,2834,2065,0,0,0,0,0,0,0,7,0,1448110,70770
"G0101170","1890","Alabama","010","Shelby","1170","Shelby","41","1170",20886,6596,4983,3378,0,0,0,0,0,0,1,0,0,1059500,47770
"G0101190","1890","Alabama","010","Sumter","1190","Sumter","41","1190",29574,23631,22277,18907,0,0,0,0,0,0,0,0,0,2109520,104730
"G0101210","1890","Alabama","010","Talladega","1210","Talladega","41","1210",29346,13944,12504,9595,3,0,0,0,0,0,0,0,0,2061980,68720
"G0101230","1890","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",25460,8508,7293,4190,0,0,0,0,0,0,1,0,1,2133410,82650
"G0101250","1890","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",30352,12091,9741,8294,0,0,0,0,0,0,0,0,0,1741010,80760
"G0101270","1890","Alabama","010","Walker","1270","Walker","41","1270",16078,1656,501,308,0,0,0,0,0,0,0,0,0,1304050,36500
"G0101290","1890","Alabama","010","Washington","1290","Washington","41","1290",7935,3249,1729,1787,0,0,0,0,0,0,0,2,0,265550,9850
"G0101310","1890","Alabama","010","Wilcox","1310","Wilcox","41","1310",30816,24022,25117,21610,0,0,0,0,0,0,0,0,0,2821240,108470
"G0101330","1890","Alabama","010","Winston","1330","Winston","41","1330",6552,36,17,21,0,0,0,0,0,0,0,0,0,339260,21420
"G0250055","1890","Alaska Territory","025","Northern District","0055","Northern District","81","2900",7134,97,,,5,,,,,,6439,9946,,,
"G0250095","1890","Alaska Territory","025","Southern District","0095","Southern District","81","2950",24918,15,,,2283,,,,,,18915,23050,,,
"G0450015","1890","Arizona Territory","045","Apache","0015","Apache","61","10",4281,329,4,0,16,62,0,0,0,0,5,1819,0,3604290,23420
"G0450035","1890","Arizona Territory","045","Cochise","0035","Cochise","61","30",6938,22,0,0,173,0,0,0,0,0,1,0,0,229400,8240
"G0450075","1890","Arizona Territory","045","Gila","0075","Gila","61","70",2021,276,0,0,40,0,0,0,0,0,0,0,0,50700,1450
"G0450095","1890","Arizona Territory","045","Graham","0095","Graham","61","90",5670,505,0,0,86,0,0,0,0,0,3,0,0,367690,25330
"G0450135","1890","Arizona Territory","045","Maricopa","0135","Maricopa","61","130",10986,77,9,0,234,164,0,0,0,0,1,486,0,1720450,68650
"G0450155","1890","Arizona Territory","045","Mohave","0155","Mohave","61","150",1444,2,13,4,28,15,0,0,0,0,9,286,0,18100,1400
"G0450195","1890","Arizona Territory","045","Pima","0195","Pima","61","190",12673,57,76,12,299,1153,0,1,2,0,904,166,6,286100,11960
"G0450215","1890","Arizona Territory","045","Pinal","0215","Pinal","61","210",4251,16,22,0,64,64,0,0,0,0,138,28,0,363620,16780
"G0450255","1890","Arizona Territory","045","Yavapai","0255","Yavapai","61","250",8685,66,31,8,169,140,12,0,0,0,27,54,6,488230,34040
"G0450275","1890","Arizona Territory","045","Yuma","0275","Yuma","61","270",2671,7,0,2,61,32,8,0,0,0,424,654,19,93650,5310
"G0500010","1890","Arkansas","050","Arkansas","0010","Arkansas","42","10",11432,3532,3067,4212,0,0,74,0,0,0,1,0,0,1857700,93450
"G0500030","1890","Arkansas","050","Ashley","0030","Ashley","42","30",13295,6868,5130,3764,0,0,0,0,0,0,0,0,0,1567130,93880
"G0500050","1890","Arkansas","050","Baxter","0050","Baxter","42","50",8527,18,45,0,0,0,0,0,0,0,0,0,0,755340,58540
"G0500070","1890","Arkansas","050","Benton","0070","Benton","42","70",27716,92,128,182,0,0,0,0,0,0,2,33,9,4877600,178710
"G0500090","1890","Arkansas","050","Boone","0090","Boone","42","90",15816,91,88,74,0,0,0,0,0,0,2,0,0,1840850,82690
"G0500110","1890","Arkansas","050","Bradley","0110","Bradley","42","110",7972,2864,2210,2529,0,0,0,0,0,0,0,0,0,596890,38890
"G0500130","1890","Arkansas","050","Calhoun","0130","Calhoun","42","130",7267,2720,2088,1100,0,0,0,0,0,0,0,0,0,557110,31430
"G0500150","1890","Arkansas","050","Carroll","0150","Carroll","42","150",17288,82,60,37,0,0,0,0,0,0,1,5,0,1696590,67980
"G0500170","1890","Arkansas","050","Chicot","0170","Chicot","42","170",11419,10023,8495,5393,4,59,5,0,0,0,0,0,0,1823550,65780
"G0500190","1890","Arkansas","050","Clark","0190","Clark","42","190",20997,6785,5203,3492,0,0,0,0,0,0,11,1,0,1530390,77650
"G0500210","1890","Arkansas","050","Clay","0210","Clay","42","210",12200,43,22,0,0,0,0,0,0,0,1,0,0,1015930,53130
"G0500230","1890","Arkansas","050","Cleburne","0230","Cleburne","42","230",7884,49,0,0,0,0,0,0,0,0,3,0,0,708200,36800
"G0500250","1890","Arkansas","050","Cleveland","0250","Cleveland","42","250",11362,3327,2329,0,0,0,0,0,0,0,1,0,0,916840,49750
"G0500270","1890","Arkansas","050","Columbia","0270","Columbia","42","270",19893,7312,5503,3718,0,0,0,0,0,0,1,0,0,1325560,85110
"G0500290","1890","Arkansas","050","Conway","0290","Conway","42","290",19459,7671,3206,630,0,0,0,0,0,0,0,3,0,2042030,92260
"G0500310","1890","Arkansas","050","Craighead","0310","Craighead","42","310",12025,519,261,253,0,0,0,0,0,0,0,0,0,1058680,67760
"G0500330","1890","Arkansas","050","Crawford","0330","Crawford","42","330",21714,2296,1392,988,0,0,0,0,0,0,8,16,8,2764680,91680
"G0500350","1890","Arkansas","050","Crittenden","0350","Crittenden","42","350",13940,11890,7516,2575,0,0,0,0,0,0,0,0,3,2232072,49350
"G0500370","1890","Arkansas","050","Cross","0370","Cross","42","370",7693,2890,1789,1289,0,0,0,0,0,0,1,0,0,557360,25060
"G0500390","1890","Arkansas","050","Dallas","0390","Dallas","42","390",9296,3265,2206,1751,0,0,0,0,0,0,5,0,0,623390,48580
"G0500410","1890","Arkansas","050","Desha","0410","Desha","42","410",10324,8198,6514,3934,2,0,5,0,0,0,5,7,1,1695450,71880
"G0500430","1890","Arkansas","050","Drew","0430","Drew","42","430",17352,9865,5759,3854,0,0,0,0,0,0,0,0,0,1526080,77650
"G0500450","1890","Arkansas","050","Faulkner","0450","Faulkner","42","450",18342,3348,1418,0,0,0,0,0,0,0,0,0,0,1530990,80610
"G0500470","1890","Arkansas","050","Franklin","0470","Franklin","42","470",19934,677,493,651,0,0,0,0,0,0,1,3,0,2271550,111930
"G0500490","1890","Arkansas","050","Fulton","0490","Fulton","42","490",10984,85,36,85,0,0,0,0,0,0,1,0,0,990700,54260
"G0500510","1890","Arkansas","050","Garland","0510","Garland","42","510",15328,2774,1562,0,5,4,0,0,0,0,2,0,0,908300,36490
"G0500530","1890","Arkansas","050","Grant","0530","Grant","42","530",7786,1035,556,339,0,0,0,0,0,0,1,0,0,619570,41560
"G0500550","1890","Arkansas","050","Greene","0550","Greene","42","550",12908,161,75,156,0,0,0,0,0,0,0,0,0,1164050,63310
"G0500570","1890","Arkansas","050","Hempstead","0570","Hempstead","42","570",22796,10968,9421,6329,0,0,0,0,0,0,9,1,0,1922590,108420
"G0500590","1890","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",11603,1249,745,650,0,0,0,0,0,0,0,0,1,767770,53850
"G0500610","1890","Arkansas","050","Howard","0610","Howard","42","610",13789,3054,2508,0,0,0,0,0,0,0,1,0,0,1288160,68260
"G0500630","1890","Arkansas","050","Independence","0630","Independence","42","630",21961,1568,1382,908,1,0,0,0,0,0,11,1,0,2371460,121930
"G0500650","1890","Arkansas","050","Izard","0650","Izard","42","650",13038,262,222,182,0,0,0,0,0,0,0,0,0,1117060,63350
"G0500670","1890","Arkansas","050","Jackson","0670","Jackson","42","670",15179,4329,2763,1612,1,1,0,0,0,0,0,0,0,2125510,96640
"G0500690","1890","Arkansas","050","Jefferson","0690","Jefferson","42","690",40881,29908,17011,10167,13,43,10,0,0,0,9,1,0,4575040,215290
"G0500710","1890","Arkansas","050","Johnson","0710","Johnson","42","710",16758,631,491,613,0,0,0,0,0,0,2,1,0,1848870,105450
"G0500730","1890","Arkansas","050","Lafayette","0730","Lafayette","42","730",7700,4543,3614,5158,0,0,0,0,0,0,0,0,0,574060,21470
"G0500750","1890","Arkansas","050","Lawrence","0750","Lawrence","42","750",12984,833,467,246,0,0,0,0,0,0,0,0,0,1687370,59770
"G0500770","1890","Arkansas","050","Lee","0770","Lee","42","770",18886,14187,9150,0,1,0,0,0,0,0,7,0,0,2489460,92920
"G0500790","1890","Arkansas","050","Lincoln","0790","Lincoln","42","790",10255,6469,5040,0,1,0,0,0,0,0,1,3,0,1007670,39840
"G0500810","1890","Arkansas","050","Little River","0810","Little River","42","810",8903,4001,3335,1878,0,0,0,0,0,0,0,5,0,854430,55850
"G0500830","1890","Arkansas","050","Logan","0830","Logan","42","830",20774,1124,984,0,0,0,0,0,0,0,4,0,0,2611160,128790
"G0500850","1890","Arkansas","050","Lonoke","0850","Lonoke","42","850",19263,7981,4003,0,0,0,0,0,0,0,4,0,0,2570810,140185
"G0500870","1890","Arkansas","050","Madison","0870","Madison","42","870",17402,58,124,150,0,0,0,0,0,0,0,0,0,1739660,71170
"G0500890","1890","Arkansas","050","Marion","0890","Marion","42","890",10390,32,43,19,0,0,0,0,0,0,0,0,0,800070,41020
"G0500910","1890","Arkansas","050","Miller","0910","Miller","42","910",14714,6565,4595,0,2,0,0,0,0,0,0,0,0,1291600,57600
"G0500930","1890","Arkansas","050","Mississippi","0930","Mississippi","42","930",11635,5884,2654,971,11,5,0,0,0,0,5,2,0,2233040,75365
"G0500950","1890","Arkansas","050","Monroe","0950","Monroe","42","950",15336,9203,5209,3200,9,0,0,0,0,0,0,0,1,2373520,63870
