GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AWS001,AWT001,AWU001,AWW001,AWW002,AWW003,AWW004,AXO001,AXO002,AXO003,AXO004,AXO005,AXO006,AXO007,AXO008,AXO009,AXO010,AXO011,AXO012,AXO013,AXO014,AXO015,AXO016,AXO017,AXO018,AXO019,AXO020,AXO021,AXO022,AXO023,AXO024,AXO025,AXO026,AXO027,AXO028,AXO029,AXO030,AXO031,AXO032,AXO033,AXO034,AXO035,AXO036,AXO037,AXO038,AXO039,AXO040,AXO041
"G0100010","1900","Alabama","010","Autauga","0010","Autauga","41","10",17915,244511,98612,1097667,380825,92870,354161,10,0,282306,24600,50,1102,14460,0,0,34,0,2,661,134,189,1792,0,0,5824,52729,167,0,14449,14348,0,0,0,0,30319,0,6400,0,0,1700,412,17649,10205,0,0,0,0
"G0100030","1900","Alabama","010","Baldwin","0030","Baldwin","41","30",13194,151632,13552,360500,212730,42220,294988,0,0,72810,5800,0,180,83340,0,0,0,0,385,1088,38,18,177,0,0,15631,46260,98,0,535,531,0,0,0,0,12593,300,0,0,0,150,45,1978,1176,6400,0,0,0
"G0100050","1900","Alabama","010","Barbour","0050","Barbour","41","50",35152,452912,224766,1667689,576049,170610,635219,50,0,613518,30310,245,1040,13186,0,0,3,0,0,160,22,35,3254,0,0,14796,75147,47,0,29995,29395,0,0,0,0,133386,0,2454,0,0,2780,351,24726,39898,1100,0,0,0
"G0100070","1900","Alabama","010","Bibb","0070","Bibb","41","70",18498,184363,52128,975775,310255,85780,345649,0,0,310200,51600,60,2112,4812,0,33,5,0,0,1176,25,75,1172,0,0,4953,50173,462,0,6528,6535,0,0,0,0,35986,0,6079,0,0,1650,102,2187,1526,0,0,0,0
"G0100090","1900","Alabama","010","Blount","0090","Blount","41","90",23119,321441,128769,1229990,480750,134620,512960,40,5,571650,35550,200,24097,70,0,14,62,0,17,173,58,302,817,0,0,6178,29678,154,0,11597,11449,0,0,0,0,0,0,48384,0,0,12260,133,8534,1962,600,0,0,0
"G0100110","1900","Alabama","010","Bullock","0110","Bullock","41","110",31944,344763,210491,1992279,512340,196420,656860,0,0,628030,11190,40,320,7820,0,0,0,0,0,87,18,33,2884,0,0,8630,76751,31,0,31774,31774,0,0,0,0,113786,150,1540,0,0,0,155,12374,7821,0,0,0,0
"G0100130","1900","Alabama","010","Butler","0130","Butler","41","130",25761,334719,134763,1322950,507975,107970,485628,0,0,516458,34190,10,330,16025,0,4,15,0,0,411,16,84,420,0,0,3752,91382,60,0,21488,21147,0,0,0,0,125421,0,1114,0,0,310,400,18453,12913,330,0,0,0
"G0100150","1900","Alabama","010","Calhoun","0150","Calhoun","41","150",34874,222775,100622,1845790,640510,136170,501277,70,0,453280,27330,120,27800,0,0,301,130,0,14,1018,389,737,745,0,10,4687,25674,612,0,11764,11554,0,0,0,0,0,0,35247,0,0,1680,112,3069,886,620,0,0,0
"G0100170","1900","Alabama","010","Chambers","0170","Chambers","41","170",32554,345728,190070,2194844,775576,179090,653086,90,0,504001,46420,555,25370,425,0,61,184,0,0,379,240,745,1520,0,0,2607,52359,200,0,30838,30676,0,0,0,0,83240,0,17175,0,0,3600,6,6923,1350,0,0,0,0
"G0100190","1900","Alabama","010","Cherokee","0190","Cherokee","41","190",21096,255064,111907,1546130,531820,140410,536998,20,0,568910,29690,310,33940,180,0,116,437,0,53,791,760,319,1472,0,1,5600,28296,217,0,13232,12767,0,0,0,0,0,0,35443,0,0,7800,288,6175,661,40,0,0,0
"G0100210","1900","Alabama","010","Chilton","0210","Chilton","41","210",16522,221471,80663,950433,442930,90100,376417,16,0,297790,40840,250,8720,2930,0,30,8,0,2,53,40,26,582,0,2,8303,36347,161,0,9913,9932,0,0,0,0,44255,0,5091,0,0,7450,289,10008,3924,20,0,0,0
