GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AYM001,AZ3001,AZ3002,AZ3003,AZ3004
"G0100010","1900","Alabama","010","Autauga","0010","Autauga","41","10",17915,5494,5679,5494,5679
"G0100030","1900","Alabama","010","Baldwin","0030","Baldwin","41","30",13194,2043,2136,2043,2136
"G0100050","1900","Alabama","010","Barbour","0050","Barbour","41","50",35152,10619,11752,10619,11752
"G0100070","1900","Alabama","010","Bibb","0070","Bibb","41","70",18498,3282,2931,3282,2931
"G0100090","1900","Alabama","010","Blount","0090","Blount","41","90",23119,950,831,950,831
"G0100110","1900","Alabama","010","Bullock","0110","Bullock","41","110",31944,12749,13349,12748,13349
"G0100130","1900","Alabama","010","Butler","0130","Butler","41","130",25761,6591,6656,6590,6656
"G0100150","1900","Alabama","010","Calhoun","0150","Calhoun","41","150",34874,5258,5369,5257,5369
"G0100170","1900","Alabama","010","Chambers","0170","Chambers","41","170",32554,8567,8848,8567,8848
"G0100190","1900","Alabama","010","Cherokee","0190","Cherokee","41","190",21096,1611,1405,1611,1405
"G0100210","1900","Alabama","010","Chilton","0210","Chilton","41","210",16522,1692,1572,1692,1572
"G0100230","1900","Alabama","010","Choctaw","0230","Choctaw","41","230",18136,5145,5133,5144,5133
"G0100250","1900","Alabama","010","Clarke","0250","Clarke","41","250",27790,7870,7968,7865,7964
"G0100270","1900","Alabama","010","Clay","0270","Clay","41","270",17099,972,912,972,912
"G0100290","1900","Alabama","010","Cleburne","0290","Cleburne","41","290",13206,444,437,444,437
"G0100310","1900","Alabama","010","Coffee","0310","Coffee","41","310",20972,2323,1910,2323,1910
"G0100330","1900","Alabama","010","Colbert","0330","Colbert","41","330",22341,4676,4870,4676,4870
"G0100350","1900","Alabama","010","Conecuh","0350","Conecuh","41","350",17514,3835,3959,3834,3959
"G0100370","1900","Alabama","010","Coosa","0370","Coosa","41","370",16144,2639,2649,2639,2649
"G0100390","1900","Alabama","010","Covington","0390","Covington","41","390",15346,1438,996,1438,996
"G0100410","1900","Alabama","010","Crenshaw","0410","Crenshaw","41","410",19668,2773,2838,2768,2833
"G0100430","1900","Alabama","010","Cullman","0430","Cullman","41","430",17849,9,12,9,12
"G0100450","1900","Alabama","010","Dale","0450","Dale","41","450",21189,2464,2405,2464,2405
"G0100470","1900","Alabama","010","Dallas","0470","Dallas","41","470",54657,21672,23700,21672,23700
"G0100490","1900","Alabama","010","DeKalb","0490","Dekalb","41","490",23558,481,491,481,491
"G0100510","1900","Alabama","010","Elmore","0510","Elmore","41","510",26099,6119,5932,6119,5932
"G0100530","1900","Alabama","010","Escambia","0530","Escambia","41","530",11320,1868,1769,1813,1702
"G0100550","1900","Alabama","010","Etowah","0550","Etowah","41","550",27361,2192,2174,2192,2174
"G0100570","1900","Alabama","010","Fayette","0570","Fayette","41","570",14132,848,853,848,853
"G0100590","1900","Alabama","010","Franklin","0590","Franklin","41","590",16511,1223,935,1223,935
"G0100610","1900","Alabama","010","Geneva","0610","Geneva","41","610",19096,1866,1352,1866,1352
"G0100630","1900","Alabama","010","Greene","0630","Greene","41","630",24182,10070,10805,10070,10805
"G0100650","1900","Alabama","010","Hale","0650","Hale","41","650",31011,12546,12801,12546,12801
"G0100670","1900","Alabama","010","Henry","0670","Henry","41","670",36147,6923,6681,6923,6681
"G0100710","1900","Alabama","010","Jackson","0710","Jackson","41","710",30508,1810,1838,1806,1836
"G0100730","1900","Alabama","010","Jefferson","0730","Jefferson","41","730",140420,30705,26226,30691,26226
"G0100750","1900","Alabama","010","Lamar","0750","Lamar","41","750",16084,1536,1533,1536,1533
"G0100770","1900","Alabama","010","Lauderdale","0770","Lauderdale","41","770",26559,3668,3722,3668,3722
"G0100790","1900","Alabama","010","Lawrence","0790","Lawrence","41","790",20124,3489,3668,3488,3668
"G0100810","1900","Alabama","010","Lee","0810","Lee","41","810",31826,9055,10012,9055,10012
"G0100830","1900","Alabama","010","Limestone","0830","Limestone","41","830",22387,4872,4957,4871,4957
"G0100850","1900","Alabama","010","Lowndes","0850","Lowndes","41","850",35651,15192,15697,15192,15697
"G0100870","1900","Alabama","010","Macon","0870","Macon","41","870",23126,9244,9630,9244,9630
"G0100890","1900","Alabama","010","Madison","0890","Madison","41","890",43702,9556,10319,9556,10319
"G0100910","1900","Alabama","010","Marengo","0910","Marengo","41","910",38315,14367,15107,14366,15107
"G0100930","1900","Alabama","010","Marion","0930","Marion","41","930",14494,393,385,393,385
"G0100950","1900","Alabama","010","Marshall","0950","Marshall","41","950",23289,731,769,731,769
"G0100970","1900","Alabama","010","Mobile","0970","Mobile","41","970",62740,13385,15049,13361,15048
"G0100990","1900","Alabama","010","Monroe","0990","Monroe","41","990",23666,6481,6656,6470,6646
"G0101010","1900","Alabama","010","Montgomery","1010","Montgomery","41","1010",72047,24702,27520,24687,27520
"G0101030","1900","Alabama","010","Morgan","1030","Morgan","41","1030",28820,3587,3794,3584,3794
"G0101050","1900","Alabama","010","Perry","1050","Perry","41","1050",31783,12098,12864,12098,12864
"G0101070","1900","Alabama","010","Pickens","1070","Pickens","41","1070",24402,6783,7138,6783,7138
"G0101090","1900","Alabama","010","Pike","1090","Pike","41","1090",29172,6327,6148,6326,6148
"G0101110","1900","Alabama","010","Randolph","1110","Randolph","41","1110",21647,2573,2605,2573,2605
"G0101130","1900","Alabama","010","Russell","1130","Russell","41","1130",27083,10267,10886,10266,10886
"G0101150","1900","Alabama","010","St Clair","1150","St Clair","41","1150",19425,1800,1642,1800,1642
"G0101170","1900","Alabama","010","Shelby","1170","Shelby","41","1170",23684,3683,3321,3683,3321
"G0101190","1900","Alabama","010","Sumter","1190","Sumter","41","1190",32710,13068,13970,13068,13970
"G0101210","1900","Alabama","010","Talladega","1210","Talladega","41","1210",35773,9195,9031,9192,9031
"G0101230","1900","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",29675,5318,5370,5318,5370
"G0101250","1900","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",36147,7409,7229,7409,7229
"G0101270","1900","Alabama","010","Walker","1270","Walker","41","1270",25162,2376,1740,2376,1740
"G0101290","1900","Alabama","010","Washington","1290","Washington","41","1290",11134,2638,2390,2638,2390
"G0101310","1900","Alabama","010","Wilcox","1310","Wilcox","41","1310",35631,13823,14829,13823,14829
"G0101330","1900","Alabama","010","Winston","1330","Winston","41","1330",9554,3,4,3,4
"G0250055","1900","Alaska Territory","025","Northern District","0055","Northern District","81","2900",30569,6571,6315,16,8
"G0250095","1900","Alaska Territory","025","Southern District","0095","Southern District","81","2950",33023,12008,8205,135,9
"G0450015","1900","Arizona Territory","045","Apache","0015","Apache","61","10",8297,2831,2711,1,1
"G0450035","1900","Arizona Territory","045","Cochise","0035","Cochise","61","30",9251,359,39,238,37
"G0450055","1900","Arizona Territory","045","Coconino","0055","Coconino","61","50",5514,861,584,32,21
"G0450075","1900","Arizona Territory","045","Gila","0075","Gila","61","70",4973,402,429,28,20
"G0450095","1900","Arizona Territory","045","Graham","0095","Graham","61","90",14162,211,34,38,30
"G0450135","1900","Arizona Territory","045","Maricopa","0135","Maricopa","61","130",20457,1874,1568,116,94
"G0450155","1900","Arizona Territory","045","Mohave","0155","Mohave","61","150",3426,863,668,101,76
"G0450175","1900","Arizona Territory","045","Navajo","0175","Navajo","61","170",8829,2969,2513,270,56
"G0450195","1900","Arizona Territory","045","Pima","0195","Pima","61","190",14689,1596,1347,77,41
"G0450215","1900","Arizona Territory","045","Pinal","0215","Pinal","61","210",7779,1960,1512,362,55
"G0450235","1900","Arizona Territory","045","Santa Cruz","0235","Santa Cruz","61","230",4545,56,2,9,1
"G0450255","1900","Arizona Territory","045","Yavapai","0255","Yavapai","61","250",13799,653,197,72,51
"G0450275","1900","Arizona Territory","045","Yuma","0275","Yuma","61","270",4145,455,308,19,2
"G0459015","1900","Arizona Territory","045","Colorado River Indian Reservation","9015","Colorado River Indian Reservation","61","8020",,,,,
"G0459035","1900","Arizona Territory","045","Fort Apache Indian Reservation","9035","Fort Apache Indian Reservation","61","8030",,,,,
"G0459055","1900","Arizona Territory","045","Gila Bend Indian Reservation","9055","Gila Bend Indian Reservation","61","8040",,,,,
