GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AB4001,AB4002,AB4003,AB4004,AB4005,AB4006,AB4007,AB4008,AB4009,AB4010,AB4011,AB4012,AB4013,AB4014,AB4015,AB4016,AB4017,AB4018,AB4019,AB4020,AB4021,AB4022
"G0100010","1840","Alabama","010","Autauga","0010","Autauga","41","10",7155,0,26159,2326,0,402700,3672,0,0,954,21136,1981,0,0,0,0,1076801,120,0,0,2322,0
"G0100030","1840","Alabama","010","Baldwin","0030","Baldwin","41","30",27,15,35,45,0,49330,682,0,55,1035,11906,0,0,0,0,15180,213121,173,0,0,4998,0
"G0100050","1840","Alabama","010","Barbour","0050","Barbour","41","50",6239,295,4039,123,0,327936,948,0,0,7,12197,0,0,0,0,4860,2959109,0,0,0,10,0
"G0100055","1840","Alabama","010","Benton","0055","Benton","41","150",77976,232,22191,885,6,667832,5958,0,84,1550,22127,0,0,0,30538,0,1756502,0,0,0,8,0
"G0100070","1840","Alabama","010","Bibb","0070","Bibb","41","70",23418,719,20533,1263,0,235237,3292,0,1945,29,16129,0,0,0,7724,0,268408,0,0,0,0,0
"G0100090","1840","Alabama","010","Blount","0090","Blount","41","90",15014,20,20213,291,0,249681,4000,0,598,685,6139,0,0,0,5633,0,169949,0,0,329,74,0
"G0100130","1840","Alabama","010","Butler","0130","Butler","41","130",3198,45,4293,295,0,116766,1333,4,0,2,8390,0,0,0,0,500,696302,0,0,0,12,0
"G0100170","1840","Alabama","010","Chambers","0170","Chambers","41","170",42651,105,14124,291,0,419195,3851,5,270,236,16956,0,0,0,3100,3600,513037,200,0,0,0,0
"G0100190","1840","Alabama","010","Cherokee","0190","Cherokee","41","190",22004,421,30449,288,30,318365,930,0,0,1098,10230,0,0,0,53307,0,1383633,0,0,0,0,0
"G0100250","1840","Alabama","010","Clarke","0250","Clarke","41","250",573,7,13903,281,0,272405,5029,0,19,981,32005,0,0,0,0,30,3023852,25,0,0,4125,0
"G0100350","1840","Alabama","010","Conecuh","0350","Conecuh","41","350",1847,0,6132,176,0,237025,3917,0,0,457,29593,0,0,0,0,2845,700019,0,0,0,0,0
"G0100370","1840","Alabama","010","Coosa","0370","Coosa","41","370",10050,476,5656,362,0,211641,1969,0,466,44,15254,0,0,0,1132,10780,172505,0,0,0,315,0
"G0100390","1840","Alabama","010","Covington","0390","Covington","41","390",772,137,584,363,0,47946,1118,0,300,13,9568,0,0,0,467,1770,30305,0,0,0,0,0
"G0100450","1840","Alabama","010","Dale","0450","Dale","41","450",1865,48,254,231,0,96224,474,0,40,118,11659,0,0,0,944,3015,231929,0,0,2813,0,0
"G0100470","1840","Alabama","010","Dallas","0470","Dallas","41","470",12388,29,34494,2004,0,486120,6478,19,697,1298,30510,0,0,0,0,10715,2223332,0,0,0,3470,0
"G0100490","1840","Alabama","010","DeKalb","0490","Dekalb","41","490",14965,26,12520,694,0,313591,2802,0,0,3183,18048,0,0,0,17563,0,94723,38,0,0,0,0
"G0100570","1840","Alabama","010","Fayette","0570","Fayette","41","570",22852,0,12328,143,0,283640,5423,15,444,131,5855,0,0,0,0,0,612895,0,0,0,0,0
"G0100590","1840","Alabama","010","Franklin","0590","Franklin","41","590",34184,0,62114,3920,0,759950,9999,0,478,3587,24541,1993,0,0,12648,0,10823898,0,0,0,831,0
"G0100630","1840","Alabama","010","Greene","0630","Greene","41","630",18396,193,14928,1618,6,520198,9661,0,0,1910,46459,0,0,0,0,0,3173800,45,0,0,1309,0
"G0100670","1840","Alabama","010","Henry","0670","Henry","41","670",1715,0,2974,491,0,99780,0,0,0,0,5534,0,0,0,0,0,664311,0,0,0,1300,0
"G0100710","1840","Alabama","010","Jackson","0710","Jackson","41","710",30956,0,72617,4557,0,1043107,15958,0,1391,8288,26972,0,0,4000,23528,0,1165616,0,5634,0,382,0
"G0100730","1840","Alabama","010","Jefferson","0730","Jefferson","41","730",34157,72,22790,80,0,353721,2742,0,1000,233,9081,0,0,0,4003,350,790867,217,0,0,55,0
"G0100770","1840","Alabama","010","Lauderdale","0770","Lauderdale","41","770",46303,10,107345,2613,0,741073,10745,0,638,4580,13944,1,0,0,16467,0,3051192,70,0,1367,3126,0
"G0100790","1840","Alabama","010","Lawrence","0790","Lawrence","41","790",30978,130,38414,532,0,1319800,8270,0,822,2325,14588,0,0,0,8758,0,6187960,12,0,0,0,0
"G0100830","1840","Alabama","010","Limestone","0830","Limestone","41","830",32599,25,113615,2373,0,980240,14868,557,1789,5508,24052,31,0,0,15512,150,5772948,0,0,0,771,0
"G0100850","1840","Alabama","010","Lowndes","0850","Lowndes","41","850",1421,68,11136,1736,0,162540,652,5,105,327,10026,0,0,0,0,4743,803932,12,0,0,75,0
"G0100870","1840","Alabama","010","Macon","0870","Macon","41","870",2316,309,6241,286,0,312313,942,0,12,943,28133,0,0,0,105,458,883125,0,0,0,0,0
"G0100890","1840","Alabama","010","Madison","0890","Madison","41","890",85099,61,152816,5309,1,1357808,20726,65,2715,9517,36854,161,0,6000,15655,200,10358898,0,0,0,3750,100
"G0100910","1840","Alabama","010","Marengo","0910","Marengo","41","910",2785,77,22932,1031,5,649734,1651,0,193,0,36906,0,0,0,1146,3815,6358028,0,0,0,15,0
"G0100930","1840","Alabama","010","Marion","0930","Marion","41","930",17467,3,4325,2120,0,113490,992,0,30,102,4051,0,0,0,1100,0,118064,0,0,0,0,0
"G0100950","1840","Alabama","010","Marshall","0950","Marshall","41","950",8996,581,23344,537,0,382680,3141,0,557,2130,13928,25,0,0,17918,20,4385967,0,0,0,364,0
"G0100970","1840","Alabama","010","Mobile","0970","Mobile","41","970",0,0,0,0,0,31991,0,0,0,7610,25190,0,0,0,0,0,0,130,0,0,11159,0
"G0100990","1840","Alabama","010","Monroe","0990","Monroe","41","990",5335,165,10769,411,0,291504,4798,7,2699,692,39914,0,0,0,10000,33351,986327,3,0,0,4702,0
"G0101010","1840","Alabama","010","Montgomery","1010","Montgomery","41","1010",7907,578,72741,3052,0,1353917,12911,72,1063,2144,85070,4478,0,0,2396,22847,14871464,320,0,0,8069,0
"G0101030","1840","Alabama","010","Morgan","1030","Morgan","41","1030",25262,1188,48954,745,0,788093,6854,0,551,1421,13182,3,0,0,7223,10,7384274,12,0,0,300,0
"G0101050","1840","Alabama","010","Perry","1050","Perry","41","1050",32694,143,29297,4262,0,792384,7769,0,3077,195,60239,0,0,0,0,0,12680178,0,0,0,0,0
"G0101070","1840","Alabama","010","Pickens","1070","Pickens","41","1070",,,,,,,,,,,,,,,,,,,,,,
"G0101090","1840","Alabama","010","Pike","1090","Pike","41","1090",4020,446,8173,793,0,385993,6100,0,0,459,31861,0,0,0,733,0,733266,0,0,0,0,0
"G0101110","1840","Alabama","010","Randolph","1110","Randolph","41","1110",13426,63,5031,82,0,918997,3067,0,0,1323,20218,0,0,0,2239,0,240540,0,0,0,0,0
"G0101130","1840","Alabama","010","Russell","1130","Russell","41","1130",11479,296,5341,141,0,387534,1100,0,0,823,37090,0,0,0,0,0,1112719,150,0,0,500,0
"G0101150","1840","Alabama","010","St Clair","1150","St Clair","41","1150",21370,74,21000,255,0,256635,4400,0,0,158,2032,0,0,0,0,0,362221,0,0,0,0,0
"G0101170","1840","Alabama","010","Shelby","1170","Shelby","41","1170",17023,94,9946,272,0,179650,2032,3,247,546,6677,3,0,0,1197,200,510383,0,0,0,21,0
"G0101190","1840","Alabama","010","Sumter","1190","Sumter","41","1190",,,,,,,,,,,,,,,,,,,,,,
"G0101210","1840","Alabama","010","Talladega","1210","Talladega","41","1210",41106,161,26218,615,0,610357,6703,0,195,964,23041,1892,0,0,6028,2495,2610121,0,0,0,80,0
"G0101230","1840","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",11683,97,2803,68,0,159580,878,0,6,398,10086,0,0,0,1550,50,217609,0,0,0,15,0
"G0101250","1840","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",17958,119,16105,1352,0,348222,1868,73,544,441,16422,0,0,0,100,0,2576002,34,0,0,860,2
"G0101270","1840","Alabama","010","Walker","1270","Walker","41","1270",5587,76,7584,286,10,128030,1957,0,336,127,4640,0,0,0,4588,1210,110917,0,0,0,0,0
"G0101290","1840","Alabama","010","Washington","1290","Washington","41","1290",386,28,2383,360,0,152049,2868,0,93,871,23063,0,0,0,0,0,355748,0,0,0,4137,75
"G0101310","1840","Alabama","010","Wilcox","1310","Wilcox","41","1310",2450,60,256510,1050,0,650000,4825,0,1767,10454,656963,2150,0,0,0,25825,1722030,31,0,0,3800,0
"G0500010","1840","Arkansas","050","Arkansas","0010","Arkansas","42","10",81,0,356,35,0,70834,858,0,641,377,2787,82,0,0,1422,0,361404,0,0,0,3321,0
"G0500070","1840","Arkansas","050","Benton","0070","Benton","42","70",5128,0,5985,333,0,130595,2436,0,20,2817,2927,90,0,0,0,0,0,0,0,0,0,0
"G0500150","1840","Arkansas","050","Carroll","0150","Carroll","42","150",4462,0,1252,100,0,119539,3139,0,1576,1799,3029,0,930,0,6995,0,6754,0,0,0,0,0
"G0500170","1840","Arkansas","050","Chicot","0170","Chicot","42","170",0,0,1170,0,0,179580,923,0,0,3569,11471,0,0,0,0,0,1114622,0,0,0,10963,0
"G0500190","1840","Arkansas","050","Clark","0190","Clark","42","190",1050,0,2558,150,0,96680,1078,0,0,1036,6650,20,0,0,0,0,296009,0,0,0,0,0
"G0500290","1840","Arkansas","050","Conway","0290","Conway","42","290",1709,0,1430,121,0,135365,1537,0,0,2520,8050,0,0,0,0,0,2702,0,0,0,2025,0
"G0500330","1840","Arkansas","050","Crawford","0330","Crawford","42","330",1513,0,6366,146,0,209549,2200,0,0,3885,5253,10,0,0,0,0,12825,0,0,0,682,0
"G0500350","1840","Arkansas","050","Crittenden","0350","Crittenden","42","350",28,0,90,0,0,69669,59,0,0,0,0,0,0,0,130,0,2320,0,0,0,10693,0
"G0500410","1840","Arkansas","050","Desha","0410","Desha","42","410",347,0,647,10,0,65455,223,0,73,793,3149,22,0,0,620,0,75430,0,0,0,10335,0
"G0500470","1840","Arkansas","050","Franklin","0470","Franklin","42","470",3548,0,6737,178,0,173503,1897,0,22,3401,5256,20,0,0,7759,0,33012,0,0,0,0,0
"G0500550","1840","Arkansas","050","Greene","0550","Greene","42","550",1132,8,695,42,0,26945,439,0,0,194,294,0,0,0,0,0,3578,0,0,0,0,0
"G0500570","1840","Arkansas","050","Hempstead","0570","Hempstead","42","570",1777,0,15209,78,0,321285,3170,0,244,2086,15986,0,0,0,300,0,185261,0,0,0,0,0
