DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,farmv_total,improved,unimproved,enslaved,census_pop,state,area,farmv,pc_enslaved
1900,Lawrence,470,0990,54,990,LAWRENCE,54,990,0,470,0990,2226,775582.61235591,-220311.47768632,G4700990,4700990,1574160478.61,173413.863592,806408.0541781933,33415.33825624555,158845.84466776042,0,7612.567442137432,Tennessee,607.786758762379,4.194336276901708,0
1900,Sherman,310,1630,35,1630,SHERMAN,35,1630,0,310,1630,2137,-247538.95208242,420762.439474,G3101630,3101630,1480493063.62,154225.355606,2674.7885959804157,159.62445839930018,587.7036232498882,0,24.47879702601521,Nebraska,571.6215676449573,3.579135672351221,0
1900,Gallatin,210,0770,51,770,GALLATIN,51,770,0,210,0770,1055,956896.14362411,197024.997148,G2100770,2100770,271104390.107,98000.0713021,2015321.9357259537,44542.88514489464,11690.490424242247,0,4994.67583382902,Kentucky,104.67399022422539,35.838537440246476,0
1900,Sherman,410,0550,72,550,SHERMAN,72,550,0,410,0550,1139,-1910765.37012948,1133560.34413491,G4100550,4100550,2152933733.44,311042.767945,14956.505487698108,850.7656254554639,1184.4494471012677,0,124.21974716049742,Oregon,831.2523617878694,7.348857469352883,0
1900,Harrison,290,0810,34,810,HARRISON,34,810,0,290,0810,2625,169066.57135879,321693.63883036,G2900810,2900810,1881498062.49,177562.849586,3516422.900421722,109498.81211730267,177563.47422876648,0,14636.664627437509,Missouri,726.4504633150614,12.249686105343992,0
1900,Mason,480,3190,49,3190,MASON,49,3190,0,480,3190,2049,-308176.72935064,-752476.26382343,G4803190,4803190,2414382518.53,197561.317932,29545.53495818777,1131.451373413365,17884.526686200334,0,678.3809258729779,Texas,932.1983020725143,1.5537215527681343,0
1900,Brevard,120,0090,43,90,BREVARD/ST LUCIE,43,90,0,120,0090,273,1510765.73237694,-955340.29486792,G1200090,1200090,6520827720,1704389.68845,45800.122255394876,3650.920269060332,9650.451636643093,0,1034.0919999535038,Florida,2517.7056585020387,3.443263039337806,0
1900,Calhoun,170,0130,21,130,CALHOUN,21,130,0,170,0130,519,456261.46869615,199850.85672325,G1700130,1700130,734742928.707,179491.545113,1997194.9759477708,37784.34391572552,66180.47385700543,0,6571.15384139855,Illinois,283.68583078437376,19.210296509283328,0
1900,Martin,270,0910,33,910,MARTIN,33,910,0,270,0910,1571,116342.6741114,692071.81187525,G2700910,2700910,1889518058.21,175051.684828,1074191.826556185,19468.15772226714,93292.96989948105,0,3868.710791932829,Minnesota,729.5470009744563,9.526260061530335,0
1900,Hanover,510,0850,40,850,HANOVER,40,850,0,510,0850,1714,1605020.55474564,185950.35696954,G5100850,5100850,1227869736.14,252070.588877,3296899.65751157,130160.01634420465,108555.13362052069,0,16502.54102551329,Virginia,474.08315559410045,13.81101977816971,0
