DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,farmv_total,improved,unimproved,enslaved,census_pop,state,area,farmv,pc_enslaved
1900,Lawrence,470,0990,54,990,LAWRENCE,54,990,0,470,0990,2226,775582.61235591,-220311.47768632,G4700990,4700990,1574160478.61,173413.863592,1380617.9729935725,50422.07037356199,192286.9533550766,791.3996479033774,10394.5291427779,Tennessee,607.786758762379,5.688366883866567,7.613617096386135
1900,Sherman,310,1630,35,1630,SHERMAN,35,1630,0,310,1630,2137,-247538.95208242,420762.439474,G3101630,3101630,1480493063.62,154225.355606,510005.39211950236,24721.748274784724,59112.00100099405,0.005465590409128508,2062.144120868663,Nebraska,571.6215676449573,6.0835331417874805,2.650440555447778e-4
1900,Gallatin,210,0770,51,770,GALLATIN,51,770,0,210,0770,1055,956896.14362411,197024.997148,G2100770,2100770,271104390.107,98000.0713021,2073397.546127674,48015.59234341963,8577.669942813938,645.5368004595156,4836.065046060963,Kentucky,104.67399022422539,36.636826759358456,13.348389533869351
1900,Sherman,410,0550,72,550,SHERMAN,72,550,0,410,0550,1139,-1910765.37012948,1133560.34413491,G4100550,4100550,2152933733.44,311042.767945,234748.1953266782,5077.1803624389095,8221.550884105214,1.3451076791149246,712.3404382909794,Oregon,831.2523617878694,17.65192415537242,0.18882933030477067
1900,Harrison,290,0810,34,810,HARRISON,34,810,0,290,0810,2625,169066.57135879,321693.63883036,G2900810,2900810,1881498062.49,177562.849586,6661871.573349618,255310.0877909865,119109.01584955258,73.11496394032167,20307.08559543696,Missouri,726.4504633150614,17.792552539587685,0.36004656402665053
1900,Mason,480,3190,49,3190,MASON,49,3190,0,480,3190,2049,-308176.72935064,-752476.26382343,G4803190,4803190,2414382518.53,197561.317932,923718.5162607684,188529.8225584877,153226.7631408974,41.01173974161354,2655.1997996249206,Texas,932.1983020725143,2.7028550579952446,1.544582059226087
1900,Brevard,120,0090,43,90,BREVARD/ST LUCIE,43,90,0,120,0090,273,1510765.73237694,-955340.29486792,G1200090,1200090,6520827720,1704389.68845,334926.3104102715,1294.138576782866,12873.856327522544,56.76542297613928,934.4414658318641,Florida,2517.7056585020387,23.639640801147742,6.07479709021744
1900,Calhoun,170,0130,21,130,CALHOUN,21,130,0,170,0130,519,456261.46869615,199850.85672325,G1700130,1700130,734742928.707,179491.545113,2575611.937039598,55965.15992768377,83825.21052484655,3.2219919034674063,7476.302116031662,Illinois,283.68583078437376,18.424816592886973,0.043096063447708874
1900,Martin,270,0910,33,910,MARTIN,33,910,0,270,0910,1571,116342.6741114,692071.81187525,G2700910,2700910,1889518058.21,175051.684828,2221268.7927203663,55433.920978631904,98951.59302460807,0.005108897504053822,5252.20016600387,Minnesota,729.5470009744563,14.387805792930482,9.727156891548785e-5
1900,Hanover,510,0850,40,850,HANOVER,40,850,0,510,0850,1714,1605020.55474564,185950.35696954,G5100850,5100850,1227869736.14,252070.588877,2576214.3962892643,124988.03132583572,135096.15459318616,9310.311198877951,18645.331409553062,Virginia,474.08315559410045,9.905309648820316,49.93373941375882
