DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,slavery_legal,total_farmland,area,farmv,pc_enslaved
1900,Lawrence,470,0990,54,990,LAWRENCE,54,990,0,470,0990,2226,775582.61235591,-220311.47768632,G4700990,4700990,1574160478.61,173413.863592,1900,Tennessee,15402,0,1696989,63553,155729,1,219282,607.786758762379,7.73884313349933,0
1900,Sherman,310,1630,35,1630,SHERMAN,35,1630,0,310,1630,2137,-247538.95208242,420762.439474,G3101630,3101630,1480493063.62,154225.355606,1900,Nebraska,6550,0,4596599,168394,151605,0,319999,571.6215676449573,14.364416763802387,0
1900,Gallatin,210,0770,51,770,GALLATIN,51,770,0,210,0770,1055,956896.14362411,197024.997148,G2100770,2100770,271104390.107,98000.0713021,1900,Kentucky,5163,0,2010659,57264,5798,1,63062,104.67399022422539,31.883844470521076,0
1900,Sherman,410,0550,72,550,SHERMAN,72,550,0,410,0550,1139,-1910765.37012948,1133560.34413491,G4100550,4100550,2152933733.44,311042.767945,1900,Oregon,3477,0,3591040,198285,104197,0,302482,831.2523617878694,11.871913039453588,0
1900,Harrison,290,0810,34,810,HARRISON,34,810,0,290,0810,2625,169066.57135879,321693.63883036,G2900810,2900810,1881498062.49,177562.849586,1900,Missouri,24398,0,16412733,328598,120343,1,448941,726.4504633150614,36.558774983795196,0
1900,Mason,480,3190,49,3190,MASON,49,3190,0,480,3190,2049,-308176.72935064,-752476.26382343,G4803190,4803190,2414382518.53,197561.317932,1900,Texas,5573,0,3599645,31437,616032,1,647469,932.1983020725143,5.5595634694479585,0
1900,Brevard,120,0090,43,90,BREVARD/ST LUCIE,43,90,0,120,0090,273,1510765.73237694,-955340.29486792,G1200090,1200090,6520827720,1704389.68845,1900,Florida,5158,0,2319825,7290,30823,1,38113,2517.7056585020387,60.86702699866187,0
1900,Calhoun,170,0130,21,130,CALHOUN,21,130,0,170,0130,519,456261.46869615,199850.85672325,G1700130,1700130,734742928.707,179491.545113,1900,Illinois,8917,0,4421679,74708,70270,0,144978,283.68583078437376,30.498965360261558,0
1900,Martin,270,0910,33,910,MARTIN,33,910,0,270,0910,1571,116342.6741114,692071.81187525,G2700910,2700910,1889518058.21,175051.684828,1900,Minnesota,16936,0,16250759,383459,37333,0,420792,729.5470009744563,38.61945806954505,0
1900,Hanover,510,0850,40,850,HANOVER,40,850,0,510,0850,1714,1605020.55474564,185950.35696954,G5100850,5100850,1227869736.14,252070.588877,1900,Virginia,17618,0,3301513,130450,132547,1,262997,474.08315559410045,12.553424563778295,0
1900,Graham,200,0650,32,650,GRAHAM,32,650,0,200,0650,372,-331500.18904339,214072.56344175,G2000650,2000650,2327543152.43,193074.569406,1900,Kansas,5173,0,3262037,141567,264565,0,406132,898.6694353704967,8.03196251465041,0
1900,Effingham,130,1030,44,1030,EFFINGHAM,44,1030,0,130,1030,1245,1366793.39473032,-468448.00637687,G1301030,1301030,1250511427.11,201509.36507,1900,Georgia,8334,0,670954,28260,165246,1,193506,482.8251613518025,3.4673550174154806,0
