GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,slavery_legal,total_farmland
G2200750,1850,Louisiana,7390,4779,4587835,39774,96259,1,NA
G1800750,1850,Indiana,7047,0,799400,29576,74972,0,NA
G5101430,1850,Virginia,28796,12798,2773981,210580,300295,1,NA
G1801250,1850,Indiana,7720,0,388106,33663,57634,0,NA
G4701810,1850,Tennessee,8170,930,530852,33230,284772,1,NA
G1900870,1850,Iowa,8707,0,1118118,50241,80651,0,NA
G5101570,1850,Virginia,9782,3844,2039812,96068,69727,1,NA
G1701590,1850,Illinois,4012,0,179126,13255,25460,0,NA
G5000130,1850,Vermont,4145,0,1189682,33171,15113,0,NA
G3700710,1850,North Carolina,8073,2112,655076,57519,156583,1,NA
G4500750,1850,South Carolina,23582,15384,3048940,181393,732681,1,NA
G2900690,1850,Missouri,1229,13,38455,3062,3975,1,NA
G1303050,1850,Georgia,1499,406,91079,5356,69727,1,NA
G5501270,1850,Wisconsin,17862,0,3003119,116750,149905,0,NA
G1302510,1850,Georgia,6847,3673,609375,56008,454748,1,NA
G0500390,1850,Arkansas,6877,2542,519871,24065,64625,1,NA
G1301510,1850,Georgia,14726,4969,1742760,104199,215952,1,NA
G2601610,1850,Michigan,28567,0,5038400,182510,161948,0,NA
G4200050,1850,Pennsylvania,29560,0,3663903,138601,191196,0,NA
G2101350,1850,Kentucky,7202,322,816528,34662,86054,1,NA
G1801630,1850,Indiana,11414,0,899785,27754,54923,0,NA
G0601150,1850,California,9673,0,0,0,0,0,NA
G4701610,1850,Tennessee,9719,2575,330489,39118,184722,1,NA
G4804090,1850,Texas,200,3,22828,210,40255,1,NA
G1303170,1850,Georgia,12107,8281,1344855,97545,190547,1,NA
G2100050,1850,Kentucky,6260,1282,848029,43208,35333,1,NA
G5100290,1850,Virginia,13837,8161,1991262,141536,166342,1,NA
G4803210,1850,Texas,2124,1208,363700,8475,50412,1,NA
G5101197,1850,Virginia,10204,1061,2039101,94311,174890,1,NA
G3900110,1850,Ohio,11338,0,1328642,48285,93179,0,NA
G5101555,1850,Virginia,1765,23,151873,7325,43178,1,NA
G2901850,1850,Missouri,3556,448,182475,15791,51047,1,NA
G3701430,1850,North Carolina,7332,3252,1032968,46660,76022,1,NA
G0600830,1850,California,1185,0,745032,9284,1265568,0,NA
G3600570,1850,New York,31992,0,8680704,192260,46868,0,NA
G2102230,1850,Kentucky,5963,941,963197,37287,38002,1,NA
G1801430,1850,Indiana,5885,0,648108,32083,56849,0,NA
G2750155,1850,Minnesota Territory,160,0,NA,NA,NA,0,NA
G4701470,1850,Tennessee,16145,4616,1306276,98700,167676,1,NA
G3701130,1850,North Carolina,6389,549,365356,32436,110083,1,NA
G2201170,1850,Louisiana,3408,1037,106640,13071,88523,1,NA
G3700390,1850,North Carolina,6838,337,387745,23952,73172,1,NA
