DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,border,farmv_total,improved,unimproved,enslaved,census_pop,cotton,corn,state,area,farmv,pc_enslaved,cotton_pc,ccratio
1900,Lawrence,470,0990,54,990,LAWRENCE,54,990,0,470,0990,2226,775582.61235591,-220311.47768632,G4700990,4700990,1574160478.61,173413.863592,NA,634672.3438439901,35374.226033218896,193267.3979953032,1122.1998177671853,8931.893966788375,50815.13244177647,33998.09933095232,Tennessee,607.786758762379,2.7758390299257902,12.563962603450976,5.689177752302402,1.4946462726377678
1900,Sherman,310,1630,35,1630,SHERMAN,35,1630,0,310,1630,2137,-247538.95208242,420762.439474,G3101630,3101630,1480493063.62,154225.355606,NA,NA,NA,NA,NA,NA,NA,NA,Nebraska,571.6215676449573,NA,NA,NA,NA
1900,Gallatin,210,0770,51,770,GALLATIN,51,770,0,210,0770,1055,956896.14362411,197024.997148,G2100770,2100770,271104390.107,98000.0713021,1,797057.5838858725,25578.390976697858,31995.489037731055,691.7575143148026,5054.880343958959,0,395299.2165791033,Kentucky,104.67399022422539,13.844083179492461,13.684943406059366,0,0
1900,Sherman,410,0550,72,550,SHERMAN,72,550,0,410,0550,1139,-1910765.37012948,1133560.34413491,G4100550,4100550,2152933733.44,311042.767945,NA,16444.689772569556,637.2771880042129,2473.7879527801942,0,47.34981837279687,0,1.6004989624257677,Oregon,831.2523617878694,5.285871246149247,0,0,0
1900,Harrison,290,0810,34,810,HARRISON,34,810,0,290,0810,2625,169066.57135879,321693.63883036,G2900810,2900810,1881498062.49,177562.849586,1,99290.99136968672,6455.464095974927,17023.41935773497,13.084467347056052,2448.7532432785765,0,81086.38019115246,Missouri,726.4504633150614,4.228948602494032,0.5343318026416404,0,0
1900,Mason,480,3190,49,3190,MASON,49,3190,0,480,3190,2049,-308176.72935064,-752476.26382343,G4803190,4803190,2414382518.53,197561.317932,NA,4809.439189644258,381.8917602131272,2002.4344986899584,2.6656796123395194,228.98890051898175,0,2855.416583420572,Texas,932.1983020725143,2.017106162248471,1.1641086560518907,0,0
1900,Brevard,120,0090,43,90,BREVARD/ST LUCIE,43,90,0,120,0090,273,1510765.73237694,-955340.29486792,G1200090,1200090,6520827720,1704389.68845,NA,7100.125506631471,113.9570193483614,483.16354699052937,34.55655280180983,95.3654887355118,1609.3617740898105,575.7018318573844,Florida,2517.7056585020387,11.89060619727818,36.235910138991194,16.875725122672424,2.795477945410619
1900,Calhoun,170,0130,21,130,CALHOUN,21,130,0,170,0130,519,456261.46869615,199850.85672325,G1700130,1700130,734742928.707,179491.545113,1,176243.37559753231,7367.659544558474,29150.508823951084,1.6251274694101159,3237.7232422674574,0,147022.3669470943,Illinois,283.68583078437376,4.826183334800301,0.05019352637046269,0,0
1900,Martin,270,0910,33,910,MARTIN,33,910,0,270,0910,1571,116342.6741114,692071.81187525,G2700910,2700910,1889518058.21,175051.684828,NA,150.03825194978432,8.131702494578718,10.373014462721073,0,4.501147390670614,0,34.360610984654834,Minnesota,729.5470009744563,8.108108451266899,0,0,0
1900,Hanover,510,0850,40,850,HANOVER,40,850,0,510,0850,1714,1605020.55474564,185950.35696954,G5100850,5100850,1227869736.14,252070.588877,NA,2007313.572635724,187934.23776236412,100021.52585136487,8405.264074009265,15186.449449897053,8147.088067937205,377902.8739086756,Virginia,474.08315559410045,6.97090951556151,55.34713101794997,0.5364708910279508,0.021558682482806516
1900,Graham,200,0650,32,650,GRAHAM,32,650,0,200,0650,372,-331500.18904339,214072.56344175,G2000650,2000650,2327543152.43,193074.569406,NA,NA,NA,NA,NA,NA,NA,NA,Kansas,898.6694353704967,NA,NA,NA,NA
1900,Effingham,130,1030,44,1030,EFFINGHAM,44,1030,0,130,1030,1245,1366793.39473032,-468448.00637687,G1301030,1301030,1250511427.11,201509.36507,NA,311814.5598788545,21819.597953838344,210954.65892070948,1856.5317695650147,3874.2441705578576,7425.520879495251,87813.24792327777,Georgia,482.8251613518025,1.339557750352544,47.9198441769273,1.916637298166481,0.08456037164213435
1900,Pacific,530,0490,73,490,PACIFIC,73,490,0,530,0490,1812,-2100931.96120592,1320170.59658589,G5300490,5300490,2423549393.33,549069.409729,NA,13898.736854647952,680.8051175167219,1813.5216473350824,0,28.263468082214303,0,0.253256856177175,Washington,935.7376522203417,5.572139565071667,0,0,0
1900,St Charles,220,0890,45,890,ST CHARLES,45,890,0,220,0890,184,543760.58228431,-834198.55634146,G2200890,2200890,927575771.051,138843.883162,NA,1801495.660571376,20599.587344508083,66687.64459203003,4132.850497060405,5133.704714905275,0,178978.51162632913,Louisiana,358.13900746092617,20.638707639178516,80.50425037227063,0,0
1900,Wadena,270,1590,33,1590,WADENA,33,1590,0,270,1590,2453,79246.39954597,1015435.47230055,G2701590,2701590,1406330384.89,165537.021546,NA,NA,NA,NA,0,4.9344960273480885,NA,NA,Minnesota,542.9871973002996,NA,0,NA,NA
1900,Millard,490,0270,67,270,MILLARD,67,270,0,490,0270,2457,-1458193.08844076,307752.38080544,G4900270,4900270,17632335982.2,559057.412084,NA,NA,NA,NA,NA,NA,NA,NA,Utah,6807.882983756246,NA,NA,NA,NA
1900,Garland,050,0510,42,510,GARLAND,42,510,0,050,0510,119,260754.81536941,-323841.4298858,G0500510,0500510,1779847398.73,201578.822095,NA,90755.65899415889,5261.51321101577,8394.994902786497,153.97775862074909,1732.7742063902647,48473.02504463157,67172.27476190744,Arkansas,687.2029226149614,6.645597706080852,8.886198677986865,27.97423049458425,0.7216225029812452
1900,Clinton,260,0370,23,370,CLINTON,23,370,0,260,0370,91,922840.59418066,665015.8788187,G2600370,2600370,1488125435.59,154289.165118,NA,409096.1166393197,16140.100043578865,36966.063307416,0,3740.1045419109487,0,44893.75624852579,Michigan,574.5684429377554,7.703364182712248,0,0,0
1900,Van Zandt,480,4670,49,4670,VAN ZANDT,49,4670,0,480,4670,1558,15275.42541389,-552160.75279289,G4804670,4804670,2226080834.37,239801.995337,NA,34349.52781805632,1543.8545006548873,22428.90092070275,19.892249305175582,665.6657879560244,11276.983537723047,15275.045198234688,Texas,859.4946153517284,1.4328568916802062,2.988323820314725,16.940908999319092,0.7382618768962013
1900,Sheridan,310,1610,35,1610,SHERIDAN,35,1610,0,310,1610,2136,-523033.44769809,578083.8081158,G3101610,3101610,6397191592.48,349794.750493,NA,NA,NA,NA,NA,NA,NA,NA,Nebraska,2469.9694827865446,NA,NA,NA,NA
1900,Cross,050,0370,42,370,CROSS,42,370,0,050,0370,113,471232.45368649,-233922.30279054,G0500370,0500370,1611850213.04,165757.98561,NA,117728.14206259079,5313.332904350258,28634.284380713085,268.18168493223106,1604.6840016415783,162577.92255457136,71495.13164507292,Arkansas,622.3388465825815,3.467935350926386,16.712429653307655,101.31460299239944,2.273971930867483
1900,Camden,290,0290,34,290,CAMDEN,34,290,0,290,0290,2603,281158.02965909,63857.58956035,G2900290,2900290,1835935934.37,237879.912916,NA,241442.66875840863,20357.398765993035,34565.27367683665,131.3374832432755,2363.152878767266,0,256507.79729460264,Missouri,708.8588272978596,4.396047352024468,5.557722668868865,0,0
