GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,land,farmv,pc_enslaved,farmv_na,cotton,corn
G4201210,1860,Pennsylvania,25043,0,5375713,145759,192241,338000,15.904476331360947,0,97.18081601927359,0,173471
G1901970,1860,Iowa,653,0,49095,1685,4934,6619,7.417283577579695,0,45.32168527260597,0,7660
G1302910,1860,Georgia,4413,116,352560,21076,100567,121643,2.8983172069087413,2.6285973260820303,17.709531919306617,20800,146094
G4801810,1860,Texas,8184,1292,2041180,40775,374420,415195,4.916196004287142,15.786901270772239,30.039337948226226,88000,247522
G2200710,1860,Louisiana,174491,14484,1301000,5749,19715,25464,51.091737354696825,8.300714650039257,312.18486069745205,160000,38250
G4802450,1860,Texas,1995,309,14955,971,17836,18807,0.7951826447599298,15.488721804511279,4.858789229655923,33600,14653
G2201130,1860,Louisiana,4324,1316,412365,85753,5601,91354,4.513923856645577,30.434782608695656,27.581342176774893,5762000,117827
G3900110,1860,Ohio,17187,0,3738720,77443,102913,180356,20.729667989975383,0,126.6640918633779,0,480529
G2900050,1860,Missouri,4649,59,1318545,30964,75774,106738,12.353098240551631,1.2690901269090127,75.48089873389343,800,659128
G5101450,1860,Virginia,8392,5403,2100284,68516,75213,143729,14.61280604470914,64.38274547187798,89.28834789461385,0,280611
G2101070,1860,Kentucky,11875,2009,2373995,79736,199018,278754,8.516451781857839,16.917894736842104,52.03791162352093,0,668392
G1901730,1860,Iowa,3590,0,577647,18288,62556,80844,7.145205581119193,0,43.659212320586555,0,262200
G5350055,1860,Washington Territory,2384,0,428510,13364,46490,59854,7.159254185183948,0,43.74505323596788,0,548
G4701510,1860,Tennessee,3519,59,203910,13409,104140,117549,1.7346808564938876,1.6766126740551293,10.599387094228408,0,108915
G3700610,1860,North Carolina,15784,7124,3131621,106176,339987,446163,7.019006506590641,45.13431322858591,42.88810054123303,468400,413083
G4802170,1860,Texas,3653,650,687253,13601,183472,197073,3.487301659791042,17.793594306049823,21.308392300575736,68400,57222
G5101050,1860,Virginia,11032,824,2768021,72405,170192,242597,11.409955605386711,7.4691805656272665,69.71803241888209,12000,582648
G4700590,1860,Tennessee,19004,1297,5021755,150854,193049,343903,14.602242492795934,6.824878972847821,89.22380162640613,0,923893
G1800430,1860,Indiana,20183,0,1745483,34967,34900,69867,24.98293901269555,0,152.65277203916256,0,144864
G3600750,1860,New York,75958,0,12585540,246676,146500,393176,32.00993956904796,0,195.5897184689971,0,546835
G3400310,1860,New Jersey,29013,2,3769895,41921,48450,90371,41.715760586913945,0.0068934615517181955,254.8950100738117,0,113890
G2400190,1860,Maryland,20461,4123,3669040,119445,113482,232927,15.75188793055335,20.150530277112555,96.24845804680022,0,687324
G2400390,1860,Maryland,24992,5089,4626241,118873,150322,269195,17.18546406879771,20.362516005121638,105.00801076879951,0,606733
G5100350,1860,Virginia,8012,262,867338,49846,138009,187855,4.617061031114424,3.27009485771343,28.21153927147842,4000,130231
G3701510,1860,North Carolina,16793,1645,1791483,131486,288995,420481,4.26055636283209,9.795748228428511,26.033195649435193,3200,388428
G3701570,1860,North Carolina,16746,6318,2628246,111783,190692,302475,8.689134639226383,37.72841275528484,53.09305236767261,0,364790
G1800590,1860,Indiana,12802,0,4031219,80880,86170,167050,24.131810835079317,0,147.45213989545306,0,798855
G3900330,1860,Ohio,23881,0,7535419,142633,87224,229857,32.78307382416024,0,200.3137858471926,0,699294
G2902070,1860,Missouri,7877,215,859544,26108,170798,196906,4.3652504240602115,2.7294655325631587,26.672905759378185,7640000,320710
G2701535,1860,Minnesota,40,0,NA,NA,NA,NA,NA,0,NA,NA,NA
G1000010,1860,Delaware,27804,203,8778258,204925,104657,309582,28.355195069480782,0.730110775427996,173.25820340304347,0,1354247
G2600990,1860,Michigan,22843,0,6367273,130056,104615,234671,27.132764593835624,0,165.7888099646831,0,327007
G1300390,1860,Georgia,5420,4143,901520,19448,162552,182000,4.953406593406593,76.43911439114392,30.266705095678653,252000,54080
G4700150,1860,Tennessee,9509,974,2406561,55127,94946,150073,16.03593584455565,10.242927752655378,97.98407055589526,3200,559162
G5500390,1860,Wisconsin,34154,0,6803384,225299,122217,347516,19.57718205780453,0,119.62207922456803,0,152804
G3701230,1860,North Carolina,7649,1823,359341,56178,204513,260691,1.3784173600162644,23.83318080794875,8.422517099627811,563600,191439
G5100370,1860,Virginia,14471,9238,4398140,147407,145001,292408,15.041106946458374,63.83802086932485,91.90538666197699,2400,373929
G5350215,1860,Washington Territory,384,0,287785,8133,24439,32572,8.835349379835442,0,53.98646548674629,0,0
G3900030,1860,Ohio,19185,0,4769391,90221,104754,194975,24.4615514809591,0,149.4669478258552,0,663698
G5101010,1860,Virginia,8530,5525,2568250,99674,64239,163913,15.668372856332322,64.77139507620164,95.73815749407431,48000,400660
G1900930,1860,Iowa,43,0,12060,248,2137,2385,5.056603773584905,0,30.897268842115327,0,1580
G2901010,1860,Missouri,14644,1896,4233771,108889,273356,382245,11.076066397205981,12.947282163343349,67.67787560799412,0,1502240
G1700670,1860,Illinois,29061,0,7065584,212336,120842,333178,21.206634291579878,0,129.5784898880536,0,2056177
G2200510,1860,Louisiana,15372,5120,2682080,24148,50269,74417,36.04122713896018,33.307311995836585,220.22201741994917,0,98800
G2200090,1860,Louisiana,13167,7185,5175358,58078,243664,301742,17.151599711011393,54.5682387787651,104.80109003434225,8027200,661595
G5501050,1860,Wisconsin,36690,0,10909806,256309,158567,414876,26.296546437971827,0,160.67928224029419,0,572285
G2701450,1860,Minnesota,4505,0,627000,17580,98328,115908,5.409462677295786,0,33.05333581897475,0,41880
G2901190,1860,Missouri,4038,72,416480,14102,35115,49217,8.462116748278033,1.7830609212481425,51.70590931224028,0,161394
G5500150,1860,Wisconsin,7895,0,970555,27744,63279,91023,10.662744581039957,0,65.15236325934924,0,41386
G2901610,1860,Missouri,5714,84,332235,25363,88416,113779,2.920002812469788,1.4700735036751837,17.842037058135936,96000,244260
G2601290,1860,Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G1301690,1860,Georgia,9107,5989,1607323,173149,96757,269906,5.955121412639956,65.76260019765016,36.38746390115686,3824000,321200
G5501310,1860,Wisconsin,23622,0,3916598,115022,109379,224401,17.453567497471045,0,106.64619799566624,0,80319
G4800890,1860,Texas,7885,3559,3066070,35168,156074,191242,16.03240919881616,45.13633481293595,97.96252176022077,5775200,264805
G0501150,1860,Arkansas,7883,978,1032383,35577,80279,115856,8.910915274133407,12.406444247114043,54.44819431818365,1489200,361196
G4802670,1860,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5000210,1860,Vermont,35946,0,10541940,300833,145583,446416,23.614610587434143,0,144.29190116364265,0,228364
G3150575,1860,Nebraska Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100630,1860,Virginia,8236,475,1023165,52466,115348,167814,6.09701812721227,5.767362797474502,37.25449266873726,0,121510
G4701450,1860,Tennessee,13583,1748,3420610,95944,270314,366258,9.339345488699223,12.869027460796584,57.06602322316437,80000,751790
G2200130,1860,Louisiana,11000,5000,NA,NA,NA,NA,NA,45.45454545454545,NA,NA,NA
G4800230,1860,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101310,1860,Virginia,7832,3872,2184150,56402,40065,96467,22.6414214187235,49.43820224719101,138.345442092247,0,377205
G3600430,1860,New York,40561,0,16583798,279398,124839,404237,41.02493834062691,0,250.673892180979,0,158441
G5101835,1860,Virginia,7463,112,1090010,35147,32900,68047,16.0184872220671,1.5007369690473,97.87745457329257,0,78001
G4804850,1860,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2100050,1860,Kentucky,7404,1357,1798182,63842,41328,105170,17.097860606636875,18.327930848190167,104.47272901783002,0,510505
G0101230,1860,Alabama,23827,6672,3256377,153332,301859,455191,7.153869474572213,28.00184664456289,43.71215114221933,6959600,635220
G2050455,1860,Kansas Territory,4459,0,599705,22910,53094,76004,7.890439976843324,0,48.2128037242404,0,344160
G0600950,1860,California,7169,0,2529460,162220,71528,233748,10.821311840101306,0,66.12125373448774,0,3360
G4802910,1860,Texas,3189,1079,751645,10914,242759,253673,2.9630469147288045,33.83505801191596,18.105048608796046,626000,87557
G1900490,1860,Iowa,5244,0,1225211,38082,84633,122715,9.984199160656807,0,61.00626021985778,0,470023
G3400230,1860,New Jersey,34812,1,9916006,106206,39673,145879,67.97418408406968,0.002872572676088705,415.3413504416182,0,487115
G3701970,1860,North Carolina,10714,1436,1106415,61254,138519,199773,5.538361039780151,13.403024080642151,33.84094100564026,800,293459
G4200270,1860,Pennsylvania,27000,0,7073465,117354,63055,180409,39.207938628338944,0,239.57151376448573,0,451360
G1800750,1860,Indiana,11399,0,2600610,61470,88482,149952,17.342949743918055,0,105.970292462373,0,404616
G5101390,1860,Virginia,8109,850,2192549,58431,63600,122031,17.967147691979907,10.482180293501047,109.78431718638075,0,175168
G5500490,1860,Wisconsin,18967,0,2808453,80618,189722,270340,10.388595842272693,0,63.477237490415625,0,308298
G4804170,1860,Texas,44,9,500,50,910,960,0.5208333333333334,20.454545454545457,3.1824379054573084,22800,500
