DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,state,census_pop,enslaved,farmv_total,improved,unimproved,land,farmv,pc_enslaved,cotton,corn,year,farmv_na,area,cotton_pc,ccratio
1900,Lawrence,470,0990,54,990,LAWRENCE,54,990,0,470,0990,2226,775582.61235591,-220311.47768632,G4700990,4700990,1574160478.61,173413.863592,Tennessee,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,607.786758762379,NA,NA
1900,Lawrence,470,0990,54,990,LAWRENCE,54,990,0,470,0990,2226,775582.61235591,-220311.47768632,G4700990,4700990,1574160478.61,173413.863592,Tennessee,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,607.786758762379,NA,NA
1900,Lawrence,470,0990,54,990,LAWRENCE,54,990,0,470,0990,2226,775582.61235591,-220311.47768632,G4700990,4700990,1574160478.61,173413.863592,Tennessee,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,607.786758762379,NA,NA
1900,Lawrence,470,0990,54,990,LAWRENCE,54,990,0,470,0990,2226,775582.61235591,-220311.47768632,G4700990,4700990,1574160478.61,173413.863592,Tennessee,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,607.786758762379,NA,NA
1900,Lawrence,470,0990,54,990,LAWRENCE,54,990,0,470,0990,2226,775582.61235591,-220311.47768632,G4700990,4700990,1574160478.61,173413.863592,Tennessee,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,607.786758762379,NA,NA
1900,Lawrence,470,0990,54,990,LAWRENCE,54,990,0,470,0990,2226,775582.61235591,-220311.47768632,G4700990,4700990,1574160478.61,173413.863592,Tennessee,15402,0,1696989,63553,155729,219282,7.73884313349933,0,56500,408930,1900,31.580296579918137,607.786758762379,3.668354759122192,0.13816545619054607
1900,Sherman,310,1630,35,1630,SHERMAN,35,1630,0,310,1630,2137,-247538.95208242,420762.439474,G3101630,3101630,1480493063.62,154225.355606,Nebraska,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,571.6215676449573,NA,NA
1900,Sherman,310,1630,35,1630,SHERMAN,35,1630,0,310,1630,2137,-247538.95208242,420762.439474,G3101630,3101630,1480493063.62,154225.355606,Nebraska,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,571.6215676449573,NA,NA
1900,Sherman,310,1630,35,1630,SHERMAN,35,1630,0,310,1630,2137,-247538.95208242,420762.439474,G3101630,3101630,1480493063.62,154225.355606,Nebraska,6550,0,4596599,168394,151605,319999,14.364416763802387,0,0,993580,1900,58.61761684182179,571.6215676449573,0,0
1900,Gallatin,210,0770,51,770,GALLATIN,51,770,0,210,0770,1055,956896.14362411,197024.997148,G2100770,2100770,271104390.107,98000.0713021,Kentucky,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,104.67399022422539,NA,NA
1900,Gallatin,210,0770,51,770,GALLATIN,51,770,0,210,0770,1055,956896.14362411,197024.997148,G2100770,2100770,271104390.107,98000.0713021,Kentucky,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,104.67399022422539,NA,NA
1900,Gallatin,210,0770,51,770,GALLATIN,51,770,0,210,0770,1055,956896.14362411,197024.997148,G2100770,2100770,271104390.107,98000.0713021,Kentucky,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,104.67399022422539,NA,NA
1900,Gallatin,210,0770,51,770,GALLATIN,51,770,0,210,0770,1055,956896.14362411,197024.997148,G2100770,2100770,271104390.107,98000.0713021,Kentucky,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,104.67399022422539,NA,NA
1900,Gallatin,210,0770,51,770,GALLATIN,51,770,0,210,0770,1055,956896.14362411,197024.997148,G2100770,2100770,271104390.107,98000.0713021,Kentucky,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,104.67399022422539,NA,NA
1900,Gallatin,210,0770,51,770,GALLATIN,51,770,0,210,0770,1055,956896.14362411,197024.997148,G2100770,2100770,271104390.107,98000.0713021,Kentucky,5163,0,2010659,57264,5798,63062,31.883844470521076,0,0,225140,1900,130.110049669884,104.67399022422539,0,0
1900,Sherman,410,0550,72,550,SHERMAN,72,550,0,410,0550,1139,-1910765.37012948,1133560.34413491,G4100550,4100550,2152933733.44,311042.767945,Oregon,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,831.2523617878694,NA,NA
1900,Sherman,410,0550,72,550,SHERMAN,72,550,0,410,0550,1139,-1910765.37012948,1133560.34413491,G4100550,4100550,2152933733.44,311042.767945,Oregon,3477,0,3591040,198285,104197,302482,11.871913039453588,0,0,2650,1900,48.44632825467442,831.2523617878694,0,0
1900,Harrison,290,0810,34,810,HARRISON,34,810,0,290,0810,2625,169066.57135879,321693.63883036,G2900810,2900810,1881498062.49,177562.849586,Missouri,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,726.4504633150614,NA,NA
1900,Harrison,290,0810,34,810,HARRISON,34,810,0,290,0810,2625,169066.57135879,321693.63883036,G2900810,2900810,1881498062.49,177562.849586,Missouri,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,726.4504633150614,NA,NA
1900,Harrison,290,0810,34,810,HARRISON,34,810,0,290,0810,2625,169066.57135879,321693.63883036,G2900810,2900810,1881498062.49,177562.849586,Missouri,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,726.4504633150614,NA,NA
1900,Harrison,290,0810,34,810,HARRISON,34,810,0,290,0810,2625,169066.57135879,321693.63883036,G2900810,2900810,1881498062.49,177562.849586,Missouri,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,726.4504633150614,NA,NA
1900,Harrison,290,0810,34,810,HARRISON,34,810,0,290,0810,2625,169066.57135879,321693.63883036,G2900810,2900810,1881498062.49,177562.849586,Missouri,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,726.4504633150614,NA,NA
1900,Harrison,290,0810,34,810,HARRISON,34,810,0,290,0810,2625,169066.57135879,321693.63883036,G2900810,2900810,1881498062.49,177562.849586,Missouri,24398,0,16412733,328598,120343,448941,36.558774983795196,0,0,3370790,1900,149.18727989059118,726.4504633150614,0,0
1900,Mason,480,3190,49,3190,MASON,49,3190,0,480,3190,2049,-308176.72935064,-752476.26382343,G4803190,4803190,2414382518.53,197561.317932,Texas,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,932.1983020725143,NA,NA
1900,Mason,480,3190,49,3190,MASON,49,3190,0,480,3190,2049,-308176.72935064,-752476.26382343,G4803190,4803190,2414382518.53,197561.317932,Texas,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,932.1983020725143,NA,NA
1900,Mason,480,3190,49,3190,MASON,49,3190,0,480,3190,2049,-308176.72935064,-752476.26382343,G4803190,4803190,2414382518.53,197561.317932,Texas,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,932.1983020725143,NA,NA
1900,Mason,480,3190,49,3190,MASON,49,3190,0,480,3190,2049,-308176.72935064,-752476.26382343,G4803190,4803190,2414382518.53,197561.317932,Texas,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,932.1983020725143,NA,NA
1900,Mason,480,3190,49,3190,MASON,49,3190,0,480,3190,2049,-308176.72935064,-752476.26382343,G4803190,4803190,2414382518.53,197561.317932,Texas,5573,0,3599645,31437,616032,647469,5.5595634694479585,0,1545000,209700,1900,22.687197581255948,932.1983020725143,277.229499371972,7.367668097281832
1900,Brevard,120,0090,43,90,BREVARD/ST LUCIE,43,90,0,120,0090,273,1510765.73237694,-955340.29486792,G1200090,1200090,6520827720,1704389.68845,Florida,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,2517.7056585020387,NA,NA
1900,Brevard,120,0090,43,90,BREVARD/ST LUCIE,43,90,0,120,0090,273,1510765.73237694,-955340.29486792,G1200090,1200090,6520827720,1704389.68845,Florida,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,2517.7056585020387,NA,NA
1900,Brevard,120,0090,43,90,BREVARD/ST LUCIE,43,90,0,120,0090,273,1510765.73237694,-955340.29486792,G1200090,1200090,6520827720,1704389.68845,Florida,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,2517.7056585020387,NA,NA
1900,Brevard,120,0090,43,90,BREVARD/ST LUCIE,43,90,0,120,0090,273,1510765.73237694,-955340.29486792,G1200090,1200090,6520827720,1704389.68845,Florida,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,2517.7056585020387,NA,NA
1900,Brevard,120,0090,43,90,BREVARD/ST LUCIE,43,90,0,120,0090,273,1510765.73237694,-955340.29486792,G1200090,1200090,6520827720,1704389.68845,Florida,5158,0,2319825,7290,30823,38113,60.86702699866187,0,0,1820,1900,248.38321844707707,2517.7056585020387,0,0
