point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,enslaved_share_coef
1,0.20689063005075603,0.23078770100870138,0.37001017041708373,74,60,276.2887309585352,276.2887309585352,NA
2,0.3627266846437047,0.28276706213148556,0.19957070878903727,76,70,257.54717101023573,257.54717101023573,NA
3,0.4301254391269431,0.1963090067080028,0.028447219775694435,73,74,229.47292762625054,229.47292762625054,NA
4,0.14348125076877416,0.1738559084718228,0.40920792088355,64,73,195.6190342305974,195.6190342305974,NA
5,-0.23213459902510092,0.20432635184066636,0.2559158810002111,68,99,204.5651290140054,204.5651290140054,NA
6,-0.49192002684756986,0.1668721805111092,0.0031995588545421973,46,79,157.48841219270284,157.48841219270284,NA
7,-0.5577088897265199,0.1418486335997904,8.434080852015857e-5,40,58,134.2624093598908,134.2624093598908,NA
8,-0.6585494526316023,0.15898809854319482,3.4409444520156384e-5,57,73,157.01939280775358,157.01939280775358,NA
9,-0.4722688542051374,0.27554560137622397,0.08653959504014104,87,120,197.68918105447844,197.68918105447844,NA
10,-0.18537054218063176,0.2729562685528581,0.49706071445464073,98,120,201.37722689654578,201.37722689654578,NA
11,0.13250984980743574,0.26161079001221194,0.6124949999409397,115,128,215.6866550627315,215.6866550627315,NA
12,0.24052893633364292,0.21829808710229,0.27053248792075313,153,116,227.99215424391764,227.99215424391764,NA
13,0.3035183642183723,0.192398611297808,0.11466910450397974,65,59,153.24564744335783,153.24564744335783,NA
14,0.14294306783743949,0.12280913993902817,0.244446356110605,64,49,142.68968279595714,142.68968279595714,NA
15,0.10422345902169905,0.1013032788730919,0.3035613918137859,94,50,166.16981331244432,166.16981331244432,NA
16,0.0642905965554732,0.11754600639123956,0.5844200484057942,66,33,132.2495416688891,132.2495416688891,NA
17,0.01576536777255999,0.14727874817709577,0.9147537422938379,53,32,116.0959052650804,116.0959052650804,NA
18,0.05271973082771808,0.17372683762729918,0.7615367620163027,46,37,114.10498120244404,114.10498120244404,NA
19,0.054760671718414144,0.24177441086469573,0.820816523117003,44,46,116.69011861242235,116.69011861242235,NA
20,-0.08518654445431917,0.27357147948006466,0.7555065961809039,43,61,123.17158464729225,123.17158464729225,NA
21,-0.3507283714549363,0.18769911260790845,0.061683077775935624,60,69,132.70701870927155,132.70701870927155,NA
22,-0.27715145414336284,0.2081324299910054,0.1829880153745078,102,89,159.21166051313403,159.21166051313403,NA
23,-0.47832297296314685,0.2540547555937769,0.05973351847163295,89,72,143.6402124403102,143.6402124403102,NA
24,0.12385700715122994,0.39534112966343227,0.7540592234354353,81,77,140.85926570214744,140.85926570214744,NA
25,0.4714152540838352,0.43727004812283105,0.28099483079507215,74,49,121.32755192370114,121.32755192370114,NA
26,0.8128419311700821,0.28694817920210997,0.00461547578173875,47,40,97.69852727014047,97.69852727014047,NA
27,0.49236414096048087,0.23591283803937016,0.03688275215419162,53,61,116.09427553271388,116.09427553271388,NA
28,-0.09168232861942727,0.30344293531655164,0.7625451395578688,52,82,128.9388443227234,128.9388443227234,NA
29,-0.7799511541281579,0.2832455748568334,0.005893985689045665,41,67,111.970599124913,111.970599124913,NA
30,-0.06674060657489989,0.35618719741368254,0.8513665555168012,55,56,116.93376725379755,116.93376725379755,NA
31,0.019739856366925324,0.4156682586658122,0.9621231397185406,79,65,141.2097189828348,141.2097189828348,NA
32,-0.8262051684239005,0.24263529214126836,6.613210826506004e-4,229,193,258.8142496935134,258.8142496935134,NA
33,-1.0108777650337917,0.23546418240292374,1.7617374111031316e-5,120,59,165.75529501158277,165.75529501158277,NA
34,-1.1587039412246263,0.18949808353822048,9.680278703858463e-10,123,86,179.4830415621908,179.4830415621908,NA
35,-0.9427497716581286,0.20726356428056322,5.401546514218323e-6,102,71,167.80945466392552,167.80945466392552,NA
36,-0.8136469476472428,0.24290184600994078,8.090077048324689e-4,81,82,166.02974476329064,166.02974476329064,NA
37,-0.755314556127467,0.2413673537442091,0.001752141787552159,83,90,174.1611400823421,174.1611400823421,NA
38,-0.8061717258976353,0.28784480374746496,0.005098927290832146,69,93,177.00970666079152,177.00970666079152,NA
39,-0.13332420480688878,0.18030924613268381,0.4596521965743968,36,80,153.44303277652955,153.44303277652955,NA
40,0.19524365856442571,0.17464230019810584,0.26358272592705007,19,60,127.88964428278891,127.88964428278891,NA
41,-0.6921625712554427,0.25035745734222764,0.0056975650215876665,69,102,184.18574473074327,184.18574473074327,NA
42,-0.807822121379612,0.24830196018329043,0.0011403847200437821,105,110,201.31969203796643,201.31969203796643,NA
43,-0.39697315151610013,0.27233435238916126,0.14493199463259926,102,90,187.5991112469486,187.5991112469486,NA
44,0.2741668070423362,0.332201266147106,0.4091994088315299,90,65,166.95492392631323,166.95492392631323,NA
45,0.29949995469455537,0.4303467755518015,0.4864599738139808,83,61,156.5936225845976,156.5936225845976,NA
46,-0.14421006694682603,0.2822909734839383,0.6094518201312353,105,95,192.99658313577368,192.99658313577368,NA
47,-0.5436168605436649,0.22192959220780958,0.014305412909484254,129,135,245.95608494001706,245.95608494001706,NA
48,-0.6469510795392246,0.21851601799994647,0.0030698315122850667,117,143,256.5785220016406,256.5785220016406,NA
49,-0.8019837155875695,0.24313092667274017,9.717959432748184e-4,124,140,265.0970290526996,265.0970290526996,NA
50,-1.0438246512660339,0.2216013000553854,2.4726454816292917e-6,144,141,293.2202726391004,293.2202726391004,NA
