point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef
1,-1.3125839475529797,0.5256161002486327,0.012516797589988487,28,33,98.28139320422305,98.28139320422305,0.48503561918548566,-0.010731747150234049
2,-0.45994083079252784,0.39236780952900713,0.24110931651010953,16,20,64.84310457886447,64.84310457886447,-0.0773669239205094,-0.0037040190451615735
3,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,-0.7101896634214677,0.21058905132099437,7.451723696744696e-4,17,32,88.01997136150909,88.01997136150909,0.06322331528461053,0.0017810374841596027
5,171.64406864269745,141.62332891295597,0.22552158680611475,2,3,29.251198318234017,29.251198318234017,4.2827301025390625,-0.13296270370483398
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,-0.9040220782303022,0.6877728429525626,0.1887050513350515,10,9,41.17157142096936,41.17157142096936,0.1848027384564614,-0.01133001790335016
8,-0.06564633425123823,1.7122924329011355,0.9694179759950704,5,4,28.04966736935253,28.04966736935253,0.07623706870460949,-0.0038787839926065345
9,2.588704292791917,1.0520273419862205,0.013867338326299656,7,10,38.565652911220305,38.565652911220305,-0.17531818365776036,0.011576563270469933
10,1.1568024431240924,0.44197162456701,0.008861072004305108,23,18,63.34258839376315,63.34258839376315,-0.08754216158758274,0.0104238509266877
11,0.6665597261364851,0.44272694000520335,0.13217566418988697,26,29,64.66120028830787,64.66120028830787,-0.12385181277779525,0.010574713791713541
12,0.36099863475768007,0.4659592958996605,0.43849162299567707,25,27,65.6168348251319,65.6168348251319,-0.198606743271813,0.005331329587702644
13,-0.6120518951534831,0.49735718337284374,0.2184693864886108,16,16,58.57963314618901,58.57963314618901,-0.18038209154821666,-4.4081827643165615e-4
14,0.3611929309951202,0.7714506691118563,0.6396418245551612,10,6,40.59748884717011,40.59748884717011,-0.21677592831926087,0.008097587140024412
15,-0.36037812389905155,0.3629914426648975,0.3208071350418477,13,34,84.60599345480406,84.60599345480406,-0.06940242233169147,0.0014758810274195322
16,1.7752301247298004,1.338243589101898,0.18466176700118947,6,6,31.538031317432424,31.538031317432424,0.05194892185548139,0.0081993066355204609
17,-1.4495252830449905,0.559484942595024,0.0095747306918259,19,26,74.0667042796359,74.0667042796359,-0.03021369839801541,-0.0032577864317762982
18,-1.2246420398399078,0.6352297528340294,0.05387097370767213,21,10,61.128428485594604,61.128428485594604,-0.06841054589833434,-0.0020866355624209604
19,-3.1079539872761335,1.187442696733749,0.008861524159991177,25,20,63.6156445597526,63.6156445597526,-3.1699346551233853e-4,-0.001460090417738917
20,-0.7686029946291025,0.4726578620053713,0.10392206385147477,41,46,121.28559517084437,121.28559517084437,0.17687778658995312,-0.006642976384866352
