point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef
1,0.010717444215552069,0.24232658206604116,0.9647232415710236,74,61,277.8648308233613,277.8648308233613,-0.017260872377814873,-0.002731534148665677
2,0.1755951540145803,0.26574559827844146,0.5087636018524204,83,82,282.70135845485765,282.70135845485765,-0.011442448688208835,-0.0018313496981524912
3,0.6220778217894176,0.30253754972939295,0.0397632066108259,47,34,154.74354802994188,154.74354802994188,0.04736282097126945,0.003229898176263444
4,0.047603021700919505,0.18025167121030305,0.7917090395436569,53,51,158.14499261504082,158.14499261504082,0.07657822427386658,-0.0036290127743757463
5,-0.3404732847864729,0.12398748559605219,0.00603213516375437,67,97,202.11241324975785,202.11241324975785,-0.035694005259968214,-0.005443900034238752
6,-0.18317787555482623,0.07911299300575433,0.02059129234851351,46,79,156.13650940627807,156.13650940627807,-0.03938194706210846,-0.00809994213313978
7,-0.25620003303521977,0.10869445102861595,0.018419955300011722,40,58,133.99060179831494,133.99060179831494,-0.04420801453101962,-0.008292489545192544
8,-0.5714739017534248,0.15722660905541708,2.782881862529026e-4,39,42,124.02683381906786,124.02683381906786,-0.06555260802830656,-0.009034587155970398
9,-0.48555050280903433,0.34294856871620666,0.15683072273820292,48,61,143.52393436622808,143.52393436622808,-0.02233347169770137,-0.0025613537234647813
10,-0.11008711400796743,0.2902623713555056,0.7044891542716425,92,110,193.5364768290745,193.5364768290745,-0.017392252573725918,0.0012668567023182255
11,0.1619171349301421,0.2750083526318302,0.5560144333919861,108,123,208.90978120218344,208.90978120218344,-0.026160918204609758,0.0014789094048941
12,0.1846796554380539,0.26382400044583465,0.4839205459940271,109,87,194.49049923570524,194.49049923570524,-0.014080275312173682,0.0012750845943237255
13,0.20975797065533322,0.18651071786831752,0.2607403505340555,70,61,158.0752502907569,158.0752502907569,-0.009571240966417635,0.0016127973647585329
14,0.0752576343024235,0.12407174956552373,0.5441393471458147,60,49,140.65663615801412,140.65663615801412,-0.009515107367902328,0.0018097323210343214
15,-0.019124425390117064,0.10075641804973307,0.8494591886099069,96,51,167.98992516629878,167.98992516629878,-0.07651694141687938,0.0029621218678726998
16,-0.18352045698988068,0.12016276811651694,0.12669499047763583,68,33,134.16968549035192,134.16968549035192,-0.10584990953664747,0.003414176578273543
17,-0.1970183082651456,0.14057883695350357,0.16107083956724158,57,34,123.46537219976595,123.46537219976595,-0.08989969841448534,0.001734714565542261
18,-0.06318758138882483,0.1694261293224364,0.7091851899767785,56,43,124.02135810621601,124.02135810621601,-0.06521821448536083,0.001514566866102511
19,0.0074844311099222394,0.22207340712593132,0.9731143778316148,50,51,122.6235025399298,122.6235025399298,-0.06818423909100882,0.002902233819992519
20,-0.05084348707323405,0.32262770851810585,0.8747784514160966,30,50,107.93610246015143,107.93610246015143,-0.05423021757226128,0.008021458116326114
21,-0.22054001417168212,0.21607250019410856,0.30740797114957163,38,58,115.6032083217484,115.6032083217484,-0.07763709884896666,0.008103170648101047
22,-0.648175123894746,0.28171698377120746,0.02140280042915609,42,50,107.79300011548972,107.79300011548972,-0.08707189803729441,0.005130624171458107
23,-0.6560477978356399,0.2617232469751561,0.01218823576737873,87,71,142.56159875778906,142.56159875778906,-0.10289485542665794,0.006523532222690076
24,0.09625285871959954,0.3707557853301156,0.795162646648275,90,89,150.6902811532002,150.6902811532002,-0.07527417985467225,0.007119977985540876
25,0.3986430755771335,0.35489265283650073,0.26131948468158567,92,70,143.94310297921265,143.94310297921265,-0.1022323008027481,0.0062859272970128876
26,0.9372367403180594,0.29328269603063667,0.0013950322987645396,54,46,104.40342731723796,104.40342731723796,-0.06077981496227879,0.008886759903220643
27,0.6866708243381224,0.2679944390448698,0.01039941128233281,61,70,124.62433969581646,124.62433969581646,-0.09322630957238891,0.006510547922912766
28,0.4133385398375101,0.27302630886465956,0.13004747774947129,62,98,140.6184032647988,140.6184032647988,-0.09531480485695765,0.0033788955807595683
29,-0.2768860539975624,0.2681176117052601,0.30174257389982073,45,74,119.63783861682239,119.63783861682239,-0.10030973718650449,-2.652755352645312e-5
30,0.11547161351320363,0.26125722876642316,0.6585005112012148,64,65,129.83792259933824,129.83792259933824,-0.14507977946029008,-0.0024881769484031997
31,-0.06426706382460881,0.2595615511414452,0.8044450323568856,107,94,168.3900147189011,168.3900147189011,-0.14227380770583933,1.827845208927613e-4
32,-0.2586429645377491,0.19768845512572003,0.19075929785603474,173,148,221.35425027876516,221.35425027876516,-0.12308537233178468,4.8724918326540235e-5
33,-0.6631462682688684,0.3068731497606844,0.03069700292260743,76,35,134.38092954719212,134.38092954719212,-0.13655671780402362,-1.3754274638367366e-4
34,-0.5687174727210403,0.26283825859859794,0.03048319351870808,37,29,107.41527483424665,107.41527483424665,-0.09603786288333094,-8.845419726115551e-4
35,-0.5834237830445688,0.2422591843888878,0.01602863807877611,50,37,122.95668054050029,122.95668054050029,-0.0958443441681541,-9.559960176527616e-4
36,-0.5721696357949841,0.23351970416095508,0.01427774677718299,42,50,126.13280644599875,126.13280644599875,-0.08658140882252974,-9.13669119050277e-4
37,-0.6526307642780398,0.2330347996130339,0.0051012106344721815,56,70,150.07853331563703,150.07853331563703,-0.1008764736124717,-3.451369337423018e-4
38,-0.5400678956732716,0.25741668752595,0.035902508122206515,50,77,154.90050176263844,154.90050176263844,-0.1271848220016405,-1.8812289046500836e-4
39,0.037089789042164714,0.19459938297715051,0.8488424260800602,20,48,108.44526287311666,108.44526287311666,-0.08572994253274058,-1.2424985976580008e-4
40,0.111318187093987,0.16729399675986306,0.5057917737523172,12,42,96.72169130768246,96.72169130768246,-0.016082055472479456,-0.002146726829659485
41,-0.2552929953356448,0.17990353235605588,0.1558830009650601,45,73,149.3377542868602,149.3377542868602,-0.12046285663103205,-6.083520130131477e-4
42,-0.6207476141120274,0.19269737032208825,0.0012758374763509532,83,86,177.35406745030255,177.35406745030255,-0.11696889409953748,-0.0010003905061607647
43,-0.1823736738880386,0.23436038741512205,0.43646515011131815,86,76,170.6847777046068,170.6847777046068,-0.08397528737254292,-0.0015960899994899936
44,0.06589872403979169,0.29417632449709463,0.8227487666792679,85,57,158.1836410195084,158.1836410195084,-0.050180892141613254,-0.001776047676239729
45,0.29927030634971724,0.36409246527318423,0.4110983127919093,84,56,155.67214635650936,155.67214635650936,-0.012189742541417803,-0.002058944692050567
46,0.4594002361715711,0.30133383997487073,0.12736994334404736,63,55,143.52026382589224,143.52026382589224,0.010572336200306065,-0.0023624680915144327
47,-0.149143895982183,0.28441628852995887,0.6000101503835862,67,71,161.36160876928113,161.36160876928113,0.0800838185075402,-0.003338795561266211
48,-0.4489703567879119,0.2689418791879764,0.09503902936724248,79,95,203.68854513849982,203.68854513849982,0.11680382406964926,-0.004258162016590191
49,-0.5712978011424128,0.3025494296479073,0.05898847543312706,87,88,210.67710592420732,210.67710592420732,0.13766400469435358,-0.004384784639325413
50,-0.5880737308684871,0.31056010690786895,0.05827935862024183,75,61,181.92570048093054,181.92570048093054,0.22080702142497216,-0.006178983908760094
