point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,enslaved_share_coef
1,-0.03868080715156927,0.44951254414471714,0.9314262234069383,42,30,219.55780242976414,219.55780242976414,NA
2,0.5566545748265218,0.35787439840327423,0.11983970409966371,55,61,244.11092993275994,244.11092993275994,NA
3,1.0490780408014446,0.28722025847904503,2.5967829923494276e-4,39,44,175.4811857819705,175.4811857819705,NA
4,0.037289308514041136,0.19813083160053954,0.8507155758463711,34,45,146.89252090415573,146.89252090415573,NA
5,-0.4060459696006903,0.13754702584307443,0.0031566978950241563,44,82,179.59886969838584,179.59886969838584,NA
6,-0.42382074753370313,0.17316943190073172,0.014387749154729498,22,70,140.12504700232626,140.12504700232626,NA
7,-0.5682335333823789,0.16765944753531348,7.009361033527321e-4,17,44,112.69481639263859,112.69481639263859,NA
8,-1.4805929451892745,0.409865387257458,3.0338976186372916e-4,18,25,99.3895507759584,99.3895507759584,NA
9,-1.6662408344579382,1.0095880878726626,0.0988577794559324,14,27,98.37633305738348,98.37633305738348,NA
10,-1.2515404999832571,0.6463241950682801,0.052819045962290756,16,37,111.51395603936062,111.51395603936062,NA
11,-1.3233913428680286,0.26578258746082783,6.383934337926215e-7,25,64,137.1792600397306,137.1792600397306,NA
12,-0.6268823254245612,0.18761093524770958,8.3358403921387e-4,32,50,136.7705287039031,136.7705287039031,NA
13,0.08528629729744036,0.2120302289729556,0.6875099820682649,31,44,129.09746000764912,129.09746000764912,NA
14,0.32120833127284476,0.24230125991687645,0.18495337766933045,31,37,121.40971174427169,121.40971174427169,NA
15,0.11134224700165349,0.17230110124632336,0.5181450464684948,71,46,161.59931168699165,161.59931168699165,NA
16,-0.20094752912051905,0.22500604407153257,0.3718163999766592,50,33,132.00893396605068,132.00893396605068,NA
17,-0.3539145286819943,0.2991247874882586,0.23674303326695142,38,31,113.90293067399297,113.90293067399297,NA
18,-0.25437565010583935,0.37061348986541637,0.4924837824445708,30,35,111.53100401428657,111.53100401428657,NA
19,-0.24419936190059072,0.3807698684738843,0.5213079229368514,22,40,104.89530405197466,104.89530405197466,NA
20,-0.5962620361362215,0.3448726533115706,0.08382091837056149,17,48,104.36912353697923,104.36912353697923,NA
21,-1.0775806730334034,0.26783521655279807,5.73890056650007e-5,18,46,102.45242728280813,102.45242728280813,NA
22,-0.944252755297131,0.2535583324397831,1.9608624998987387e-4,75,87,155.20036097532133,155.20036097532133,NA
23,-0.9024868887598938,0.3130626799913955,0.00394198399129013,73,72,146.25494163822276,146.25494163822276,NA
24,0.0447448926898249,0.731591187366663,0.95123094106586,49,61,124.02937191927023,124.02937191927023,NA
25,0.6581514595992481,0.5072765357856222,0.1944862153821957,50,42,114.48110821791573,114.48110821791573,NA
26,0.8126048007539003,0.34989750155058597,0.020210970241030808,29,33,86.7588565862469,86.7588565862469,NA
27,0.2446359651793308,0.2920846753614478,0.40228262769233997,28,43,95.2992454152459,95.2992454152459,NA
28,-0.23119938387928815,0.3320737423772826,0.48628540206824444,30,62,112.83101085601645,112.83101085601645,NA
29,-1.0876901597905868,0.453589142198693,0.016486512660892808,21,51,99.89676607535702,99.89676607535702,NA
30,0.3495064744492671,0.27251650020527096,0.1996620783669694,45,65,127.23984252025927,127.23984252025927,NA
31,-0.14286949904637244,0.3707174820042349,0.6999511107082104,79,88,164.63988736495983,164.63988736495983,NA
32,-0.08660207046445387,0.24263784776349034,0.7211524068095738,165,167,240.07776352867725,240.07776352867725,NA
33,-0.28222174754196544,0.21900153283608784,0.1975111811394096,167,126,223.98966328798787,223.98966328798787,NA
34,-0.6892116090904962,0.24245021367204583,0.004473408873639254,103,94,185.6514821174042,185.6514821174042,NA
35,-0.7842678849970733,0.21385845984296853,2.4519346471606055e-4,60,59,152.12522968390624,152.12522968390624,NA
36,-0.5831655920055403,0.23235251811703442,0.012078889628208463,24,39,113.5945360395827,113.5945360395827,NA
37,-0.7740298227481547,0.21395155778338396,2.971399626142606e-4,31,57,136.7992096064445,136.7992096064445,NA
38,-0.6809244960929507,0.32117174562857415,0.03399543982926987,20,56,126.854202650074,126.854202650074,NA
39,-0.011322314932410218,0.690166370092955,0.986911134085032,10,51,110.38022168578851,110.38022168578851,NA
40,0.7701463792858141,1.9754542331423017,0.6966416487554266,6,54,115.31401029365352,115.31401029365352,NA
41,-0.373695730177191,0.36586001523493533,0.3070567966540652,15,53,121.43256467040086,121.43256467040086,NA
42,-0.8161621711944433,0.18238101003790005,7.639729114455e-6,69,97,184.8552633127485,184.8552633127485,NA
43,-0.1140563535765844,0.2685272528611993,0.671020551439643,56,63,156.79754543035855,156.79754543035855,NA
44,0.12953762738553382,0.2858204749442602,0.650395189753419,68,62,162.55010915687814,162.55010915687814,NA
45,-0.12775882018881904,0.41743164683029066,0.7595595275562832,67,62,161.02452036401093,161.02452036401093,NA
46,-0.2626271417209831,0.41060733424127593,0.5224284210835934,53,61,151.61756005156454,151.61756005156454,NA
47,-0.8998068568947741,0.3076958224097963,0.0034518872632712714,61,83,173.0902290724085,173.0902290724085,NA
48,-1.1555916491293539,0.3073256570948908,1.6980912074904345e-4,66,96,201.27749524815908,201.27749524815908,NA
49,-1.1753059621680428,0.3169472629350826,2.0873224931230598e-4,73,90,206.76221386525947,206.76221386525947,NA
50,-0.8322531826889162,0.3251588623256507,0.010481443968033128,66,67,186.47677539545037,186.47677539545037,NA
