bw_method,kernel,p_order,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_enslaved_coef
mserd,triangular,1,1850,1,-0.2710985691938004,0.23545232055692242,0.24956986670894604,500,463,213.04255935820422,213.04255935820422,NA,NA,NA
msetwo,triangular,1,1850,1,-0.24437297010941528,0.23782940757885415,0.30417864655335997,456,546,300.79968399092917,188.3076439736781,NA,NA,NA
msesum,triangular,1,1850,1,-0.2607278597487599,0.2333925525407095,0.2639423397489838,481,446,200.30584663737446,200.30584663737446,NA,NA,NA
cerrd,triangular,1,1850,1,-0.2549226465260479,0.22891967331341292,0.2654551418031635,432,411,177.15906161838188,177.15906161838188,NA,NA,NA
certwo,triangular,1,1850,1,-0.24993102655094201,0.23362042183976484,0.284701828003895,393,508,250.13494914572175,156.5903338865444,NA,NA,NA
cersum,triangular,1,1850,1,-0.23711676296794382,0.22648301793790002,0.2951218913422834,415,396,166.5676376300359,166.5676376300359,NA,NA,NA
mserd,uniform,1,1850,1,-0.348807156405746,0.23828981241973168,0.14325028966890815,393,383,156.82838400319514,156.82838400319514,NA,NA,NA
msetwo,uniform,1,1850,1,-0.2928189521758746,0.24821899634642602,0.23812756492901135,382,466,214.72338741400776,151.75580756958817,NA,NA,NA
msesum,uniform,1,1850,1,-0.28678432535531906,0.24256920107242438,0.23709525585684238,364,370,145.39414197953963,145.39414197953963,NA,NA,NA
cerrd,uniform,1,1850,1,-0.275558365534438,0.24136851000337237,0.25359952134887287,335,343,130.4132349368688,130.4132349368688,NA,NA,NA
certwo,uniform,1,1850,1,-0.3044025198292668,0.25163739462653795,0.2263989669484762,325,414,178.55678197062068,126.19505015880125,NA,NA,NA
cersum,uniform,1,1850,1,-0.22298875878008584,0.23750437757374995,0.34779095615720773,311,329,120.90490198531825,120.90490198531825,NA,NA,NA
mserd,epanechnikov,1,1850,1,-0.299760472864429,0.24009812750204237,0.2118511169756323,477,444,198.32593237107548,198.32593237107548,NA,NA,NA
msetwo,epanechnikov,1,1850,1,-0.2588928230637899,0.24430282438779946,0.28927156533670323,434,530,280.73111144800066,177.9509026623178,NA,NA,NA
msesum,epanechnikov,1,1850,1,-0.2704554080003496,0.23695581626524165,0.25371396819886954,438,419,180.5463319626618,180.5463319626618,NA,NA,NA
cerrd,epanechnikov,1,1850,1,-0.269757952901319,0.2334534108490503,0.2478812855879453,409,394,164.92120719585859,164.92120719585859,NA,NA,NA
certwo,epanechnikov,1,1850,1,-0.2670982464579872,0.2397911186207764,0.2653311800665313,372,491,233.44659593387453,147.97801446233044,NA,NA,NA
cersum,epanechnikov,1,1850,1,-0.2314890251309314,0.2302211022703569,0.314652581403501,378,373,150.1362865969263,150.1362865969263,NA,NA,NA
mserd,triangular,2,1850,1,-0.20724146802273768,0.21798091605234984,0.3417403562274423,562,505,245.98353503907592,245.98353503907592,NA,NA,NA
msetwo,triangular,2,1850,1,-0.2440319801618891,0.2203490743272006,0.2680868717094596,535,531,283.8717030104362,234.8866346096043,NA,NA,NA
msesum,triangular,2,1850,1,-0.24635964832233714,0.22695751445808898,0.27770559544506024,643,545,299.8843183533284,299.8843183533284,NA,NA,NA
cerrd,triangular,2,1850,1,-0.1372699692480639,0.21093767737810215,0.5152009158544888,479,444,199.23230213040512,199.23230213040512,NA,NA,NA
certwo,triangular,2,1850,1,-0.18368211227060716,0.21233686291588758,0.38701106440745686,461,489,229.9195061631403,190.24446065262367,NA,NA,NA
cersum,triangular,2,1850,1,-0.21817594566769394,0.21750995481351393,0.31583100244844137,551,504,242.88878972671816,242.88878972671816,NA,NA,NA
mserd,uniform,2,1850,1,-0.1674730692539761,0.220256802675976,0.4470432061766398,435,417,179.52917495178522,179.52917495178522,NA,NA,NA
msetwo,uniform,2,1850,1,-0.20043167043479748,0.2251703830582775,0.3733942801461927,477,432,190.30490770494202,197.90665274841058,NA,NA,NA
msesum,uniform,2,1850,1,-0.31024604025600055,0.23015989822453148,0.17767166216184624,533,490,232.68629613894254,232.68629613894254,NA,NA,NA
cerrd,uniform,2,1850,1,-0.0911573180282268,0.2171114322625214,0.6745846611590541,364,370,145.4081502631242,145.4081502631242,NA,NA,NA
certwo,uniform,2,1850,1,-0.1044759440569738,0.2174837143733637,0.6309535604552382,401,377,154.13586467381597,160.29283434651396,NA,NA,NA
cersum,uniform,2,1850,1,-0.20790810844563268,0.2226920254486884,0.35050369954331945,456,428,188.46231495369958,188.46231495369958,NA,NA,NA
mserd,epanechnikov,2,1850,1,-0.18259408410792766,0.21848711953404856,0.4033123675647796,513,472,217.64999028816558,217.64999028816558,NA,NA,NA
msetwo,epanechnikov,2,1850,1,-0.2428460825622496,0.22107107686775995,0.2719871955997835,494,514,254.9811363280078,207.66368596541386,NA,NA,NA
msesum,epanechnikov,2,1850,1,-0.2707948631764392,0.22908922818313568,0.2371859642274544,608,528,276.0188847921093,276.0188847921093,NA,NA,NA
cerrd,epanechnikov,2,1850,1,-0.10982998485355999,0.21097693811503335,0.602660671422752,430,410,176.28378507887976,176.28378507887976,NA,NA,NA
certwo,epanechnikov,2,1850,1,-0.15284690935601475,0.21187893843641442,0.47067086908429895,417,456,206.51983386768435,168.19546160763366,NA,NA,NA
cersum,epanechnikov,2,1850,1,-0.2182143476959464,0.21975220457396302,0.3207090484541283,519,480,223.55918187720664,223.55918187720664,NA,NA,NA
mserd,triangular,1,1850,2,-0.27357906922949266,0.2431362395182679,0.260500507608456,531,488,231.41508169925385,231.41508169925385,4.966409607346511e-4,-0.0010167971504903236,NA
msetwo,triangular,1,1850,2,-0.26828195477223726,0.2397992416886327,0.2632351464025907,526,429,189.7255308916636,225.92182301547163,6.088523956371272e-4,-0.0010032707012218674,NA
msesum,triangular,1,1850,2,-0.27643096733776007,0.2406885151390912,0.25076185697944897,496,459,209.5142706631964,209.5142706631964,-2.215037960581548e-4,-9.90866545844318e-4,NA
cerrd,triangular,1,1850,2,-0.2742058939537033,0.23759662003833307,0.24846670492275263,465,432,192.43703625081423,192.43703625081423,-5.025670066036644e-4,-9.7298837138202e-4,NA
certwo,triangular,1,1850,2,-0.2450190914382452,0.23302638014880378,0.29304505909151973,455,385,157.76940118947212,187.86902619414946,-1.7959144803670474e-4,-9.45068704546013e-4,NA
cersum,triangular,1,1850,2,-0.25874713520526565,0.2336083287454215,0.268029886652435,426,407,174.22505483490463,174.22505483490463,-4.769870595470599e-4,-9.527992201328766e-4,NA
mserd,uniform,1,1850,2,-0.35196621014620316,0.2551279239870152,0.16771982826120957,423,404,172.61710194605652,172.61710194605652,-1.4285761796648672e-4,-0.0010669347114942095,NA
msetwo,uniform,1,1850,2,-0.3765748717350814,0.2531544478198549,0.1368748483779452,393,409,175.67087115937528,157.11395316664215,-0.003884988511150829,-9.829267633390782e-4,NA
msesum,uniform,1,1850,2,-0.3667296237141332,0.2486359377783764,0.14022160979640583,393,379,156.39363275797206,156.39363275797206,-0.004080603225971029,-0.0010012980019673753,NA
cerrd,uniform,1,1850,2,-0.30362134926438866,0.2469679136562895,0.21892339340693298,361,365,143.54260431424112,143.54260431424112,-0.004720193607059005,-9.092743486832605e-4,NA
certwo,uniform,1,1850,2,-0.30839118711705726,0.2529844576495747,0.22283949176318205,335,370,146.0820165793793,130.6507046949107,-0.006152100656320346,-8.748797574320175e-4,NA
cersum,uniform,1,1850,2,-0.26717635324011935,0.24763083957045415,0.2806189132809531,333,341,130.05171035289285,130.05171035289285,-0.003221237002939893,-9.76570535841536e-4,NA
mserd,epanechnikov,1,1850,2,-0.2993072355018816,0.24860969038345343,0.22861885723798525,505,465,214.61323865029115,214.61323865029115,-0.001189220660940335,-0.001013360878931036,NA
msetwo,epanechnikov,1,1850,2,-0.2944276494346692,0.2456781833354633,0.2307503810717138,497,418,180.5982489501137,210.62412952294488,-7.83338152700791e-4,-0.0010205922678878246,NA
msesum,epanechnikov,1,1850,2,-0.30463436051836357,0.24562060010415623,0.2148778045686918,466,432,192.74348952395943,192.74348952395943,-0.0023305450511352382,-9.845523686627675e-4,NA
cerrd,epanechnikov,1,1850,2,-0.290119237206912,0.24296328630631445,0.23244404165749172,435,413,178.46518594550136,178.46518594550136,-0.0028722365545122905,-9.661005719307355e-4,NA
certwo,epanechnikov,1,1850,2,-0.2633512428203595,0.23858457983046683,0.2696770249770607,429,373,150.1794590259787,175.14797631460434,-0.0026906570285039552,-9.363303936654804e-4,NA
cersum,epanechnikov,1,1850,2,-0.2692055155001794,0.23783812830430223,0.2576825989835058,401,386,160.279034574047,160.279034574047,-0.003191788369826448,-9.355416626246009e-4,NA
mserd,triangular,2,1850,2,-0.2582871911240958,0.2326360084478305,0.2668856407839586,636,541,296.98434710166174,296.98434710166174,0.003942424611884009,-0.0010996261974693243,NA
msetwo,triangular,2,1850,2,-0.2137957618908351,0.22362130936801236,0.33904107976373943,569,498,241.50571763069107,251.22886563582634,0.002783666232448148,-0.0010607386591076975,NA
msesum,triangular,2,1850,2,-0.20676542293458128,0.2220862838933004,0.3518463609140211,546,497,239.9264198711676,239.9264198711676,0.0023078170844827925,-0.001053315028925336,NA
cerrd,triangular,2,1850,2,-0.22344056024009235,0.22217509545025413,0.31456192441999,547,498,240.53998232182514,240.53998232182514,0.00231960977595385,-0.0010536559623959547,NA
certwo,triangular,2,1850,2,-0.1386973942504352,0.21442981322912086,0.5177487411736881,485,438,195.60553145792738,203.48071367575358,0.0021096705274976438,-0.0010317972826014256,NA
cersum,triangular,2,1850,2,-0.12751548689362982,0.21344796987380268,0.5502351323524672,469,437,194.3263924768193,194.3263924768193,0.001877646550362995,-0.0010255855523785382,NA
mserd,uniform,2,1850,2,-0.30868321968425505,0.24451991148251961,0.2068030015070179,571,510,253.73222449699992,253.73222449699992,0.007881991300662923,-0.0012050168475441826,NA
msetwo,uniform,2,1850,2,-0.1319988953628247,0.22543637216041,0.5581939758334804,482,388,161.27249407587837,200.59348522232233,0.006982125225007879,-0.0012424026728360745,NA
msesum,uniform,2,1850,2,-0.09614943063168437,0.21813451019388355,0.6593719379006378,404,391,162.95493377106527,162.95493377106527,0.0015032131918326502,-0.001118114558938681,NA
cerrd,uniform,2,1850,2,-0.2779654724381997,0.2312766312633612,0.2294121775084037,488,455,205.50828819975956,205.50828819975956,0.0034493705607187494,-0.0011220538041263612,NA
certwo,uniform,2,1850,2,-0.08476525919179402,0.22134424578441153,0.7017518786750718,403,344,130.62130463303254,162.469011785102,0.0037137102416045786,-0.001175947772438173,NA
cersum,uniform,2,1850,2,-0.060770277989870315,0.21597335833789386,0.7784200414865415,337,346,131.9839825602947,131.9839825602947,-0.0020424060985424278,-9.832179321973872e-4,NA
mserd,epanechnikov,2,1850,2,-0.2848425214500956,0.23922682810790746,0.23377936073961433,630,540,293.9693001905302,293.9693001905302,0.004409561236373878,-0.001129106559559741,NA
msetwo,epanechnikov,2,1850,2,-0.18856077090423812,0.2230927659713429,0.39799226336185795,516,463,213.82142237643004,219.8874477786471,0.0012335075779744409,-0.001060720820988874,NA
msesum,epanechnikov,2,1850,2,-0.17668824188387708,0.22179003098277714,0.42565638966325986,500,462,213.0015119230383,213.0015119230383,7.913605237640439e-4,-0.0010516439472141904,NA
cerrd,epanechnikov,2,1850,2,-0.25298892969853026,0.22819407310598475,0.267578229207208,545,495,238.09797035122523,238.09797035122523,0.001617848618237501,-0.0010708413004197033,NA
certwo,epanechnikov,2,1850,2,-0.1046176724377343,0.2142568266831156,0.6253503718683314,435,405,173.18286859356905,178.09599501673895,-5.327935089372571e-4,-0.001015592015514584,NA
cersum,epanechnikov,2,1850,2,-0.09693532035606132,0.2138635669163895,0.650363148204662,423,404,172.51878899513548,172.51878899513548,-8.657241128582904e-4,-0.0010065615377518342,NA
mserd,triangular,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msetwo,triangular,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msesum,triangular,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerrd,triangular,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
certwo,triangular,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cersum,triangular,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mserd,uniform,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msetwo,uniform,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msesum,uniform,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerrd,uniform,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
certwo,uniform,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cersum,uniform,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mserd,epanechnikov,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msetwo,epanechnikov,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msesum,epanechnikov,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerrd,epanechnikov,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
certwo,epanechnikov,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cersum,epanechnikov,1,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mserd,triangular,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msetwo,triangular,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msesum,triangular,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerrd,triangular,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
certwo,triangular,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cersum,triangular,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mserd,uniform,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msetwo,uniform,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msesum,uniform,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerrd,uniform,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
certwo,uniform,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cersum,uniform,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mserd,epanechnikov,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msetwo,epanechnikov,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msesum,epanechnikov,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerrd,epanechnikov,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
certwo,epanechnikov,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cersum,epanechnikov,2,1850,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mserd,triangular,1,1850,4,-0.5361409490275022,0.23637107574620406,0.02331596918993978,475,441,196.90730226257725,196.90730226257725,0.01124263507603077,-4.1362583239759154e-4,0.02530712661928068
msetwo,triangular,1,1850,4,-0.5327545043640589,0.239715961964821,0.026253539054291397,461,490,233.84429121567027,190.10657971269146,0.01127685203849944,-4.153256459337029e-4,0.025635883311901426
msesum,triangular,1,1850,4,-0.5077441957918319,0.2375643713174254,0.03257432937715691,518,478,222.39840938914145,222.39840938914145,0.01073429430585327,-4.3725824290199013e-4,0.02376474294000734
cerrd,triangular,1,1850,4,-0.5180946236381012,0.23233340692920335,0.02574997862293905,406,391,163.74152188057582,163.74152188057582,0.013403908704666463,-4.268683237875616e-4,0.027315275122198536
certwo,triangular,1,1850,4,-0.5360622367030343,0.23565220720818456,0.022917778520996027,397,437,194.4570855766355,158.08626863496025,0.013624478777679052,-4.5836310995859013e-4,0.027492858853280504
