spec,bw_method,kernel,exclude_ohio_virginia,year,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_enslaved_coef
1,mserd,triangular,TRUE,1850,-0.10098277269988465,0.1311982087327918,0.44148007955018925,397,376,174.05953706485315,174.05953706485315,NA,NA,NA,NA
2,mserd,triangular,TRUE,1850,-0.06587152177861756,0.13496811062412592,0.6255126655606122,374,359,162.53246945414975,162.53246945414975,-0.04821676328012496,-0.01484012115190013,-0.0010112888803778474,NA
3,mserd,triangular,TRUE,1850,-0.0690131245043959,0.1800058916904598,0.7014278751819236,305,345,155.24320724439562,155.24320724439562,-0.05264189240452734,-0.03135495488106696,-6.88531745700805e-4,NA
4,mserd,triangular,TRUE,1850,-0.4666619855547909,0.17288807160557332,0.006950336773183114,249,312,130.85923926811887,130.85923926811887,-0.04261459396722388,-0.00265076547773788,-4.0057879052597266e-4,0.03307814201060904
1,msetwo,triangular,TRUE,1850,-0.1254647337547592,0.1236568558027511,0.3102869451618158,388,455,228.04051045092305,167.8579536388657,NA,NA,NA,NA
2,msetwo,triangular,TRUE,1850,-0.04645088256777541,0.13155026959716765,0.7240107239966276,469,341,149.25788393080208,212.04252024186383,-0.04905213745056816,-0.020227983701947408,-8.862506854258969e-4,NA
3,msetwo,triangular,TRUE,1850,-0.055033290421028766,0.16543253645602096,0.7393886520972441,363,342,152.08869413664343,185.54966599797245,-0.05321500208771765,-0.034174426632015045,-6.29908015761856e-4,NA
4,msetwo,triangular,TRUE,1850,-0.46968755478383256,0.1449914220787585,0.001197746762771285,380,359,162.1231936390506,193.07010674459914,-0.04264586482665743,-0.014426833962935693,-2.104944268412469e-4,0.025043310842721
1,msesum,triangular,TRUE,1850,-0.09673350476553289,0.13066841298179854,0.45911947294287886,401,378,175.7127114511268,175.7127114511268,NA,NA,NA,NA
2,msesum,triangular,TRUE,1850,-0.07581542693096405,0.13170243346616575,0.5648470494928879,394,372,172.60576690670638,172.60576690670638,-0.04911094620146475,-0.017100177129820385,-9.804493058821768e-4,NA
