point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,-0.6005024471881537,0.300126983223745,0.045410937620659605,61,105,161.01461189766158,161.01461189766158
2,-0.47603932929359605,0.14059235973834341,7.093115027439815e-4,42,119,175.80903792255208,175.80903792255208
3,0.12983699081874978,0.2614478130348413,0.6194657391062877,22,34,53.33169258769998,53.33169258769998
4,0.06790496270924296,0.24305160898626865,0.7799494161665281,33,47,94.66748548063735,94.66748548063735
5,0.16722199866009024,0.30196491389892416,0.5797297151447411,26,23,65.64667338892085,65.64667338892085
6,0.4579244620867149,0.2374568270868772,0.05379873608348644,32,17,58.66382496021778,58.66382496021778
7,0.26310933395811453,0.18972582590778483,0.16550668210290106,28,21,54.07881190331136,54.07881190331136
8,0.3443928441321731,0.19707365840432767,0.08054481797357495,29,22,56.69163567644203,56.69163567644203
9,0.35258138453503696,0.28305467543538215,0.21290027727713118,27,28,58.70315204623781,58.70315204623781
10,-0.022354168556656617,0.20682759084151336,0.9139313026988913,37,31,64.04859322607639,64.04859322607639
11,0.022475393963013346,0.24675411217615678,0.9274257093772187,48,54,85.30545996053559,85.30545996053559
12,-0.29902970658592753,0.21934440865654667,0.17279160962378867,53,52,89.97522904156138,89.97522904156138
13,-0.16850980049628417,0.3213214506835451,0.5999812434847018,33,28,64.43210899158315,64.43210899158315
14,-0.5091868054527469,0.1729521372095908,0.00323904898687099,26,17,45.884882861143424,45.884882861143424
15,0.15439209605584425,0.27906402603701347,0.5800924208568567,19,27,47.80484772789093,47.80484772789093
16,-0.051536695654772036,0.24429147646219332,0.8329153993314046,23,26,52.57371349680447,52.57371349680447
17,-0.14510991737746393,0.25017485651527627,0.5618917041985687,31,39,77.08478436893603,77.08478436893603
18,-0.25576268236867516,0.3873092891143567,0.5090242922206707,39,23,73.51598655840422,73.51598655840422
19,-0.3885077721541492,0.2878026396181304,0.17704473000235507,67,72,134.96238842559188,134.96238842559188
20,-0.48204766603122273,0.28410966420210404,0.0897541924422449,71,102,167.332733800656,167.332733800656
