bw_method,kernel,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_enslaved_coef
mserd,triangular,1860,1,-0.10387494585002521,0.11710522252635713,0.3750668852512589,289,298,98.54033486113411,98.54033486113411,NA,NA,NA
msetwo,triangular,1860,1,-0.12673840882922205,0.10809055524631093,0.2409880836722182,316,381,133.6189468556877,109.41904418449495,NA,NA,NA
msesum,triangular,1860,1,-0.2129230885815856,0.09680862752987342,0.027847883212768675,428,429,157.6479381363925,157.6479381363925,NA,NA,NA
cerrd,triangular,1860,1,-0.07841098991353679,0.13721111599355754,0.5676862594016931,213,213,67.45988418289826,67.45988418289826,NA,NA,NA
certwo,triangular,1860,1,-0.1152968292420038,0.12562784874796648,0.3587419653191266,235,278,91.47440682262959,74.90735705832067,NA,NA,NA
cersum,triangular,1860,1,-0.12504840475647017,0.11274055391295118,0.267356987334154,312,327,107.9244520869629,107.9244520869629,NA,NA,NA
mserd,uniform,1860,1,-0.3443331621306447,0.09673295713517462,3.7138312850005915e-4,370,381,133.5078186317589,133.5078186317589,NA,NA,NA
msetwo,uniform,1860,1,-0.3835168894169243,0.09342140330533351,4.0390266732154814e-5,396,392,138.51553010570046,145.67965557888084,NA,NA,NA
msesum,uniform,1860,1,-0.42215999069436716,0.0861448547128491,9.555279039591461e-7,457,448,171.14700386282823,171.14700386282823,NA,NA,NA
cerrd,uniform,1860,1,-0.16066371874929075,0.11491512438547066,0.16208073188048247,272,277,91.3983293754984,91.3983293754984,NA,NA,NA
certwo,uniform,1860,1,-0.1704394743899531,0.11020936614183297,0.12198234998173596,292,286,94.82656651848694,99.73106654249808,NA,NA,NA
cersum,uniform,1860,1,-0.2369317974945533,0.10578513971870272,0.025107445655549353,327,340,117.16579890972328,117.16579890972328,NA,NA,NA
mserd,epanechnikov,1860,1,-0.12740642481769804,0.1166691470603446,0.2748191008408069,279,286,94.9036582854534,94.9036582854534,NA,NA,NA
msetwo,epanechnikov,1860,1,-0.14391056197570684,0.10712654816587264,0.1791522837219727,317,371,127.80959625908332,110.23099607049225,NA,NA,NA
msesum,epanechnikov,1860,1,-0.23845304199744177,0.0966569615948512,0.013624910673582596,410,413,150.85572820695614,150.85572820695614,NA,NA,NA
cerrd,epanechnikov,1860,1,-0.1102459406358971,0.1375293362009064,0.4227741758556443,206,203,64.97024599614149,64.97024599614149,NA,NA,NA
certwo,epanechnikov,1860,1,-0.15537667752552675,0.12428888021826845,0.21125376772593718,236,272,87.49737428080743,75.46321248816727,NA,NA,NA
cersum,epanechnikov,1860,1,-0.1423384515177739,0.11253857561405928,0.20594411124453288,299,316,103.2745623151104,103.2745623151104,NA,NA,NA
mserd,triangular,1860,2,-0.09154516240979406,0.1109046988763313,0.4091218960566092,316,328,109.1748878805368,109.1748878805368,-0.03748782123334929,-8.736201605506308e-4,NA
msetwo,triangular,1860,2,-0.14746635474973888,0.10839661017948238,0.1736928564491987,418,296,97.42484105476025,153.2671952669328,-0.04290938969675586,-6.055986956685915e-4,NA
msesum,triangular,1860,2,-0.14621736900355864,0.0991994961456828,0.14048888790600034,391,398,143.57667123273689,143.57667123273689,-0.03834311755270677,-9.588058710770166e-4,NA
cerrd,triangular,1860,2,-0.06543361609316717,0.1310194034521828,0.6174840397940015,234,231,74.75169142866996,74.75169142866996,-0.030245929327590057,-7.381836477663552e-4,NA
certwo,triangular,1860,2,-0.09351760463294372,0.1283019535732278,0.4660708895722492,304,213,66.70647249925847,104.9415512042304,-0.037147317096127286,-7.172020509771543e-4,NA
cersum,triangular,1860,2,-0.08322499290758625,0.11615559367674082,0.4736852711711478,288,298,98.30648084648503,98.30648084648503,-0.03676907735570705,-7.94510526094335e-4,NA
mserd,uniform,1860,2,-0.12184955737998762,0.11547527264482077,0.2913336674287367,257,262,84.83640886893193,84.83640886893193,-0.045947419109140006,-7.237978933005811e-4,NA
msetwo,uniform,1860,2,-0.2465426782284249,0.10604011021303682,0.020072251672396055,385,262,84.56011306639935,141.5679901419757,-0.049283261678378654,-4.057725302557486e-4,NA
msesum,uniform,1860,2,-0.16406943057434167,0.10566429079199231,0.1204846746576387,319,330,111.27456808308166,111.27456808308166,-0.04145432197784797,-0.0010830111096291942,NA
cerrd,uniform,1860,2,-0.12833734507980904,0.13765495934933306,0.3511754031849664,190,188,58.087213834615184,58.087213834615184,-0.04074752676389532,-5.726571490148381e-4,NA
certwo,uniform,1860,2,-0.13895258471803978,0.1258310264154289,0.269472044356717,285,188,57.89803499527851,96.93114342237442,-0.048702490829222574,-6.396191430635442e-4,NA
cersum,uniform,1860,2,-0.08653898722818626,0.11805041826491532,0.4635169396238734,237,238,76.18933564930123,76.18933564930123,-0.04508430263500089,-6.985362125272987e-4,NA
mserd,epanechnikov,1860,2,-0.1005534002018749,0.11086095795690112,0.3643948180894546,299,316,102.8602205083298,102.8602205083298,-0.04159273592382334,-8.172634274841708e-4,NA
msetwo,epanechnikov,1860,2,-0.19404093074715603,0.10740782703408444,0.07082764699898907,438,273,89.46860502790402,163.00677207508775,-0.04618025664328036,-5.168459323433845e-4,NA
msesum,epanechnikov,1860,2,-0.14543855360579813,0.10097120552065003,0.1497553021397193,362,377,130.5397515197496,130.5397515197496,-0.04065685765808731,-9.774821968737647e-4,NA
cerrd,epanechnikov,1860,2,-0.09072614219706396,0.1318900926472912,0.4915207824402284,218,220,70.42805917178664,70.42805917178664,-0.03375409956386389,-6.798839800529882e-4,NA
certwo,epanechnikov,1860,2,-0.12830451803200485,0.12706388142537886,0.3126084287043924,320,194,61.258863511887554,111.6102078371155,-0.042773818427802465,-6.473783837239694e-4,NA
cersum,epanechnikov,1860,2,-0.10926375456120241,0.11779192330132132,0.35361524527294985,270,273,89.38014422746382,89.38014422746382,-0.03965521485687993,-7.258896281953284e-4,NA
mserd,triangular,1860,3,-0.22338494072005316,0.18221386987867538,0.22021780746590536,250,267,115.54923770826397,115.54923770826397,-0.05669453253425789,-6.412279416179128e-4,NA
msetwo,triangular,1860,3,-0.21041029977976472,0.19856958778864187,0.28931294274129543,520,213,94.1342077392017,240.28431303137577,-0.060228013654737414,-2.4291334811286924e-4,NA
msesum,triangular,1860,3,-0.2053519963065073,0.20170860754159498,0.308648191350963,225,244,103.25563447610814,103.25563447610814,-0.05854574372225781,-4.835347735735653e-4,NA
cerrd,triangular,1860,3,-0.26775653823600093,0.27316622635665344,0.3269892054997433,168,180,79.42464055815837,79.42464055815837,-0.057355424266298985,-2.0202252665880906e-4,NA
certwo,triangular,1860,3,-0.19746072182313842,0.33257493456892157,0.5526906911160525,370,129,64.70467276287698,165.16331542112914,-0.06995321370477961,-5.395721689347181e-5,NA
cersum,triangular,1860,3,-0.2796057212275316,0.3213979711863144,0.3843182814334899,147,151,70.97443320721227,70.97443320721227,-0.055964587751296986,-7.772439592634807e-5,NA
mserd,uniform,1860,3,-0.19121870164833663,0.17905639140371613,0.2855545840970922,218,228,99.71872502293662,99.71872502293662,-0.05850515107323921,-7.880837815044646e-4,NA
msetwo,uniform,1860,3,-0.12872651956238773,0.22548985590425516,0.5680843843847829,281,150,70.70123320231444,127.74203515624545,-0.0668597623440822,-6.969330715884091e-5,NA
msesum,uniform,1860,3,-0.32997158527569526,0.2129272320815414,0.12121550753599808,177,186,82.64613229901656,82.64613229901656,-0.05954588375020134,-5.198859475499923e-4,NA
cerrd,uniform,1860,3,-0.25353041964396367,0.2655976923822197,0.33979742212156155,142,145,68.54328119291552,68.54328119291552,-0.06312562649544666,-1.5372288383934526e-4,NA
certwo,uniform,1860,3,0.20079156557500075,0.39829074771818357,0.6141678197040126,191,87,48.59763807607315,87.80555742019234,-0.07132800830215694,-1.2173578221922861e-4,NA
cersum,uniform,1860,3,-0.4538288427179573,0.3492718596917775,0.19382143449833622,113,115,56.80815799014079,56.80815799014079,-0.0615049605856393,-9.61975250112798e-5,NA
mserd,epanechnikov,1860,3,-0.20889541031682549,0.18324250808996856,0.25428868589921216,238,255,108.2438082151122,108.2438082151122,-0.058192217662437276,-6.33174777231901e-4,NA
msetwo,epanechnikov,1860,3,-0.2241236773262602,0.20064926765282026,0.2639976380438292,489,200,87.81843766640935,223.20963447971602,-0.059752827441534,-2.362817432608605e-4,NA
msesum,epanechnikov,1860,3,-0.21114511102990802,0.20360141265048876,0.2997119466411869,214,224,97.7395639872028,97.7395639872028,-0.06018700937527495,-4.5061028465194454e-4,NA
cerrd,epanechnikov,1860,3,-0.2717729788265867,0.28567178925909176,0.3414282925305043,158,159,74.40313524038638,74.40313524038638,-0.05833044403413249,-1.2194931450841724e-4,NA
