spec,bw_method,kernel,exclude_ohio_virginia,year,coef,se,p_value,n_treat,n_control,bw_left,bw_right,enslaved_share_coef
1,mserd,triangular,TRUE,1860,0.07231230746732109,0.14057936979913047,0.606980913456208,249,259,96.80149127693163,96.80149127693163,NA
2,mserd,triangular,TRUE,1860,0.05012198309826453,0.1318123574779943,0.7037579653289837,270,288,106.24642327403858,106.24642327403858,NA
3,mserd,triangular,TRUE,1860,-0.17460872259929455,0.14683503698634684,0.23438107896392343,276,346,132.44062104265768,132.44062104265768,NA
4,mserd,triangular,TRUE,1860,-0.6857268169297975,0.15211871516048645,6.549095617705199e-6,179,241,90.89508870255689,90.89508870255689,0.04112671347619226
1,msetwo,triangular,TRUE,1860,0.04966097230092359,0.12766563725699506,0.697281712430725,267,358,138.2080859952607,104.52827601400087,NA
2,msetwo,triangular,TRUE,1860,-0.06971999065300885,0.12251366718703265,0.5693023326596285,504,266,99.56735764167134,212.1744089316499,NA
3,msetwo,triangular,TRUE,1860,-0.18247863948910634,0.12942954004226656,0.15857849714682765,510,267,99.69120933205092,244.4650186530476,NA
4,msetwo,triangular,TRUE,1860,-0.6029984140300989,0.13391631093367742,6.706387372916301e-6,256,276,101.64054951126543,124.0371252256803,0.036729623274615805
1,msesum,triangular,TRUE,1860,-0.039908267817656995,0.11291668247406794,0.7237652704246825,396,397,158.64467557592303,158.64467557592303,NA
2,msesum,triangular,TRUE,1860,0.009365217553470875,0.1204782185440757,0.9380398874247493,332,346,132.45065709624046,132.45065709624046,NA
3,msesum,triangular,TRUE,1860,-0.1103710179624556,0.16161895350895142,0.494664424591584,230,302,112.94474528710147,112.94474528710147,NA
4,msesum,triangular,TRUE,1860,-0.6858971135590602,0.10997938411431674,4.4719163615027506e-10,349,402,164.17722147515573,164.17722147515573,0.031121165689497993
1,cerrd,triangular,TRUE,1860,0.03893963349987839,0.16642613060515524,0.8150040158530076,176,179,66.3885912136897,66.3885912136897,NA
2,cerrd,triangular,TRUE,1860,0.029812017861468768,0.15625782368065055,0.8486921910295591,193,194,72.87773707600327,72.87773707600327,NA
3,cerrd,triangular,TRUE,1860,-0.15842941023954518,0.18765597111313986,0.39852716941885635,179,242,90.9825416949238,90.9825416949238,NA
4,cerrd,triangular,TRUE,1860,-0.8167373753618092,0.20093563324468802,4.810012548132896e-5,107,163,62.44206749136691,62.44206749136691,0.04260439650852789
1,certwo,triangular,TRUE,1860,0.02516950959573716,0.15064465136229674,0.8673081405937357,188,253,94.78614433032392,71.68779008489253,NA
2,certwo,triangular,TRUE,1860,-0.04141519937228627,0.14461170888106856,0.7745802163649602,359,183,68.29635754275014,145.53704785425498,NA
3,certwo,triangular,TRUE,1860,-0.21226017927271157,0.1572459829162713,0.17706065619902941,360,184,68.48472574550446,167.939779936454,NA
4,certwo,triangular,TRUE,1860,-0.7429202968880495,0.1665302931873782,8.151259690948787e-6,167,187,69.82386114623512,85.20960433981277,0.04146049130690364
1,cersum,triangular,TRUE,1860,0.05653327283021081,0.1334747231068299,0.6718937322221765,278,295,108.80200682970533,108.80200682970533,NA
2,cersum,triangular,TRUE,1860,0.03396395531923976,0.1410164469019744,0.8096705837171865,235,240,90.85203874116982,90.85203874116982,NA
3,cersum,triangular,TRUE,1860,-0.22204497965809888,0.21362009088408435,0.29860077494816595,149,215,77.58948815255457,77.58948815255457,NA
4,cersum,triangular,TRUE,1860,-0.646536033266489,0.13435443838387973,1.4930229670220209e-6,230,300,112.7845881469324,112.7845881469324,0.037930169520392236
1,mserd,uniform,TRUE,1860,-0.15070081781060374,0.11463337265397949,0.18863326443195952,314,335,126.21630296543363,126.21630296543363,NA
2,mserd,uniform,TRUE,1860,-0.005197792916204296,0.1382087196467507,0.9700000021320031,207,220,79.82813377353168,79.82813377353168,NA
3,mserd,uniform,TRUE,1860,-0.05598052763804903,0.16368881002315824,0.73235569845407,196,264,98.00262108552194,98.00262108552194,NA
4,mserd,uniform,TRUE,1860,-0.7426614885424027,0.1497597067379984,7.084941173110244e-7,151,220,79.81686165967238,79.81686165967238,0.04103036186253545
1,msetwo,uniform,TRUE,1860,-0.15431480245079232,0.11241313862429131,0.16983100232647277,315,349,134.8313255253798,126.58081794675154,NA
2,msetwo,uniform,TRUE,1860,-0.04455369445020463,0.12969742292193265,0.7312070901950972,372,196,73.7391455071034,149.8333367670957,NA
3,msetwo,uniform,TRUE,1860,-0.1883374965694941,0.1532225091611095,0.21900566459997758,270,196,73.81859292343405,130.47221239591013,NA
4,msetwo,uniform,TRUE,1860,-0.5113850388870042,0.14204442710084064,3.1800098508378427e-4,200,198,74.4719369083094,99.90835624885203,0.03584555667529985
1,msesum,uniform,TRUE,1860,-0.30866790184176285,0.09768839868600848,0.001579212976027285,427,426,174.98758372608086,174.98758372608086,NA
2,msesum,uniform,TRUE,1860,0.07411761319859116,0.12842435924915818,0.563851309728806,245,258,96.00092956202143,96.00092956202143,NA
3,msesum,uniform,TRUE,1860,-0.06547554837775695,0.1737268537335467,0.7062569169073115,180,243,91.17254402274109,91.17254402274109,NA
4,msesum,uniform,TRUE,1860,-0.6041438532309112,0.14589597611842253,3.45912624217928e-5,176,239,88.76712621414154,88.76712621414154,0.03841148508186828
1,cerrd,uniform,TRUE,1860,0.03804984781842702,0.13889316081788908,0.7841226788971846,226,237,86.56191585007355,86.56191585007355,NA
2,cerrd,uniform,TRUE,1860,-0.05562586636817006,0.16919436242304867,0.7423302736346657,143,151,54.756607941615464,54.756607941615464,NA
