point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef
1,-0.38267223097087066,0.10540452023595717,2.828610561677362e-4,16,19,102.18258090920665,102.18258090920665,0.08920939217474275,0.0826145923755644,0.0015279791757197867
2,-0.23652651389956514,0.13566948292941694,0.08126333425602389,28,35,119.65299772792301,119.65299772792301,0.09214435960954924,0.0315105833593175,-0.0021709990556263627
3,-0.4019139607303762,0.08506519195867633,2.303693658700284e-6,47,64,154.5058516437166,154.5058516437166,0.07874157663580814,0.06815478971947295,-0.003552643511552654
4,-0.673682963755094,0.07934281159188512,2.0524130979065485e-17,48,65,145.32759460410836,145.32759460410836,0.03263583158215991,-0.001070353040356492,-0.003351537205737773
5,-0.5572224501741277,0.06995304785527653,1.6433939190734414e-15,30,45,114.07132908073709,114.07132908073709,0.007893529199356875,-0.0622577948974391,-0.004496221310171789
6,-0.5458966026204213,0.07670706998177967,1.105898383671722e-12,25,52,116.47666605298059,116.47666605298059,0.06543435134021869,-0.12200926900036925,-0.0032134812520336186
7,-0.6313523338413529,0.13682040828122416,3.941182137671345e-6,39,56,133.17602584189697,133.17602584189697,0.06257072831678209,-0.11754369522770927,-0.0035476756897299755
8,-0.4804489533750868,0.13000535280498818,2.1936033347761354e-4,58,72,154.30472971856324,154.30472971856324,0.09611738784250479,-0.09603448184461759,-0.0029040401845956635
9,-0.3054064704372362,0.26384558986106615,0.24706009167495468,49,60,139.83258900107333,139.83258900107333,0.11033091810083931,-0.07879990737380382,-0.0010934555704681867
10,0.12230089220598697,0.505682112078063,0.8088938300349344,37,41,120.77217810917463,120.77217810917463,0.1056392070210703,-0.0876263979864852,3.235917214246004e-4
11,0.6094600558134166,0.8379409337485202,0.46702347632933816,26,34,105.68390314286839,105.68390314286839,0.12281363654016193,-0.06471109107530339,0.002656961604832601
12,0.05036494869006938,0.34837991160180154,0.8850511444392604,41,38,116.9669991672456,116.9669991672456,0.18644846384221672,0.006602131606929781,0.0011871561646645016
13,-0.7945112597619641,0.17132344686874243,3.526608072269475e-6,46,37,117.6654645293426,117.6654645293426,0.17732286674503667,0.04953875687441858,0.0012284856899204958
14,-0.6846022573814985,0.18151625058006166,1.6222000893763633e-4,52,37,120.72938426793007,120.72938426793007,0.1291459545027451,0.010195083960118409,0.0017494873591028812
15,-0.4920523055802995,0.22741678152365538,0.030490550268326203,56,25,116.47452297593848,116.47452297593848,0.027892537369506462,-0.071507157952303,0.002132899154715874
16,-0.4051015954759475,0.22184694091558257,0.06784409599662547,56,22,111.0394827260714,111.0394827260714,0.021294213221137285,-0.08389651783434636,0.0031628392888775024
17,-0.23276749168972988,0.25732185211170144,0.36568939561478775,63,33,120.98726123794043,120.98726123794043,0.07133778778591177,-0.10395509929681593,0.006933203411342452
18,-0.27408057493631266,0.22968387384002664,0.2327539337989329,56,38,116.68361641058027,116.68361641058027,0.0828840401704194,-0.09410793197413087,0.006266926444246226
19,-0.30966848414822595,0.20742058758263918,0.1354503791347065,47,44,110.95907760419341,110.95907760419341,0.12170119065103034,-0.06744426519938726,0.006376416347403252
20,-0.4184767818074257,0.26440183129793005,0.11348295592497981,32,48,105.24684605674395,105.24684605674395,0.15024043918052504,-0.021639101732404395,0.005066266433553797
21,-0.5765748230699439,0.22153968457463255,0.009252513931963434,19,28,79.27931620292823,79.27931620292823,0.14185163311640098,-0.02774252546371707,0.011491177731230602
22,-0.4541744816848102,0.21640199274977792,0.03583861872603111,26,29,84.54849134592443,84.54849134592443,0.13460588605025386,-0.09763892590138343,0.007121682140684708
23,-0.756640985182053,0.33024679259863493,0.021955431834311843,40,30,90.93695700731911,90.93695700731911,0.1946548023543649,-0.05895546795967646,0.005825305368132029
24,-0.5181764964129064,0.46430187999472383,0.26440775448682646,60,49,110.9309659351675,110.9309659351675,0.21916221042660541,-0.019587582546474816,0.006064211023548066
25,-0.5527847213419657,0.3257568188647784,0.08971093867387823,80,47,118.94644703032166,118.94644703032166,0.2627538510745634,-0.029781252308642175,0.004977800069697311
26,-0.041534993064523254,0.2399649672385461,0.8625824641665436,64,52,112.90883846183034,112.90883846183034,0.1785232549086943,-0.027565392579659034,0.003455690227234599
27,0.3745591717454194,0.1495212981407459,0.012243213053131901,113,131,173.01649982544566,173.01649982544566,0.09979849332764168,-0.071323078712676,8.87847314464508e-4
28,0.32333542461975195,0.19792051687737355,0.10232963226531566,72,96,139.58036397996366,139.58036397996366,0.06740690618873868,-0.10473326718851463,-2.1497691261213904e-4
29,0.4617127533065545,0.13041344509428754,3.995559257642167e-4,136,180,202.91960939951272,202.91960939951272,0.02256839770732722,-0.10656950558611962,3.9459413344833513e-4
30,-0.03259888041267883,0.13877808358903532,0.8142868608859797,256,227,262.9336422989883,262.9336422989883,0.02548282256248239,-0.11634391674110242,7.337125795126246e-4
31,-0.4485830539103556,0.20433852360718763,0.028142543425249102,108,75,151.3651707543985,151.3651707543985,0.06658997224960864,-0.13087595423649118,-0.0023555762074249477
32,-0.6297192738689468,0.20271690533416126,0.00189381995915349,80,48,128.8755443640322,128.8755443640322,0.03894613084392583,-0.140882126035133,-0.002878665377851898
33,-0.7082959394037255,0.19424722635238897,2.65977963095931e-4,114,42,142.72559185115003,142.72559185115003,0.031230261030417872,-0.1586388324061388,-5.276341028652987e-4
34,-0.8985989346751088,0.1552427915050108,7.108302975280805e-9,113,63,154.8123429629838,154.8123429629838,-0.0203859526505821,-0.16141960775818381,-0.0013079050976569093
35,-0.8108826939988891,0.15277573052100324,1.1103729550955652e-7,109,64,158.32268377834316,158.32268377834316,-0.0318236840443335,-0.160799644962985,-0.0011827154957301865
36,-0.7769266209302632,0.16384786285142336,2.1187349151266186e-6,108,87,169.32942073926765,169.32942073926765,-0.007385348356144808,-0.14238260969507868,-6.892873186363211e-4
37,-0.7755860993571828,0.18588167635247838,3.0131256978490282e-5,126,103,189.48392408556958,189.48392408556958,0.03027720058085255,-0.13452081961979295,-6.764563881082506e-5
38,-0.5725651988674629,0.1846214767059718,0.0019267786737327828,91,104,183.82669954204283,183.82669954204283,0.041959220931626615,-0.1177305688601518,-7.995578571147726e-5
39,-0.22767207632826364,0.13443012711640934,0.09033960222032016,74,111,188.86584624461267,188.86584624461267,0.03946259694546689,-0.07908508943734804,-3.315347501919798e-4
40,0.10616878853714605,0.15960532582480552,0.505925281954293,55,108,183.7263616931737,183.7263616931737,0.05277985110641989,-0.03855542024234688,-2.5391453556808646e-4
41,-0.4228723335879179,0.13827558840845863,0.002226820385356956,86,107,188.40736402672354,188.40736402672354,0.04676421416336106,-0.09321782593918315,-3.561191033189114e-4
42,-0.5773737833624124,0.16284033074838372,3.9165546403952347e-4,90,87,171.8183312597372,171.8183312597372,0.09268611090078069,-0.09288182563585434,-1.598457567495424e-4
43,-0.8777469266860021,0.2795214469470493,0.0016884556328550563,71,51,143.10528762654513,143.10528762654513,0.13054093658717889,-0.03856286524067751,-3.749605713706415e-4
