bw_method,kernel,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_black_coef
mserd,triangular,1870,1,-0.268403330288697,0.11779091032813924,0.02268834764852995,304,304,100.37665293741033,100.37665293741033,NA,NA,NA
msetwo,triangular,1870,1,-0.3452917828447708,0.10599138007614407,0.001123053985114445,471,304,100.70535302511541,168.2204726932616,NA,NA,NA
msesum,triangular,1870,1,-0.4050197396179702,0.09292169231678828,1.3082471711723033e-5,487,465,177.1713951245994,177.1713951245994,NA,NA,NA
cerrd,triangular,1870,1,-0.2576796991868022,0.13856415127577157,0.06293620952175594,225,217,68.40242065137747,68.40242065137747,NA,NA,NA
certwo,triangular,1870,1,-0.2953789356910459,0.12461737400331922,0.01777428432596949,336,218,68.626415783805,114.63509888612255,NA,NA,NA
cersum,triangular,1870,1,-0.2931777335016106,0.10971829584842048,0.007537925620798561,349,355,120.73477190219727,120.73477190219727,NA,NA,NA
mserd,uniform,1870,1,-0.30994592522664277,0.12709061347565084,0.014736975843655013,234,225,71.75513843254862,71.75513843254862,NA,NA,NA
msetwo,uniform,1870,1,-0.2981381736851052,0.11055591415924383,0.007002644965827223,334,271,86.79788560253618,113.68629951882141,NA,NA,NA
msesum,uniform,1870,1,-0.3341757555420406,0.10220047379722474,0.0010762114230692833,352,355,121.24005157388011,121.24005157388011,NA,NA,NA
cerrd,uniform,1870,1,-0.1923348548310555,0.15005273485642912,0.19991922319149555,171,161,48.8980755915574,48.8980755915574,NA,NA,NA
certwo,uniform,1870,1,-0.34087234089596397,0.12971802816701156,0.008594037685526239,251,190,59.14906812380904,77.4723788293069,NA,NA,NA
cersum,uniform,1870,1,-0.32750302798979636,0.11768405900855557,0.005387532382287368,261,258,82.61993964594936,82.61993964594936,NA,NA,NA
mserd,epanechnikov,1870,1,-0.2897057653660404,0.11853918371739813,0.014526785061259612,286,285,93.50604871415949,93.50604871415949,NA,NA,NA
msetwo,epanechnikov,1870,1,-0.36100557241563713,0.10670847759582225,7.167223163884189e-4,449,283,92.69547146596072,159.03529917476178,NA,NA,NA
msesum,epanechnikov,1870,1,-0.5112722481309087,0.08755971778923448,5.247528913463746e-9,523,493,191.4553451995344,191.4553451995344,NA,NA,NA
cerrd,epanechnikov,1870,1,-0.2705632356260921,0.14049939466058603,0.054138686027701353,212,197,63.72039603255519,63.72039603255519,NA,NA,NA
certwo,epanechnikov,1870,1,-0.3117213796672704,0.1260134910133426,0.013371656686382544,322,196,63.16802210615718,108.37579371522703,NA,NA,NA
cersum,epanechnikov,1870,1,-0.3503827180938215,0.10415661608730484,7.682191315768441e-4,376,377,130.4686764805679,130.4686764805679,NA,NA,NA
mserd,triangular,1870,2,-0.19954691742046757,0.12283453610122008,0.10426529760426366,281,273,89.79912495421186,89.79912495421186,-0.05477669433398191,3.51663064747155e-5,NA
msetwo,triangular,1870,2,-0.27141640893187213,0.11078932165209618,0.01429186420546619,473,261,84.32160149670426,169.6808938397994,-0.06560515659606482,2.569155256081023e-4,NA
msesum,triangular,1870,2,-0.22652604786059566,0.1028194496059968,0.027584604675296297,393,393,138.9277104046737,138.9277104046737,-0.05935267071335486,-1.82177452794776e-4,NA
cerrd,triangular,1870,2,-0.17066493924684406,0.14395095593545762,0.2357893985887536,205,194,61.20572438651793,61.20572438651793,-0.04163737615340482,3.202695852306593e-5,NA
certwo,triangular,1870,2,-0.2392088613803768,0.1310636596773491,0.06798067246107965,338,187,57.472327304621615,115.65192898385432,-0.06040974213957697,1.1846502449860182e-4,NA
