point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_black_coef
1,-0.04523385616460114,0.054336808770078536,0.40514273947853313,16,21,105.43334357059258,105.43334357059258,0.012819013682969005,-0.04381144505057387,0.05701665852747497,6.315010894158983e-4
2,0.10312875509794552,0.07245395071599466,0.15462902331404746,23,30,109.76748766083632,109.76748766083632,0.04242323544529992,-0.05599776520282272,0.051064130997051774,1.7131691927411017e-4
3,-0.25400241344896124,0.07099809244069819,3.467703344708007e-4,34,38,114.89261700230766,114.89261700230766,0.0671674517802277,-0.0013203258621241089,0.0025869290652954565,-0.0010013508008189951
4,-0.41208275506144865,0.07968659931174372,2.3247967872816924e-7,20,20,82.69085030316563,82.69085030316563,0.06185711626726022,-0.030013052775586642,-0.01599318681672189,-0.0020281418502978723
5,-0.3345356396467568,0.1115176918497302,0.002701182236169252,16,24,81.88153609293587,81.88153609293587,0.001021544475063807,0.011560258688687819,-0.0045629121790470364,-0.004208828438031531
6,-0.5386371773010071,0.0642003225985853,4.863695464715972e-17,17,40,99.45227727960287,99.45227727960287,0.05140483347442648,-0.11461447423535057,0.007093044720905446,-0.001214040327726592
7,-0.655314678384733,0.08861828742364344,1.4161926705244753e-13,37,49,124.09377892997247,124.09377892997247,0.03694421259196479,-0.1126899848825833,0.004706124163712283,-0.0015524704579521365
8,-0.5199189177390714,0.09818766938801582,1.1891557263663172e-7,109,173,229.0897894224259,229.0897894224259,0.11432003335399835,-0.06608631002484454,4.14161721323871e-4,-8.272706822635538e-4
9,-0.058945334101339,0.22975747101770508,0.797522632653748,60,74,155.27711257680997,155.27711257680997,0.11419235356820412,-0.08917494911002168,-0.010910726446124102,-0.0018473763603399519
10,0.3970295618058639,0.403441655389434,0.32506314355751176,53,62,143.58944688493207,143.58944688493207,0.09046991028489841,-0.12412584766316453,-0.012192374998432029,-5.686362077013361e-4
11,0.6508687096957612,0.4535928379696205,0.1513103515139516,51,66,143.37133586035654,143.37133586035654,0.0944739117444016,-0.1158037626168456,0.0017968736463263805,0.001238963395091767
12,0.3910808087872836,0.30019278393505805,0.192654825040363,61,49,135.0760709866904,135.0760709866904,0.13139126537880788,-0.09991885281069951,0.007620989667389071,0.001160019661775623
13,-0.3304477558577659,0.15643945345818133,0.03466034323813219,50,39,121.12797087885349,121.12797087885349,0.1567551414830195,-0.039434333426028575,0.00965409838752703,0.00259600985293038
14,-0.7209691371908937,0.19426582790271263,2.0623794165280059e-4,41,29,102.86932446959814,102.86932446959814,0.12693088620938223,-0.04902534155311855,0.006353164289928362,0.0039052289024249726
15,0.07641636369535655,0.17684892631069862,0.6656689704319314,59,24,114.5297998729911,114.5297998729911,0.0383889870726325,-0.046560139857814986,0.017065219795206435,0.002845781144300389
16,0.1187907168394241,0.1651548066680935,0.47197525145084857,58,24,111.94315899829192,111.94315899829192,0.03630654510974845,-0.054464624590005506,0.015236713056591958,0.0033012120638550814
17,-0.16489413015734644,0.1172836252502756,0.15974095451731415,64,32,117.28914020202,117.28914020202,0.05192976344505769,-0.07982274714178621,0.012814167905790687,0.003506931787476901
18,-0.2946887838980904,0.1107681516538661,0.007804540324056199,45,32,104.11943638843822,104.11943638843822,0.06444072459361297,-0.07697907110055288,0.010234277537469558,0.002539807108946704
19,-0.3072769869269783,0.14497006151134867,0.03404069810485703,30,33,91.32865368091534,91.32865368091534,0.10822841973497943,-0.05855650732727889,0.008750606152928223,0.0027245046821587175
20,-0.7598637658114773,0.32434488607345585,0.01914144811361041,13,27,70.73974168676493,70.73974168676493,0.08026677270515233,-0.13270602197508896,0.013431058438333587,0.015082334315107183
21,-0.5898929523094885,0.2739393159994143,0.03128954045700135,18,24,73.05569828189351,73.05569828189351,0.1042700519919311,-0.04900715075045409,-0.0016272944240436809,0.006501986200000653
22,-0.5108242132063098,0.14237307933051385,3.333175969834356e-4,51,50,110.97147571582147,110.97147571582147,0.12465743564306503,-0.03825972548519241,0.019319894760146127,0.004624309526664561
23,-0.5176285018047814,0.16404366931306602,0.001602610936207213,73,53,121.58871499037076,121.58871499037076,0.1607616065325853,-0.0023053931590911294,0.023491025816644032,0.0034510196773705026
24,-0.42774759285990216,0.22294327364682542,0.05503007423962455,97,82,142.93444671913738,142.93444671913738,0.17607253096993572,0.03609566341909477,0.02301631645288034,0.002128443595435279
25,-0.5005008051898877,0.14198148566681598,4.2330190786384986e-4,140,107,173.80301062089165,173.80301062089165,0.18137138065744488,0.020299002350165272,0.02480411233152785,3.9298645816690975e-4
26,-0.1552994177596185,0.12243813595638504,0.20465838885926665,125,122,172.44107531172398,172.44107531172398,0.15125255497692347,0.0066863038988334705,0.02124929261703615,1.8320325083137504e-4
27,-0.05735752710311208,0.13159929951299723,0.6629457162172117,66,63,119.37801883510849,119.37801883510849,0.14109315211672724,-0.0015932106436693377,0.014805194540891766,5.605677227742785e-4
28,0.028078856523269566,0.22776632945308734,0.9018859915656562,54,65,114.32332693979994,114.32332693979994,0.100873865205093,-0.03201330125130954,0.01602906898660423,1.1869671084791585e-4
29,0.014000026891991237,0.1636416919391036,0.9318218143335807,64,84,128.51466153872897,128.51466153872897,0.08678955656301024,-0.03396611524880028,0.021930646202064117,-0.0014373796750500132
30,-0.23638945385982824,0.1616272459117198,0.14358796924278103,130,121,178.55722458516863,178.55722458516863,0.06091227881712815,-0.06806370792755019,0.01615819638033233,-5.874643617552189e-4
31,-0.38700873325386315,0.13644502624415958,0.004562938875940133,126,92,165.18909326731668,165.18909326731668,0.04475230337341608,-0.09295673908323807,0.014113445324503102,-0.001004268434675746
32,-0.5224086661659583,0.14105286946194967,2.1253008205167012e-4,112,68,151.0962467424163,151.0962467424163,-0.007396530866477222,-0.11799336853856371,0.012746024427467416,-0.0015481052397091624
33,-0.2979685326044339,0.11322153874578168,0.008495131727938693,160,68,171.71232889793217,171.71232889793217,-0.028912646711691886,-0.12241006284495286,0.014807492567506731,-8.635536265528343e-4
34,-0.32420107111870144,0.10612593714848984,0.0022515717892359973,127,70,162.93825326686542,162.93825326686542,-0.05438359854000481,-0.13513865874799322,0.012346975526249325,-0.0011725771579346482
35,-0.10295226307173636,0.12338740467616162,0.404065603810355,89,50,138.7700793131117,138.7700793131117,-0.0611927573297819,-0.1292061306167357,0.009534425780376695,-0.001157296606003509
36,-0.03671408057433862,0.13225862451830048,0.7813247353041743,55,52,126.81493198677536,126.81493198677536,0.028788389941292215,-0.09048395727819225,-0.022946244182245088,1.569818376563714e-4
37,0.24758034923455935,0.15557521547309147,0.11152254601999957,52,51,125.33376053271442,125.33376053271442,0.11098823890608307,-0.06281107612318322,-0.0017131308192918498,8.900086772286224e-4
38,0.4685033263405022,0.1735944081449634,0.006958186896149339,43,58,126.59816461635914,126.59816461635914,0.07231448487089788,-0.08732971000919734,0.03957787510254345,5.843522639010685e-4
39,0.24165739371101969,0.1068271903755571,0.023689140411567916,55,90,161.5670260331649,161.5670260331649,0.03664862417459352,-0.06198161515226001,0.024644599399777183,-1.608364487765317e-4
40,0.38657804472559737,0.128247307486615,0.0025755850171704413,38,81,153.78632635136717,153.78632635136717,0.05559736297428426,-0.023205092751413768,0.025909352952995547,1.2513742757386866e-5
41,0.17779263886564198,0.11280476968643595,0.11500063191095855,56,78,152.86389561372354,152.86389561372354,0.04554480749220291,-0.07506798235430642,0.02339381531783993,-2.224497354746599e-4
42,-0.12752718379592273,0.15215491546316487,0.40195184768641273,72,69,151.99747092544484,151.99747092544484,0.08869007183567215,-0.06624562211580698,6.990989921578413e-4,-3.0063766846046567e-4
43,-0.82488309655048,0.23820627224421795,5.34398664057542e-4,81,64,154.85566044123752,154.85566044123752,0.08906448301592462,-0.04255920897341489,-0.01973795816587202,-6.469890609741616e-4
44,-0.7015003376425649,0.2374417009092892,0.0031326664757451604,106,66,172.52460436531697,172.52460436531697,0.08233240467545043,-0.08433486055316249,-0.029126445375503462,-5.818031290930458e-4
45,-0.2820430134889502,0.211081544671532,0.18149033021223826,135,108,205.67077952518497,205.67077952518497,0.07919122006234049,-0.06987382856478677,-0.026274929244150983,-0.001057934490987583
