point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef
1,-0.16046024712743862,0.1272786179456569,0.20741668923957723,24,38,144.24807500090915,144.24807500090915,0.03230292430330483,-0.03172381732444848,-1.0784214778688204e-4
2,-0.09309800182113294,0.12339259510082172,0.45055736941071683,22,28,102.77166678874556,102.77166678874556,0.0705033598911352,-0.05511652956434292,9.40536675458316e-4
3,-0.27284877626874743,0.061448400138817146,8.983732798680869e-6,35,38,116.87944106715551,116.87944106715551,0.06768022704832552,-0.0011529273805033283,-6.340794341075505e-4
4,-0.1706457057147193,0.03325049000310502,2.864875342800269e-7,23,27,92.1741175352043,92.1741175352043,0.06337889748225976,-0.0875722225631069,-0.0013287750202374716
5,-0.10838886987619256,0.07156537864808851,0.12988808225800055,20,29,91.83042692855612,91.83042692855612,0.040120366764111765,-0.06519474185825014,-0.0016590568803017298
6,-0.21092088503110049,0.0625605902967983,7.476934567189162e-4,19,42,102.70579241099794,102.70579241099794,0.08062392524104411,-0.12109622653203572,-5.073449901084586e-4
7,-0.4461250774111341,0.08541458057159368,1.7599480623386304e-7,44,68,140.80260668966787,140.80260668966787,0.05734655333474849,-0.14755892261998135,-0.001999627184096248
8,-0.705751823247941,0.1320139768799915,8.990001747010552e-8,45,48,130.06535167956554,130.06535167956554,0.08618824076611833,-0.1767066371794178,-0.004355382526077362
9,-0.4029849477614589,0.23188035723601327,0.08222837875638417,47,56,136.2061690673783,136.2061690673783,0.12019345232561852,-0.1494730226775885,-0.002647781622399678
10,0.472175976036238,0.5665559689500679,0.4046109834093069,43,47,127.55048641830382,127.55048641830382,0.09862410418040163,-0.16539295220326355,-1.957503935516346e-4
11,1.41068032344527,0.8062845496233381,0.0801863156193966,27,37,108.43494888046429,108.43494888046429,0.0860879367235825,-0.17796544967682054,0.0035920104266883228
12,0.8826850603969054,0.41755861657731236,0.03452219285082675,38,34,112.20242467563176,112.20242467563176,0.15212191110235113,-0.12458624274024807,5.20126863812774e-4
13,0.10502604763210005,0.2193822022188107,0.632126809553945,68,50,140.75780876361588,140.75780876361588,0.1499253019585799,-0.03532851916558932,5.417798502007354e-4
14,-0.30292352070771944,0.13064534906994024,0.020412907642855062,73,48,138.03412699944806,138.03412699944806,0.14068483588952668,-0.021013153292214037,9.820766909554388e-4
15,-0.2766621256646602,0.13901191332096266,0.04656842055979692,113,46,162.0787044055507,162.0787044055507,0.11447699723688068,-0.029209250910933654,9.267789096850769e-4
16,-0.21753313487522666,0.14266739476212031,0.1273196732073103,90,35,140.69204102874733,140.69204102874733,0.09379676042716024,-0.048470314713675855,0.0016468612775177886
17,-0.18532281763030972,0.11826400545893168,0.11710852310572462,86,42,137.92418278752663,137.92418278752663,0.09744178869094453,-0.05518293105911465,0.0021202139859341634
18,-0.23289704964322727,0.10042887541645558,0.02039369332992992,76,48,134.3428851889963,134.3428851889963,0.09814209198145941,-0.05375495683270308,0.0012185863549795586
19,-0.2045033304039129,0.15206500535163878,0.1786764241589324,53,48,117.88547744822154,117.88547744822154,0.1095584059651735,-0.04657233365004988,5.730096067191482e-4
20,-0.2290611063284647,0.20766630725923668,0.2700163551269926,31,48,100.65943054355205,100.65943054355205,0.12127471322427213,-0.018498988458349797,0.0015170425451644836
21,-0.5281584328663662,0.21855428678465316,0.01566619409245401,14,23,68.54128330153782,68.54128330153782,0.13343794189972236,-0.011248509172936794,0.0032060411356585883
22,-0.20224128486967646,0.19012407840481121,0.28744960249599016,23,23,75.37028931560339,75.37028931560339,0.1267656570860034,-0.06310423840151508,0.001898617456402539
23,-0.5686427924788748,0.23590305652110202,0.015930953692684838,35,23,85.25282197712397,85.25282197712397,0.17376212596940893,-0.07227023452709536,0.003948626589398641
24,-0.35811502320591765,0.3925006855109496,0.36156167837815034,51,44,104.64696946905339,104.64696946905339,0.20793365692236684,-0.01737218164303752,0.0036620914669206195
25,-0.3736735148511338,0.29764424237228704,0.20932026210279442,73,42,112.21340153276954,112.21340153276954,0.23887329104285746,-0.03399043166371222,0.0038304852765425027
26,0.04947657745133469,0.23384935648118335,0.8324389490274977,58,47,105.37942509091961,105.37942509091961,0.17204364586498475,-0.022951657279282833,0.0020026515079431774
27,0.46344058210326633,0.1343213490746544,5.600931630536907e-4,85,89,141.09791331769472,141.09791331769472,0.11500168002649482,-0.05295491578226447,0.0010661337921244979
28,0.2693733293898363,0.2175080382341719,0.21554839985789698,44,56,104.32354606206796,104.32354606206796,0.10103022389417504,-0.07144458963528551,-0.00110947640512215
29,0.6003040718971004,0.12580988941605253,1.8284321448718782e-6,103,139,172.07123224136026,172.07123224136026,0.06382593682055042,-0.07638319896874286,-1.0756844041055584e-5
30,0.41373729707189877,0.14942914993160264,0.005626562623958075,157,139,194.03091098892122,194.03091098892122,0.05737421526836366,-0.08377458250027289,0.0011951940317858922
31,-0.06641846277682988,0.15577004491379245,0.669825214798025,133,94,167.56797628654004,167.56797628654004,0.059285284879764845,-0.09670932214539345,2.062221203970602e-4
32,-0.627697908969799,0.20296251035178087,0.0019835851630242056,70,36,115.171874393135,115.171874393135,0.033044309102861304,-0.10056298249538877,-0.0028970511467294336
33,-0.4106999241235034,0.2415043510959744,0.08901997236457868,83,29,121.43181931302557,121.43181931302557,0.012701357426174106,-0.10976539456113701,2.1686374664821274e-4
34,-0.36735757910521716,0.12163414040321001,0.0025262051722993143,141,78,169.56625222043434,169.56625222043434,-0.016379907724272946,-0.11000959290875431,-5.038589892780274e-4
35,-0.08300238051193978,0.1415626305199836,0.5576539485072488,95,52,141.87682151077465,141.87682151077465,-0.033686750141952555,-0.10387571314634908,-5.230948957347302e-4
36,0.13774489020281966,0.11970118348675887,0.2498393860787987,90,73,153.02356884223346,153.02356884223346,0.014970287448585941,-0.07637546945095407,2.3956082509957123e-4
37,0.20237027989844789,0.13326763646485423,0.12888202222831857,70,69,145.93315129578826,145.93315129578826,0.06915568071093271,-0.05421422942859858,8.244624655577132e-4
38,0.2401631338887834,0.17048872325659933,0.15893140911509812,55,73,144.65935658440588,144.65935658440588,0.04425963791300266,-0.07466970091989977,4.8756799005431734e-4
39,0.22656747993639667,0.15284459381002377,0.13825015504610072,45,77,149.1723492829086,149.1723492829086,0.018305260006199083,-0.05547526937396868,-7.174226535968384e-5
40,0.3059115976819286,0.16339918459173655,0.06118262573473193,39,82,154.39676672177336,154.39676672177336,0.03778640880950291,-0.01858865940649866,7.590858717513031e-5
41,0.07459799464526962,0.14660842298448032,0.6108750672091199,56,78,152.42108871885475,152.42108871885475,0.024756282205284412,-0.07410008506055363,-1.9491750317228787e-4
42,-0.26213190989726726,0.15368036750295455,0.0880647896281533,81,82,164.24107804237107,164.24107804237107,0.054172907170529264,-0.06613604470845479,-2.938808616044573e-4
43,-0.5988011250231882,0.24411096182978118,0.014167528263855918,97,77,167.9109083184047,167.9109083184047,0.047113750557481404,-0.02960805317609077,-7.53268279809103e-4
44,-0.39785326936239546,0.23490069875741476,0.0903207214768835,114,76,176.81365987922166,176.81365987922166,0.06061905548994004,-0.027862754145145788,-3.3159360420153845e-4
45,0.19324078520631344,0.24222230544510284,0.42499655353692656,102,69,167.8470366332144,167.8470366332144,0.06715447692179498,-0.05086986037385274,-2.5147837538366455e-4
46,0.9104461125655001,0.32720582535271225,0.005394394651474592,57,44,131.24463881670127,131.24463881670127,0.029169034406080818,-0.09193723445650498,-8.611172359408101e-4
47,0.742819411855699,0.4137509480950561,0.07260116791510002,64,70,151.663210272023,151.663210272023,0.08839527534701966,-0.020644362175581854,-0.0018632333541030322
48,0.2657438522058777,0.3212071204716348,0.40805081131443777,49,71,154.72883964580095,154.72883964580095,0.1230234905166597,-0.020612069347102302,-0.003209634092774652
49,0.04904978588779485,0.28201676225653294,0.8619243477385529,48,62,147.1529511239082,147.1529511239082,0.1383473377590603,0.022526918550287295,-0.004404698127168124
50,-0.8979911464754563,0.2518612246207868,0.00036327341876257253,40,34,130.25310019757686,130.25310019757686,0.2529651551732137,0.2049985171870296,-0.012539575668336394
