point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef
1,-0.4081939022738658,0.18239956728803877,0.02522689380479128,12,19,112.51331380144258,112.51331380144258,-0.004986443537807107,0.14843970841349,1.6727619101715885e-4
2,-0.17609883456078979,0.2701499916500786,0.5144942112304024,13,15,88.57667939385657,88.57667939385657,0.0546758168749948,0.08912801732477248,0.001176511686614384
3,-0.20480614119839968,0.14125835011798776,0.1470949777335862,19,18,95.71955794313139,95.71955794313139,0.06988077302958484,-0.022078694877384945,-7.173930420856447e-4
4,-0.46358490282932463,0.08120029505555723,1.1353983343792113e-8,26,31,116.67846905410765,116.67846905410765,0.0505644149510983,-0.013906482021498495,-0.0017524067246327789
5,-0.43570171421880577,0.06943687072674726,3.501087041718985e-10,15,30,104.51378634634251,104.51378634634251,0.022878867557490093,-0.10736565322489938,-0.0010394246041558353
6,-0.5941569526393252,0.09832596718784069,1.5153116203529602e-9,16,47,122.41398834298137,122.41398834298137,0.013453752316862688,-0.1318879553248789,-0.0011126461976861844
7,-0.471968275598123,0.0796056629247189,3.051046447637999e-9,24,39,123.26085271407618,123.26085271407618,0.04477549067297476,-0.11066226123409797,-8.764499860224734e-4
8,-0.5976847305539058,0.10050705948552688,2.736121630297017e-9,23,27,114.30495960086766,114.30495960086766,0.07084617583577156,-0.10425545572787571,5.674581650086067e-4
9,-0.40277123830944384,0.16799564222011493,0.01650692875090326,32,37,132.4437165642829,132.4437165642829,0.12251280348575759,-0.09818817955444531,0.005635133951159911
10,-0.24748275950120055,0.27934241999520026,0.3756457394699713,25,30,119.270074646077,119.270074646077,0.12574939423546772,-0.08060171840993437,0.005659279101192268
11,-0.08337634797939858,0.17724717214481844,0.6380721730624976,40,53,149.3707862536616,149.3707862536616,0.12878251426508708,-0.06182201170937737,0.0035503801131188386
12,0.4391142641173667,0.29000007585136217,0.12997848848553076,21,17,103.65223409854691,103.65223409854691,0.11478090773612928,-0.017256422670994927,9.306570885560016e-4
13,-0.3331153264108111,0.247179640795812,0.17776618558127422,16,14,93.49281957784628,93.49281957784628,0.07872578305540971,-0.07090994294563886,0.002213451078816887
14,-0.3338287214721277,0.24145738193704278,0.16680057907291,25,15,99.1692385787493,99.1692385787493,0.04166026951554722,-0.14894631186133955,0.002087493495273837
15,0.1575384260471979,0.24325435401243026,0.5172253294491355,45,12,111.59072506258384,111.59072506258384,0.03365550749539789,-0.13951744607748034,0.0018159669715639409
16,0.26653730313418356,0.184876479160085,0.14938567547982912,55,13,118.18275608157163,118.18275608157163,0.05624187791788454,-0.09821254864483142,0.001959992961179052
17,0.15757197727149408,0.2086313425822186,0.4500899189966072,52,17,117.4947821717529,117.4947821717529,0.09192988506394592,-0.09677001756154702,0.002815257132182742
18,0.009756159996395238,0.1467942295819656,0.9470104339103804,57,27,129.15584243231484,129.15584243231484,0.08685441632496005,-0.09715167798140471,0.002255492847346602
19,-0.031404709018893355,0.11704268085938674,0.7884542168413897,87,55,163.55233023838238,163.55233023838238,0.08879407009198409,-0.07068468641472467,0.0022233841030791226
20,-0.1490072197703689,0.29145485904497387,0.6091737939641015,11,22,82.06682635028216,82.06682635028216,0.11371824491768787,-0.01802009812083029,0.011612781922810128
21,-0.6030191798048297,0.4466288611177206,0.1769655585091953,6,12,63.376660334808214,63.376660334808214,0.06797132563594886,-0.15233110864851895,0.012164813321845012
22,-0.8535768994209773,0.2852197218800999,0.002765219339805802,7,8,59.19948054244902,59.19948054244902,0.051858443935658555,-0.07448956198701806,-0.005656356101428332
23,-1.495840753836546,0.31714390896419353,2.3981929057824507e-6,8,5,58.618389149821724,58.618389149821724,-0.10887375666385679,-0.27716240637710937,0.0018596173710794927
24,-0.8084855644558147,1.2941216131850417,0.5321437305026604,15,16,77.33728679714297,77.33728679714297,0.18227210420121062,-0.008664809818215487,0.004157158072724493
25,-0.2457413177370078,0.5343455931970738,0.6455936699320334,34,16,89.29746176694663,89.29746176694663,0.24557137726606534,-0.021427666474470676,0.005802765742828071
26,0.21632038004780166,0.2448881124833103,0.37705058038443917,20,15,77.16608072673692,77.16608072673692,0.13389710468802923,-0.0736811036482869,0.0017566059561443899
27,0.6860783169385117,0.1575965364406642,1.3405174294722036e-5,32,30,97.32217555996574,97.32217555996574,0.08013933229079653,-0.10505045579546289,0.0022637393117578113
28,0.5614328073329112,0.24168801396737039,0.020181030525908188,17,24,78.3341646944493,78.3341646944493,0.107314175406175,-0.0967233015280443,5.577949503249996e-6
29,0.39741579418825895,0.1777252707624531,0.02534363102068514,24,34,94.21489762582887,94.21489762582887,0.10034307191110275,-0.11059830852047266,-0.0013983955990388647
30,0.6347635514324159,0.14578533614841138,1.3361630038031308e-5,109,104,180.53877539656415,180.53877539656415,0.06487219309963796,-0.0937166725876811,0.0018084042717470576
31,0.10150660076459689,0.18198016328479297,0.5769882217814556,116,81,173.93255612538505,173.93255612538505,0.06318242029528945,-0.09997462448719714,0.0010749372779506037
32,-0.6192733868198814,0.2454234516453158,0.011626403354546908,67,34,129.6762863326265,129.6762863326265,0.027861839614442066,-0.10994973920662884,-5.449966953055899e-4
33,-0.052039984413815195,0.1995030119735925,0.7942096388567939,103,28,144.91383386023696,144.91383386023696,0.028364491340139533,-0.10002825635399074,4.0744021265885777e-4
34,-0.05116512066670452,0.21472074870530586,0.8116586565666767,68,31,131.35861302370287,131.35861302370287,-0.010326512969705402,-0.09798701750614681,6.147103510000776e-5
35,0.3277560586966403,0.29086916713548283,0.2598202446292957,47,24,117.78282133424707,117.78282133424707,-0.010431261078305451,-0.0775652690191043,2.715762044750768e-4
36,0.28324987330604107,0.1884300268837177,0.13278493712436823,54,44,139.80168880080555,139.80168880080555,0.0361063232797916,-0.06298907579143205,8.263597429479287e-4
37,0.25406548117533573,0.21917197924293272,0.24637221183960886,37,36,126.64868199935127,126.64868199935127,0.050208938182186795,-0.07256953063574484,5.907988605675462e-4
38,0.16943533170741434,0.2605939385393326,0.5155700974714152,28,43,127.5802509702135,127.5802509702135,8.073463868743455e-4,-0.08791389874951619,1.327678832711176e-4
39,0.7259040559187316,0.421513185158264,0.08504444454383486,22,52,130.31829727467627,130.31829727467627,0.016874649788858043,-0.04824609885168045,2.1885038666810455e-4
40,1.2682395776315907,0.5873881432495353,0.03084111064581633,17,55,137.39658583501236,137.39658583501236,0.044669614661991534,-0.010993128338494591,5.141462507076552e-4
41,0.16367321471467128,0.39127814452015536,0.6757248621961217,29,48,132.20416034351953,132.20416034351953,0.004384466557487333,-0.06424530367075001,-6.67554512743754e-5
42,-0.9172532109857007,0.419394033561436,0.028735830232663174,45,43,141.786229316784,141.786229316784,0.01833889985420624,-0.0780783940668649,-4.0910766348012167e-4
43,-1.4929774480110578,0.4286585460547594,4.960023780133193e-4,56,36,143.2031970342117,143.2031970342117,0.04778694077655092,-0.029079890666918747,-3.7696855114989535e-4
44,-1.3126167343486934,0.3058905217906702,1.777642673963052e-5,61,34,145.2621893974516,145.2621893974516,0.05824105901061624,-0.05647121654138032,-7.599779575371505e-5
45,-0.08983497930641857,0.2652343783678483,0.7348354698091648,83,50,169.63072538977636,169.63072538977636,0.04898732546429996,-0.0613568913291051,-1.626887180574462e-4
46,0.6704503752519984,0.5237528847791312,0.20051379070427597,68,54,161.19789282548842,161.19789282548842,0.0400955432006769,-0.10435061706676746,4.112752453758568e-4
47,1.1927372047622526,0.6516635736325532,0.06720569548280714,65,67,170.04499259705017,170.04499259705017,0.10710094503673079,-0.04072497288421595,-0.0013330579586665848
48,0.6513176406023651,0.6410443070926022,0.30961703714934835,62,74,188.8804142023254,188.8804142023254,0.13000589583387656,-0.05205402414476723,-0.0023846769381774754
49,0.40900310715419164,0.5511166127916691,0.4580053483318688,66,68,187.3375385176187,187.3375385176187,0.14490783536951557,-0.0627104973804532,-0.002471105394580387
50,0.11594283937776878,0.4202233933025077,0.7826190154938792,65,49,176.2604639011773,176.2604639011773,0.1745540803715199,-0.040951906424163576,-0.003981454498184373
