bw_method,kernel,p_order,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_black_coef
mserd,triangular,1,1890,1,-0.03101738643187346,0.1601189028589387,0.8463992750683467,381,371,126.97129999309652,126.97129999309652,NA,NA,NA
msetwo,triangular,1,1890,1,-0.1334766112066772,0.16230249246321202,0.4108526397200131,644,356,121.26366595489094,233.92805922635424,NA,NA,NA
msesum,triangular,1,1890,1,-0.1227293415263393,0.16219974392269254,0.4492562328399807,567,515,199.1137844909611,199.1137844909611,NA,NA,NA
cerrd,triangular,1,1890,1,-0.032605923341368914,0.16210390171629102,0.8405874436707614,331,321,105.58508322002467,105.58508322002467,NA,NA,NA
certwo,triangular,1,1890,1,-0.12618654609440139,0.1658265026311618,0.446683802471495,556,305,100.83880579397525,194.52674425052263,NA,NA,NA
cersum,triangular,1,1890,1,-0.09081383707774382,0.1631023548262945,0.5776705946966574,481,441,165.5763586485705,165.5763586485705,NA,NA,NA
mserd,uniform,1,1890,1,0.021637701822336375,0.15811050776713387,0.8911479671173783,305,296,97.27852518494272,97.27852518494272,NA,NA,NA
msetwo,uniform,1,1890,1,-0.129999489981949,0.1777800071655835,0.4646338168649123,471,273,90.02738137783723,160.60890079889072,NA,NA,NA
msesum,uniform,1,1890,1,-0.14574847754146614,0.17438302533686562,0.4032701853639555,440,409,149.1711121321665,149.1711121321665,NA,NA,NA
cerrd,uniform,1,1890,1,-0.07538037069736436,0.17009525194583053,0.6576459319435981,263,253,80.89356553592734,80.89356553592734,NA,NA,NA
certwo,uniform,1,1890,1,-0.10470540358817093,0.17849350937667893,0.5574682014353404,400,231,74.86375704885012,133.55698616655553,NA,NA,NA
cersum,uniform,1,1890,1,-0.08358620212644663,0.1675577128668448,0.617884904533597,375,360,124.04570394533867,124.04570394533867,NA,NA,NA
mserd,epanechnikov,1,1890,1,-0.022946127769694513,0.16041129228907275,0.8862541766588912,353,340,116.19720814992824,116.19720814992824,NA,NA,NA
msetwo,epanechnikov,1,1890,1,-0.13184347932398932,0.16604266970026407,0.42717579897974156,588,330,111.04503927000485,207.12780019720216,NA,NA,NA
