point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef
1,-0.27322988457810715,0.18579362355047305,0.14139672891671506,51,78,125.18150122933856,125.18150122933856,0.11541317787005874,-0.0019010289545047772
2,-0.2883404364923573,0.06684491295255313,1.6063679506448215e-5,43,111,166.399476295255,166.399476295255,-0.06590579604926958,2.429867311708764e-5
3,-0.12187355369861932,0.046078093006723726,0.008170664853636501,19,25,42.73795474997224,42.73795474997224,-0.11034184052643452,-1.8214647544154302e-4
4,0.31612352137960154,0.2568328736738103,0.2183778366586522,39,55,116.63097653354276,116.63097653354276,-0.15029647045716438,-0.0039739400618677475
5,0.3311020983321294,0.4233244791197552,0.43412801168692444,27,23,65.58744806642133,65.58744806642133,-0.2682988849541107,0.0043809817043767955
6,0.7653114967238864,0.808373848244144,0.3437765537667418,19,13,31.218829038333986,31.218829038333986,-0.4522663824690496,0.01736010657432949
7,-0.30888736948604784,0.12899632850999115,0.016641051945235203,33,22,63.73807617785469,63.73807617785469,-0.18969690013336654,4.5689496746242203e-4
8,-0.20147449405083648,0.14502029115047438,0.1647461476184747,27,18,50.3531063063195,50.3531063063195,-0.2851693337272956,0.0026198759829140633
9,-0.12549912285191767,0.17917458567708547,0.4836592671020846,27,28,57.016587416073754,57.016587416073754,-0.27947931805826554,0.0064591022486568065
10,0.13868054828770865,0.1976265206882038,0.482847276469661,36,30,62.29314835415756,62.29314835415756,-0.11542546264885176,0.004621881169212676
11,0.42691887253894456,0.16002040838406195,0.007632636882279612,56,67,103.37893386280334,103.37893386280334,-0.10161384711165022,0.006271447990680608
12,0.3886930390479634,0.12792888443472847,0.0023787556507021304,70,74,121.81802139167527,121.81802139167527,-0.1425945213818434,0.0013324913233547717
13,0.12190824772617895,0.1625122829257036,0.4531656333705956,63,44,108.84250013732127,108.84250013732127,-0.12614586760569152,0.0019627730436070434
14,-0.18105191159158365,0.14797464602727367,0.221128322942089,30,18,47.3907964043309,47.3907964043309,-0.10371601102229795,0.007160288046788605
15,0.08213372785622032,0.13010580592950616,0.5278547749824438,30,50,92.90486119440394,92.90486119440394,-0.05115815394655797,0.004000407306610229
16,0.015360603218022396,0.16180719923372605,0.9243692209766754,27,35,73.53283978325152,73.53283978325152,-0.04430381341065053,4.182382565998881e-4
17,-0.2025606770120571,0.19334507397010112,0.29479343118588114,44,52,108.95915070766284,108.95915070766284,-0.02971260564266727,-0.0011446691603340686
18,-0.18105820533276515,0.3025137899965173,0.5494981959292098,51,30,93.82242876794155,93.82242876794155,-0.05826603092463037,-0.0016159996339984396
19,-0.023795019538350642,0.2745368875380787,0.93093119563174,81,77,140.7321832478435,140.7321832478435,-0.0819975071817875,-9.068413738147468e-4
20,-0.003939157158359963,0.22714829318919882,0.9861639499631518,79,102,164.1868142477802,164.1868142477802,-0.031158565297643298,-0.0015988499956364455
