spec,bw_method,kernel,exclude_ohio_virginia,year,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_black_coef
1,mserd,triangular,TRUE,1900,0.07926388439618215,0.11567673693739189,0.4932058102824418,298,292,107.06085471890846,107.06085471890846,NA,NA,NA,NA
2,mserd,triangular,TRUE,1900,0.04552351442526788,0.0980681743345846,0.6425025042067891,367,351,133.6415300290456,133.6415300290456,0.021609718808722863,-0.0560018497062837,1.4570668247046014e-5,NA
3,mserd,triangular,TRUE,1900,-0.07523890114175942,0.1158427152574362,0.5160205031371574,289,339,127.43820064215876,127.43820064215876,0.015525218686230535,-0.06215743455910316,8.921678051847107e-5,NA
4,mserd,triangular,TRUE,1900,-0.16312230134065797,0.13417158609616656,0.22407109555633692,202,253,94.62739732550887,94.62739732550887,0.031220421994349164,-0.047822639213138035,0.019090807832568522,5.22740536018878e-4
1,msetwo,triangular,TRUE,1900,0.01884440376452101,0.10137025338264852,0.8525257068141061,446,327,123.36223335171682,160.29619630575465,NA,NA,NA,NA
2,msetwo,triangular,TRUE,1900,0.0037062964240362536,0.09497188256515497,0.9688702996323493,549,260,96.70050526480267,201.29241326254967,0.021671025918216628,-0.06802168955222468,5.821905068239032e-4,NA
3,msetwo,triangular,TRUE,1900,-0.109041144199713,0.10614176412655381,0.30427163907995886,436,260,96.66466776511989,179.9958691096843,0.016990699553434283,-0.07196532848589218,6.415552856443654e-4,NA
4,msetwo,triangular,TRUE,1900,-0.14597319897478817,0.10551240716162234,0.1665209478494908,374,259,96.37884786978854,156.69469425992455,0.029439513317111345,-0.05599762254198814,0.01423630090874883,9.053201427998811e-4
1,msesum,triangular,TRUE,1900,-0.01314168051700193,0.09238755424431609,0.8868863783074817,477,421,172.1375098582764,172.1375098582764,NA,NA,NA,NA
2,msesum,triangular,TRUE,1900,0.09026856535694691,0.10406851904210561,0.3857253453211404,317,309,116.72373412289188,116.72373412289188,0.02432966077839465,-0.05559937166742318,-1.2963087785717014e-5,NA
3,msesum,triangular,TRUE,1900,-0.10408781915745932,0.12952761973118204,0.4216305924375095,232,285,104.25572376094057,104.25572376094057,0.018705237346952085,-0.06368967956050132,1.1280855719350362e-4,NA
4,msesum,triangular,TRUE,1900,-0.10666123139002238,0.12051244852155482,0.37612210700563364,251,301,111.75427420385995,111.75427420385995,0.028600721460548692,-0.04658863599299516,0.017449600991398365,4.5167940536410445e-4
1,cerrd,triangular,TRUE,1900,0.02954653034452548,0.1419151742341169,0.835073958069714,207,193,72.30210729219083,72.30210729219083,NA,NA,NA,NA
2,cerrd,triangular,TRUE,1900,0.01646348935835168,0.11683439151413752,0.8879386400126976,251,241,90.28475629700385,90.28475629700385,0.02993316563603244,-0.05472004902199483,-3.5323452877129326e-5,NA
3,cerrd,triangular,TRUE,1900,-0.21170643695905841,0.14883593980673646,0.15490588201690195,185,235,86.19304605949769,86.19304605949769,0.02122897817890568,-0.06436584325338775,8.514017673436807e-5,NA
4,cerrd,triangular,TRUE,1900,-0.23071618027765708,0.1735796636593661,0.18379322277564583,122,166,64.00397219469096,64.00397219469096,0.03197976336701542,-0.04931735879614133,0.016625583508475338,2.193662665402028e-4
1,certwo,triangular,TRUE,1900,0.051243529388960596,0.12004954931020399,0.6694862844061917,300,226,83.31102395005284,108.25387873334287,NA,NA,NA,NA
