polynomial,kernel,bw_method,coef,se,p_value,n_treat,n_control,bw_left,bw_right,year,include_geology,exclude_border,include_enslaved,include_pc_black,version
1,triangular,mserd,-0.36356490807773234,0.1806746184702962,0.0441921865481878,353,371,127.20886880043692,127.20886880043692,1860,TRUE,FALSE,TRUE,FALSE,population_controls
2,triangular,mserd,-0.17579295143894785,0.1913144821036708,0.35816408378085757,457,449,172.86389890629988,172.86389890629988,1860,TRUE,FALSE,TRUE,FALSE,population_controls
1,epanechnikov,mserd,-0.3774221564925013,0.1794399989345925,0.0354366292210278,330,346,118.81849229322776,118.81849229322776,1860,TRUE,FALSE,TRUE,FALSE,population_controls
2,epanechnikov,mserd,-0.16604216245952122,0.18978955630673397,0.3816418532548663,440,434,163.83425852950097,163.83425852950097,1860,TRUE,FALSE,TRUE,FALSE,population_controls
1,triangular,msetwo,-0.4105112202338807,0.18033850429121662,0.02282584375634261,440,381,134.00588313355027,164.27991682694474,1860,TRUE,FALSE,TRUE,FALSE,population_controls
2,triangular,msetwo,-0.2194587766864094,0.1942542947253679,0.2585816098648115,417,576,239.97270253434678,152.66596921850078,1860,TRUE,FALSE,TRUE,FALSE,population_controls
1,epanechnikov,msetwo,-0.44285458063594996,0.1816552471875083,0.014773477922001623,441,365,125.8720794896231,164.4277021178749,1860,TRUE,FALSE,TRUE,FALSE,population_controls
2,epanechnikov,msetwo,-0.2325943388409873,0.1945286666655343,0.2318208515843808,402,557,228.9205592466579,148.45985735342407,1860,TRUE,FALSE,TRUE,FALSE,population_controls
1,triangular,cerrd,-0.3390003881190392,0.18606451505206384,0.068462454451765,305,320,105.78263748854741,105.78263748854741,1860,TRUE,FALSE,TRUE,FALSE,population_controls
2,triangular,cerrd,-0.19192952289335485,0.2130839599937066,0.36773586820114174,382,394,140.00966580494398,140.00966580494398,1860,TRUE,FALSE,TRUE,FALSE,population_controls
1,epanechnikov,cerrd,-0.36698900398753687,0.18909574425491232,0.0522876853649749,288,298,98.80548121930244,98.80548121930244,1860,TRUE,FALSE,TRUE,FALSE,population_controls
2,epanechnikov,cerrd,-0.21029968874011992,0.21503212855623288,0.32807831007300603,367,379,132.69618427702983,132.69618427702983,1860,TRUE,FALSE,TRUE,FALSE,population_controls
1,triangular,certwo,-0.3813617177724785,0.18198805548176036,0.03612376403290681,374,330,111.4348071052127,136.60968022296987,1860,TRUE,FALSE,TRUE,FALSE,population_controls
2,triangular,certwo,-0.17936720140036116,0.20537426342845408,0.38246281448961716,346,497,194.36387873187473,123.65052197310571,1860,TRUE,FALSE,TRUE,FALSE,population_controls
1,epanechnikov,certwo,-0.4175640125699889,0.1831944978631469,0.022646386727019793,374,320,104.67100824132706,136.7325735243884,1860,TRUE,FALSE,TRUE,FALSE,population_controls
2,epanechnikov,certwo,-0.19636169953315535,0.2042427659442491,0.33634442930370856,335,474,185.41228792588208,120.2438169277289,1860,TRUE,FALSE,TRUE,FALSE,population_controls
1,triangular,mserd,-0.5759817951036901,0.18264820547374785,0.0016132317329045202,461,459,174.5992271220403,174.5992271220403,1860,FALSE,FALSE,TRUE,FALSE,population_controls
2,triangular,mserd,-0.22497055260366844,0.19662318117934888,0.25255270464677176,434,432,161.0987703077558,161.0987703077558,1860,FALSE,FALSE,TRUE,FALSE,population_controls
1,epanechnikov,mserd,-0.6104506493507551,0.1842156879446427,9.204320614985562e-4,444,438,165.31060153532098,165.31060153532098,1860,FALSE,FALSE,TRUE,FALSE,population_controls
2,epanechnikov,mserd,-0.23373861948564517,0.19628089006943322,0.2337174341209943,417,417,153.17660491279477,153.17660491279477,1860,FALSE,FALSE,TRUE,FALSE,population_controls
1,triangular,msetwo,-0.5776210944137155,0.18227136621972093,0.001529553437779305,451,506,198.86872899752896,167.47311439846945,1860,FALSE,FALSE,TRUE,FALSE,population_controls
2,triangular,msetwo,-0.3323123780654809,0.19818307270133986,0.09358258304926272,390,685,331.437215334361,143.94270361667034,1860,FALSE,FALSE,TRUE,FALSE,population_controls
1,epanechnikov,msetwo,-0.6457984650325996,0.18481101618651155,4.751781674719057e-4,471,478,186.19082478148152,178.59509743164693,1860,FALSE,FALSE,TRUE,FALSE,population_controls
2,epanechnikov,msetwo,-0.36106682414603963,0.19932520445293356,0.0700718564963263,377,674,315.9647520490095,137.42084742551654,1860,FALSE,FALSE,TRUE,FALSE,population_controls
1,triangular,cerrd,-0.5163273531400977,0.1805746010827663,0.004244999921703117,393,402,145.19087326691098,145.19087326691098,1860,FALSE,FALSE,TRUE,FALSE,population_controls
2,triangular,cerrd,-0.2689208676915209,0.22019799050743472,0.22198437916027167,361,376,130.48059852336416,130.48059852336416,1860,FALSE,FALSE,TRUE,FALSE,population_controls
1,epanechnikov,cerrd,-0.5397594393893045,0.17979801779501361,0.0026818380447821955,377,390,137.4667631284251,137.4667631284251,1860,FALSE,FALSE,TRUE,FALSE,population_controls
2,epanechnikov,cerrd,-0.30214850010901534,0.2243517645503574,0.17805679784688158,348,358,124.06410707305149,124.06410707305149,1860,FALSE,FALSE,TRUE,FALSE,population_controls
1,triangular,certwo,-0.5217787571178512,0.18094397430194284,0.003930976909734407,379,438,165.3725787024806,139.2650364439879,1860,FALSE,FALSE,TRUE,FALSE,population_controls
2,triangular,certwo,-0.33639054691984216,0.20686715481097423,0.10392440868001648,325,615,268.444794129273,116.58518612584436,1860,FALSE,FALSE,TRUE,FALSE,population_controls
1,epanechnikov,certwo,-0.5823715125395632,0.18187697458138669,0.0013647324721493203,402,421,154.83005789833314,148.51370527067232,1860,FALSE,FALSE,TRUE,FALSE,population_controls
2,epanechnikov,certwo,-0.37989542770206475,0.20850567575557594,0.06845637816477376,318,600,255.91300219661764,111.3028633763945,1860,FALSE,FALSE,TRUE,FALSE,population_controls
1,triangular,mserd,-0.6480975640136946,0.2339617458240561,0.005603898763303256,274,286,124.72560580697126,124.72560580697126,1860,TRUE,TRUE,TRUE,FALSE,population_controls
2,triangular,mserd,-0.3927703422770611,0.28175103868846885,0.16330753619473246,422,413,189.75616565745497,189.75616565745497,1860,TRUE,TRUE,TRUE,FALSE,population_controls
1,epanechnikov,mserd,-0.6543407352662389,0.23315646516230137,0.0050091503334845884,263,282,121.18079437191541,121.18079437191541,1860,TRUE,TRUE,TRUE,FALSE,population_controls
2,epanechnikov,mserd,-0.3671013799720112,0.28313230568923126,0.19477854023265684,406,399,183.00229992789647,183.00229992789647,1860,TRUE,TRUE,TRUE,FALSE,population_controls
1,triangular,msetwo,-0.6003416812914111,0.24190024552779782,0.0130730248726598,343,267,115.69272259045685,153.146454055391,1860,TRUE,TRUE,TRUE,FALSE,population_controls
2,triangular,msetwo,-0.627426121333804,0.25930583706271776,0.015535986894617358,375,517,250.33671663749223,167.19960957558723,1860,TRUE,TRUE,TRUE,FALSE,population_controls
1,epanechnikov,msetwo,-0.5671000912897158,0.24666744102562865,0.021502258844413077,310,247,104.22043584993845,141.01233921253026,1860,TRUE,TRUE,TRUE,FALSE,population_controls
2,epanechnikov,msetwo,-0.4608751268258936,0.27767840538310895,0.09696592052817311,385,444,203.66784670385778,174.04342662245634,1860,TRUE,TRUE,TRUE,FALSE,population_controls
1,triangular,cerrd,-0.649109239766585,0.25389945370412376,0.010571277568612822,227,246,103.98398146365514,103.98398146365514,1860,TRUE,TRUE,TRUE,FALSE,population_controls
2,triangular,cerrd,-0.350931314737634,0.3234940409348929,0.27800342706763637,345,347,154.14255299746713,154.14255299746713,1860,TRUE,TRUE,TRUE,FALSE,population_controls
1,epanechnikov,cerrd,-0.656506547941144,0.25139689409430793,0.009016323099973798,222,234,101.0286652383288,101.0286652383288,1860,TRUE,TRUE,TRUE,FALSE,population_controls
2,epanechnikov,cerrd,-0.34416107846080785,0.32354001525088744,0.28744842771693496,328,334,148.65625903411024,148.65625903411024,1860,TRUE,TRUE,TRUE,FALSE,population_controls
1,triangular,certwo,-0.6007407963230378,0.2711892330903643,0.026745730907086596,280,219,96.45324906213814,127.67849822566434,1860,TRUE,TRUE,TRUE,FALSE,population_controls
2,triangular,certwo,-0.5357525791218868,0.30527383330300606,0.07926098777631668,299,444,203.3532901437533,135.8194322216915,1860,TRUE,TRUE,TRUE,FALSE,population_controls
1,epanechnikov,certwo,-0.5893615599323405,0.27559172312238966,0.032473636567600765,253,199,86.88878117237684,117.56226295276764,1860,TRUE,TRUE,TRUE,FALSE,population_controls
2,epanechnikov,certwo,-0.34954808248535607,0.3106892169665767,0.2605580564320148,310,365,165.4432768793462,141.3787953559378,1860,TRUE,TRUE,TRUE,FALSE,population_controls
