polynomial,kernel,bw_method,coef,se,p_value,n_treat,n_control,bw_left,bw_right,year,include_geology,exclude_border,include_enslaved,include_pc_black,version
1,triangular,mserd,-0.03181015518149115,0.17585723663032368,0.8564568656914785,346,337,113.94722495981081,113.94722495981081,1880,TRUE,FALSE,FALSE,FALSE,standard
2,triangular,mserd,0.01151058886842305,0.18940369524909523,0.9515401696377038,565,517,200.00865667064238,200.00865667064238,1880,TRUE,FALSE,FALSE,FALSE,standard
1,epanechnikov,mserd,-0.032690287476650357,0.17695860796925236,0.8534376060996097,325,319,104.53650556273502,104.53650556273502,1880,TRUE,FALSE,FALSE,FALSE,standard
2,epanechnikov,mserd,0.018866269785689293,0.1906263013996098,0.9211621532393752,536,489,189.15946874421667,189.15946874421667,1880,TRUE,FALSE,FALSE,FALSE,standard
1,triangular,msetwo,-0.09826074806140557,0.17184042680608094,0.5674480458380888,512,341,116.58778804927579,178.26608481131143,1880,TRUE,FALSE,FALSE,FALSE,standard
2,triangular,msetwo,0.0056493969630819554,0.18911599724711367,0.9761686141680045,581,546,215.54336243307918,207.4338539548312,1880,TRUE,FALSE,FALSE,FALSE,standard
1,epanechnikov,msetwo,-0.08054658407629371,0.17505169265429085,0.6454227119934739,448,324,106.91021613454865,153.67937062474945,1880,TRUE,FALSE,FALSE,FALSE,standard
2,epanechnikov,msetwo,0.010975253106285493,0.1913269552493941,0.9542553493227547,551,528,204.43556327294885,195.8580192131188,1880,TRUE,FALSE,FALSE,FALSE,standard
1,triangular,cerrd,-0.047815183144962706,0.18073761318208514,0.7913516766145119,296,286,94.75469835093942,94.75469835093942,1880,TRUE,FALSE,FALSE,FALSE,standard
2,triangular,cerrd,0.020624930839254853,0.18970224376269487,0.9134224754658451,467,436,161.99533480227356,161.99533480227356,1880,TRUE,FALSE,FALSE,FALSE,standard
1,epanechnikov,cerrd,-0.06502524092092844,0.18210531498967142,0.7210357188576276,280,271,86.92905908636095,86.92905908636095,1880,TRUE,FALSE,FALSE,FALSE,standard
2,epanechnikov,cerrd,0.0188497585739764,0.19049874827583316,0.9211783552258672,448,418,153.20812598976573,153.20812598976573,1880,TRUE,FALSE,FALSE,FALSE,standard
1,triangular,certwo,-0.08790165335137978,0.17724961720299331,0.6199507625366912,431,294,96.95050223389599,148.24010938797718,1880,TRUE,FALSE,FALSE,FALSE,standard
2,triangular,certwo,0.023722895825049967,0.18901332921063688,0.9001205087347821,485,462,174.5775395074669,168.00931109733887,1880,TRUE,FALSE,FALSE,FALSE,standard
1,epanechnikov,certwo,-0.07417019002556925,0.17947754538559413,0.6794189915780959,378,272,88.90295734745476,127.79462081192689,1880,TRUE,FALSE,FALSE,FALSE,standard
2,epanechnikov,certwo,0.02949324561353102,0.1891478023825216,0.8760905783890909,463,440,165.58087069415225,158.63356078825367,1880,TRUE,FALSE,FALSE,FALSE,standard
1,triangular,mserd,-0.10717426731908297,0.16971304260803236,0.527711797008931,366,357,121.85704262588325,121.85704262588325,1880,FALSE,FALSE,FALSE,FALSE,standard
2,triangular,mserd,-0.009774531259646224,0.1795428808505741,0.9565836485546206,525,477,183.94974038427475,183.94974038427475,1880,FALSE,FALSE,FALSE,FALSE,standard
1,epanechnikov,mserd,-0.09701362318035933,0.17026299397377484,0.5688222430095622,337,328,108.93436788893017,108.93436788893017,1880,FALSE,FALSE,FALSE,FALSE,standard
2,epanechnikov,mserd,-3.5926635309024846e-4,0.17917476794435103,0.9984001492645735,487,447,169.10609757030414,169.10609757030414,1880,FALSE,FALSE,FALSE,FALSE,standard
1,triangular,msetwo,-0.19926337243219816,0.17435272646866343,0.253090493278146,556,357,122.1276599665592,197.09712650426482,1880,FALSE,FALSE,FALSE,FALSE,standard
2,triangular,msetwo,-0.017966339870607584,0.18061406125983973,0.9207622085653504,521,544,214.7043207750327,182.3429814860963,1880,FALSE,FALSE,FALSE,FALSE,standard
1,epanechnikov,msetwo,-0.17756044926825343,0.1770619362447827,0.315949902062745,485,333,111.91480120276579,168.0208202774667,1880,FALSE,FALSE,FALSE,FALSE,standard
2,epanechnikov,msetwo,-0.0111373345714334,0.18218492260598146,0.9512540587704578,491,525,202.76060434681762,170.30744837556273,1880,FALSE,FALSE,FALSE,FALSE,standard
1,triangular,cerrd,-0.10686686731533879,0.1712767066080228,0.5326651530313724,316,308,101.33223797267195,101.33223797267195,1880,FALSE,FALSE,FALSE,FALSE,standard
2,triangular,cerrd,-0.02641719552770816,0.18123767247423977,0.8841108871098124,434,409,148.98855017766758,148.98855017766758,1880,FALSE,FALSE,FALSE,FALSE,standard
1,epanechnikov,cerrd,-0.12247002785686245,0.1741064970873751,0.4817939185725439,289,274,90.5861741960493,90.5861741960493,1880,FALSE,FALSE,FALSE,FALSE,standard
2,epanechnikov,cerrd,-0.036944462420201774,0.1844210523131361,0.8412250753934815,401,389,136.9660661144191,136.9660661144191,1880,FALSE,FALSE,FALSE,FALSE,standard
1,triangular,certwo,-0.1729999084722813,0.17481114008890059,0.32235063784976564,473,308,101.55727429534963,163.8993733663592,1880,FALSE,FALSE,FALSE,FALSE,standard
2,triangular,certwo,-0.016106495125148612,0.1799765940924686,0.9286907797135422,430,459,173.8979647501997,147.687169277512,1880,FALSE,FALSE,FALSE,FALSE,standard
1,epanechnikov,certwo,-0.15615046530975274,0.17739615301141384,0.3787315203201319,408,283,93.06460278180197,139.7204903207078,1880,FALSE,FALSE,FALSE,FALSE,standard
2,epanechnikov,certwo,-0.02063764071319696,0.1802258913834191,0.9088336345228504,404,439,164.22425175307563,137.93909012824128,1880,FALSE,FALSE,FALSE,FALSE,standard
1,triangular,mserd,-0.022270722135438476,0.2536898642765465,0.9300458136542248,250,247,104.07355645925543,104.07355645925543,1880,TRUE,TRUE,FALSE,FALSE,standard
2,triangular,mserd,0.08953283343943977,0.2971799942484967,0.763204980806736,460,416,188.0406760511132,188.0406760511132,1880,TRUE,TRUE,FALSE,FALSE,standard
1,epanechnikov,mserd,-0.023255078087028674,0.2596946928487999,0.9286465988380684,224,221,96.32691162106882,96.32691162106882,1880,TRUE,TRUE,FALSE,FALSE,standard
2,epanechnikov,mserd,0.11416817885561466,0.29685943331301845,0.700543676868788,438,401,179.34825746100108,179.34825746100108,1880,TRUE,TRUE,FALSE,FALSE,standard
1,triangular,msetwo,-0.05655334720746166,0.24168320464872986,0.8149866576208519,381,257,108.67336378179526,156.23579771145617,1880,TRUE,TRUE,FALSE,FALSE,standard
2,triangular,msetwo,0.07480422798119896,0.2933013259337787,0.7986904727393753,499,421,190.5023567564183,204.099458632817,1880,TRUE,TRUE,FALSE,FALSE,standard
1,epanechnikov,msetwo,-0.19419939000592004,0.22691270849641043,0.3920901445039378,335,334,145.9161077723734,140.59207418348785,1880,TRUE,TRUE,FALSE,FALSE,standard
2,epanechnikov,msetwo,0.0948942432590067,0.29357436456537384,0.7465153840792519,473,404,181.39468844205683,193.46686690000558,1880,TRUE,TRUE,FALSE,FALSE,standard
1,triangular,cerrd,-0.10516664762571414,0.2822906680656031,0.7094853454366041,206,200,86.76632753714003,86.76632753714003,1880,TRUE,TRUE,FALSE,FALSE,standard
2,triangular,cerrd,0.08239952474505348,0.32305607764496325,0.7986747459398854,373,347,152.74902806695454,152.74902806695454,1880,TRUE,TRUE,FALSE,FALSE,standard
1,epanechnikov,cerrd,-0.09803316682448913,0.2856967865868162,0.7314953218238731,185,182,80.30793458688913,80.30793458688913,1880,TRUE,TRUE,FALSE,FALSE,standard
2,epanechnikov,cerrd,0.10359209934048581,0.32316226363876915,0.7485457210568016,348,334,145.68801063671597,145.68801063671597,1880,TRUE,TRUE,FALSE,FALSE,standard
1,triangular,certwo,-0.04316882395986859,0.27180703474223594,0.873809442615133,311,203,90.6011958969186,130.2540900729736,1880,TRUE,TRUE,FALSE,FALSE,standard
2,triangular,certwo,0.09491825504216951,0.3180311914182259,0.7653553028397904,402,351,154.74869826088812,165.79388348231709,1880,TRUE,TRUE,FALSE,FALSE,standard
1,epanechnikov,certwo,-0.10377351011065764,0.2387913225897215,0.6638686003393262,275,286,121.65054439048573,117.2118871762218,1880,TRUE,TRUE,FALSE,FALSE,standard
2,epanechnikov,certwo,0.11487626715371976,0.31846219827184247,0.71830740346951,383,336,147.3503655586766,157.15682639910273,1880,TRUE,TRUE,FALSE,FALSE,standard
