year,state,slavery_legal,GISJOIN,farmv,border_county
1850,Louisiana,1,G2200750,33.725897392544454,0
1850,Indiana,0,G1800750,7.646248613077247,0
1850,Virginia,1,G5101430,5.429862490824566,0
1850,Indiana,0,G1801250,4.251026868352739,0
1850,Tennessee,1,G4701810,1.669335412984824,0
1850,Iowa,0,G1900870,8.542294410659169,0
1850,Virginia,1,G5101570,12.303217829246961,0
1850,Illinois,0,G1701590,4.626785483662663,0
1850,Vermont,0,G5000130,24.639259381989895,0
1850,North Carolina,1,G3700710,3.0596444685243482,0
1850,South Carolina,1,G4500750,3.335550513415763,0
1850,Missouri,1,G2900690,5.46468665624556,0
1850,Georgia,1,G1303050,1.2130442310509704,0
1850,Wisconsin,0,G5501270,11.262188970767472,0
1850,Georgia,1,G1302510,1.1930843690529334,0
1850,Arkansas,1,G0500390,5.86166422370053,0
1850,Georgia,1,G1301510,5.443556321860622,0
1850,Michigan,0,G2601610,14.627037258533697,0
1850,Pennsylvania,0,G4200050,11.109570432720734,0
1850,Kentucky,1,G2101350,6.7640412207163925,1
1850,Indiana,0,G1801630,10.883135575794961,1
1850,California,0,G0601150,NA,0
1850,Tennessee,1,G4701610,1.4764519299499643,0
1850,Texas,1,G4804090,0.5641418509823304,0
1850,Georgia,1,G1303170,4.668144203934854,0
1850,Kentucky,1,G2100050,10.797277854878343,0
1850,Virginia,1,G5100290,6.4676982441096795,0
1850,Texas,1,G4803210,6.176235841526992,0
1850,Virginia,1,G5101197,7.574641253189996,0
1850,Ohio,0,G3900110,9.39208561895606,0
1850,Virginia,1,G5101555,3.0072074926242007,0
1850,Missouri,1,G2901850,2.7301086208444296,0
1850,North Carolina,1,G3701430,8.41988229732153,0
1850,California,0,G0600830,0.5844066605378506,0
1850,New York,0,G3600570,36.30149543340805,0
1850,Kentucky,1,G2102230,12.793329702878243,1
1850,Indiana,0,G1801430,7.2876804749696396,0
1850,Minnesota Territory,0,G2750155,NA,0
1850,Tennessee,1,G4701470,4.903880229450101,0
1850,North Carolina,1,G3701130,2.5635599463931125,0
1850,Louisiana,1,G2201170,1.0496682874972931,0
1850,North Carolina,1,G3700390,3.9922676166549977,0
1850,Iowa,0,G1900530,1.5463356740183958,1
1850,Maryland,1,G2400050,34.99734501481256,1
1850,Florida,1,G1201090,7.709135938359934,0
1850,Texas,1,G4803390,2.6237582286056256,0
1850,Virginia,1,G5100190,7.321772499191045,0
1850,Missouri,1,G2901690,5.958667363773673,0
1850,Virginia,1,G5101110,4.3000586657727125,0
1850,Virginia,1,G5101933,6.327695750591625,1
1850,New York,0,G3600950,23.60995086587251,0
1850,Ohio,0,G3900090,11.474532726674115,1
1850,Pennsylvania,0,G4200670,22.524999569714808,0
1850,Pennsylvania,0,G4200790,21.596192856561252,0
1850,New York,0,G3600370,38.39981138903205,0
