RDD ANALYSIS RESULTS
Year: 1890
Analysis Date: 2025-06-10
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

====================================================================================================
RDD Results: Basic Model (Year: 1890)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
------------------------------------------------------------------------------------------------------------------------
Border Point 1                                        -0.4013     0.1726     0.0201          118           67       178.66       178.66
Border Point 2                                        -0.3312     0.0659     0.0000          122           43       174.99       174.99
Border Point 3                                        -0.0557     0.1382     0.6872           27           20        47.19        47.19
Border Point 4                                         0.2829     0.3310     0.3927           51           37       104.36       104.36
Border Point 5                                         0.7238     0.6660     0.2771           21           21        49.66        49.66
Border Point 6                                         0.6799     0.6889     0.3237           17           26        41.61        41.61
Border Point 7                                        -0.2831     0.1943     0.1451           22           33        61.85        61.85
Border Point 8                                        -0.2220     0.2314     0.3373           21           31        55.53        55.53
Border Point 9                                         0.0292     0.2938     0.9207           28           28        61.62        61.62
Border Point 10                                        0.0004     0.2055     0.9984           33           38        65.37        65.37
Border Point 11                                        0.4014     0.1881     0.0328           72           59       114.36       114.36
Border Point 12                                        0.1702     0.2042     0.4047           51           57        86.97        86.97
Border Point 13                                        0.2720     0.3076     0.3765           31           41        71.15        71.15
Border Point 14                                       -0.1836     0.1666     0.2703           18           33        50.04        50.04
Border Point 15                                        0.1715     0.2430     0.4802           30           21        53.50        53.50
Border Point 16                                        0.0456     0.2272     0.8408           26           24        54.93        54.93
Border Point 17                                       -0.2970     0.1778     0.0948           57           46       125.55       125.55
Border Point 18                                       -0.2973     0.3310     0.3690           24           44        77.08        77.08
Border Point 19                                       -0.3050     0.3158     0.3341           62           60       111.18       111.18
Border Point 20                                       -0.1138     0.1970     0.5635          131           84       200.76       200.76
Overall                                               -0.0401     0.1114     0.7187          272          281        87.30        87.30
Robust: mserd triangular p1                           -0.0401     0.1114     0.7187          272          281        87.30        87.30
Robust: msetwo triangular p1                          -0.1197     0.0912     0.1891          274          512        90.41       175.81
Robust: msesum triangular p1                          -0.0609     0.0846     0.4716          432          469       159.64       159.64
Robust: cerrd triangular p1                            0.0163     0.1345     0.9034          190          204        58.99        58.99
Robust: certwo triangular p1                          -0.0584     0.1072     0.5859          194          359        61.09       118.80
Robust: cersum triangular p1                          -0.0301     0.1009     0.7652          327          336       107.87       107.87
Robust: mserd uniform p1                              -0.1078     0.1196     0.3676          197          218        63.77        63.77
Robust: msetwo uniform p1                             -0.0651     0.0984     0.5081          221          341        69.18       109.10
Robust: msesum uniform p1                              0.0073     0.0902     0.9358          342          354       117.26       117.26
Robust: cerrd uniform p1                              -0.0226     0.1397     0.8716          145          160        43.09        43.09
Robust: certwo uniform p1                             -0.0800     0.1182     0.4985          154          247        46.75        73.72
Robust: cersum uniform p1                             -0.0586     0.1041     0.5732          252          260        79.23        79.23
Robust: mserd epanechnikov p1                         -0.0558     0.1124     0.6199          252          260        79.47        79.47
Robust: msetwo epanechnikov p1                        -0.0929     0.0948     0.3273          260          416        83.50       141.08
Robust: msesum epanechnikov p1                        -0.1835     0.0778     0.0183          466          512       176.62       176.62
Robust: cerrd epanechnikov p1                          0.0105     0.1354     0.9382          181          190        53.70        53.70
Robust: certwo epanechnikov p1                        -0.0645     0.1117     0.5639          186          300        56.42        95.33
Robust: cersum epanechnikov p1                        -0.0719     0.0937     0.4428          352          362       119.35       119.35
Robust: mserd triangular p2                            0.0446     0.1146     0.6971          476          521       180.58       180.58
Robust: msetwo triangular p2                           0.0469     0.1113     0.6733          533          533       211.59       185.06
Robust: msesum triangular p2                           0.0266     0.1027     0.7959          573          633       228.30       228.30
Robust: cerrd triangular p2                           -0.0221     0.1445     0.8786          340          352       115.38       115.38
Robust: certwo triangular p2                          -0.0048     0.1401     0.9724          384          358       135.19       118.24
Robust: cersum triangular p2                           0.0165     0.1273     0.8971          405          428       145.87       145.87
Robust: mserd uniform p2                               0.0429     0.1115     0.7005          438          476       163.16       163.16
Robust: msetwo uniform p2                              0.0183     0.1054     0.8622          447          547       168.66       190.98
Robust: msesum uniform p2                              0.0310     0.1005     0.7573          515          565       198.46       198.46
Robust: cerrd uniform p2                              -0.0912     0.1412     0.5185          319          327       104.25       104.25
